speed_actual,speed_target,soc,ice_torque,nox,fuel,fuel_tot_gps,co2_tp_gps,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
2.5555954,50.0,0.7003396,-2.0917206,0.0,0.0,-0.003335476,-0.0005452633,False,0.0,419.15234,0.5946934,-0.9610161185264587,6.591787815093994,-136.308837890625,19.782920837402344
3.8780746,50.0,0.6995108,55.658615,0.016553551,62.32522201538086,2.5422385,0.011023521,True,3912.909912109375,414.7556,0.08289814,3.7069554328918457,-5.0847272872924805,462.872314453125,-66.6543197631836
4.3303795,50.0,0.6992831,124.60797,0.027771816,69.23880004882812,4.3224235,-0.013009429,True,3639.397216796875,415.63165,0.055518746,-7.7090888023376465,29.01405143737793,2385.762451171875,-28.966690063476562
5.7271385,50.0,0.6979781,223.2001,0.048515566,69.07240295410156,5.1129274,-0.0042143464,True,3453.498779296875,415.44812,0.062030554,-50.1121826171875,142.69802856445312,4980.89501953125,-29.591365814208984
7.856469,50.0,0.6970547,243.17145,0.07186287,68.53282928466797,6.268912,-0.0029408336,True,3630.95458984375,413.56622,0.07341802,-78.84083557128906,267.76837158203125,6835.7958984375,13.07750129699707
11.260937,50.0,0.69686425,276.12567,0.09037991,68.60609436035156,7.205908,-0.00018048286,True,3712.68505859375,415.44873,0.06946623,-100.31565856933594,404.946533203125,8020.31787109375,126.35957336425781
15.188049,50.0,0.69700706,300.0,0.10053288,69.1402359008789,7.652515,0.0051513314,True,3689.822998046875,418.47607,0.059512258,-126.78744506835938,413.7398986816406,7958.34814453125,241.7384490966797
18.960102,50.0,0.697349,300.0,0.10319861,68.90451049804688,7.879182,0.008371353,True,3623.644775390625,418.57684,0.064376,-137.42041015625,417.24658203125,7913.1337890625,307.8185119628906
22.728949,50.0,0.6977657,300.0,0.10036267,68.80460357666016,7.895793,0.00832665,True,3515.429931640625,418.70398,0.06759763,-143.1380615234375,412.01214599609375,7708.8984375,355.1854248046875
26.327827,50.0,0.69820404,300.0,0.09435222,68.6596450805664,7.6973467,0.005394578,True,3368.772216796875,418.73877,0.07198453,-147.3253631591797,412.6486511230469,7420.91552734375,397.0102233886719
29.790722,50.0,0.6986351,300.0,0.08834717,68.4723129272461,7.578143,0.0031612515,True,3306.553466796875,419.0454,0.07130504,-143.4291229248047,416.599609375,7225.2236328125,458.7149658203125
33.142654,50.0,0.69905496,300.0,0.083574705,67.93846893310547,7.5381165,0.0017556548,True,3322.028076171875,418.97638,0.07596314,-141.0682373046875,417.0832824707031,7206.115234375,525.6810913085938
36.384686,50.0,0.6994731,300.0,0.07983106,66.99418640136719,7.4310584,0.00049096346,True,3328.61181640625,418.6925,0.08495152,-142.37750244140625,414.66851806640625,7184.31494140625,587.8673706054688
39.535217,50.0,0.6998719,300.0,0.07614617,60.71711349487305,6.465633,-0.0037184358,True,3167.970458984375,418.57538,0.11769235,-148.29649353027344,413.08868408203125,6781.44677734375,647.52880859375
42.427628,50.0,0.7002394,280.63998,0.06470047,38.135459899902344,3.6833658,-0.0055445433,True,2785.10888671875,416.38953,0.20619035,-127.76050567626953,404.0321044921875,5749.5322265625,710.4371948242188
44.82337,50.0,0.70055145,126.48279,0.04496354,18.55315399169922,1.6664689,-0.0042186975,True,2408.90087890625,386.45233,0.32283366,-60.4174919128418,327.92266845703125,4645.818359375,757.7601928710938
47.152557,50.0,0.7006943,63.132233,0.017678022,17.45577621459961,1.4795685,-0.013465643,True,2610.962890625,365.58356,0.49773753,-11.805383682250977,187.2442626953125,5248.20263671875,754.313232421875
49.545403,50.0,0.700767,113.325806,0.008722484,19.66210174560547,1.6913915,0.0074540377,True,2571.5078125,335.5005,0.5564749,-53.17842483520508,253.18038940429688,5453.326171875,768.5125732421875
50.536793,50.0,0.7009456,63.15277,0.0065615326,19.38959312438965,1.8215313,0.0046544075,True,2848.059814453125,-24.30194,0.6388694,-12.700541496276855,-52.714927673339844,5788.24169921875,806.0797119140625
51.223892,50.0,0.7009402,112.415405,0.0072687417,19.138282775878906,1.7048135,-0.00113976,True,2749.349365234375,-2.1201477,0.67840517,-58.767669677734375,2.955714464187622,5547.8857421875,796.6508178710938
50.378147,50.0,0.7009394,50.139145,0.0078008324,17.419612884521484,1.7299945,-0.0017129183,True,2940.04638671875,-219.52977,0.6437123,-7.375404357910156,-242.5504608154297,5817.53369140625,814.8180541992188
50.562897,50.0,0.7007414,115.877014,0.0062776357,19.60236358642578,1.7862034,0.0034031868,True,2785.0498046875,116.90918,0.69277585,-61.3742561340332,109.73634338378906,5620.9736328125,780.528076171875
49.500584,50.0,0.70069325,55.79889,0.007562369,18.78641128540039,1.9100516,0.0036526918,True,3018.220458984375,-174.97205,0.67355037,-8.671371459960938,-182.7255401611328,5867.62890625,824.3248901367188
50.15613,50.0,0.7005224,118.490204,0.006722316,20.605514526367188,1.959013,0.007057309,True,2906.675048828125,239.96503,0.62573254,-59.53987503051758,211.85606384277344,6106.6943359375,770.2088623046875
49.41799,50.0,0.70067835,63.358643,0.009217516,19.468673706054688,2.0067112,0.0050523877,True,3084.72998046875,-167.80507,0.6850034,-16.50763702392578,-174.77330017089844,5991.0341796875,840.9796752929688
50.102592,50.0,0.7006491,114.476,0.007852808,21.088905334472656,2.0673075,0.012084007,True,3000.583251953125,217.86847,0.64351857,-56.08757019042969,196.885009765625,6295.0595703125,777.4100952148438
49.41962,50.0,0.7009353,73.76041,0.009923711,19.702125549316406,2.0429754,0.012759,True,3109.91650390625,-166.89624,0.7080257,-22.61910057067871,-180.7723846435547,6097.16064453125,848.8162231445312
49.954655,50.0,0.7009632,108.78558,0.00842993,21.024944305419922,2.0909562,0.020053148,True,3044.098388671875,184.2752,0.66578984,-53.04082489013672,172.74093627929688,6334.42822265625,780.8409423828125
49.359123,50.0,0.70128727,82.25078,0.010141715,20.049720764160156,2.0717504,0.020268202,True,3107.640869140625,-144.04645,0.73630214,-27.17899513244629,-160.84678649902344,6132.1396484375,847.9881591796875
49.830055,50.0,0.7013518,105.019226,0.009479344,20.832780838012695,2.0854795,0.0233123,True,3055.6826171875,162.22253,0.6815642,-50.487972259521484,158.3053436279297,6323.6923828125,785.7811279296875
49.38336,50.0,0.7016507,86.276794,0.010951459,20.12870216369629,2.0693154,0.02233982,True,3095.731201171875,-129.126,0.7584274,-29.956954956054688,-146.16934204101562,6136.07275390625,848.8761596679688
49.778473,50.0,0.7017199,102.258194,0.010541692,20.584341049194336,2.0652285,0.023297608,True,3050.78662109375,131.08264,0.70632994,-48.53229904174805,133.19696044921875,6282.9677734375,793.4842529296875
49.431957,50.0,0.70192164,87.4839,0.011583641,20.054941177368164,2.055594,0.022456497,True,3082.51318359375,-121.39447,0.7761717,-31.011045455932617,-137.92747497558594,6132.83447265625,849.0442504882812
