algo,seed,phase1_best_seed,w_emission,w_soc_squared,total_timesteps,training_duration_hms,total_reward,rmse_speed_kmph,mae_speed_kmph,total_nox_g,total_fuel_g,initial_soc,final_soc,delta_soc,max_abs_soc_drift,rms_soc_drift,abs_path,p1_rmse,p1_nox,p1_dsoc,drmse_pct,dnox_pct,abs_dsoc
ppo,0,3,1.1846463062234172,92.85891420802596,4000000,6:45:55,3546.65966796875,3.1872759115560028,0.9584378244877524,4.666140556335449,53.5781579580307,0.6999828815460205,0.6657539010047913,-0.03422898054122925,0.05672144889831543,0.03263990581035614,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_0,3.163,5.57,0.2992,0.7674964134050886,-16.227279060404864,0.03422898054122925
ppo,1,3,1.1846463062234172,92.85891420802596,4000000,10:36:49,3554.2880859375,3.1343822529449143,0.6886314448796236,5.068801403045654,51.834506512880324,0.7009074687957764,0.6751930117607117,-0.025714457035064697,0.030400633811950684,0.021070603281259537,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_1,3.163,5.57,0.2992,-0.9047659517889809,-8.99817947853404,0.025714457035064697
ppo,2,3,1.1846463062234172,92.85891420802596,4000000,"1 day, 0:36:46",3551.1708984375,3.3006356074338825,0.8542892934879219,4.5506486892700195,52.64674003195763,0.7000982761383057,0.6709040999412537,-0.029194176197052002,0.04013019800186157,0.0258878692984581,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_2,3.163,5.57,0.2992,4.351426096550196,-18.30074166481114,0.029194176197052002
ppo,3,3,1.1846463062234172,92.85891420802596,4000000,10:36:48,3554.657958984375,3.1143926515297653,0.7853666393251411,4.356797218322754,52.88364844918251,0.6999828815460205,0.6766223311424255,-0.02336055040359497,0.02833855152130127,0.016426198184490204,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_3,3.163,5.57,0.2992,-1.5367482918189856,-21.781019419699216,0.02336055040359497
ppo,4,3,1.1846463062234172,92.85891420802596,4000000,10:36:32,3554.337890625,3.0683696728460133,0.810555408119526,4.233776092529297,51.62228372597694,0.7002888321876526,0.665340781211853,-0.03494805097579956,0.039264023303985596,0.03035113587975502,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_4,3.163,5.57,0.2992,-2.9917902988930307,-23.989657225685875,0.03494805097579956
ppo,5,3,1.1846463062234172,92.85891420802596,4000000,6:46:53,3554.5087890625,3.076812855638384,0.7856386904916554,6.070808410644531,54.4492547454834,0.6999826431274414,0.6729065775871277,-0.02707606554031372,0.04889196157455444,0.028292149305343628,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_5,3.163,5.57,0.2992,-2.7248543901870312,8.991174338321919,0.02707606554031372
ppo,6,3,1.1846463062234172,92.85891420802596,4000000,6:46:40,3554.326904296875,3.1025254736738535,0.734712775729371,4.314574718475342,50.22215902614594,0.7001984715461731,0.6704240441322327,-0.02977442741394043,0.030789554119110107,0.02388864941895008,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_6,3.163,5.57,0.2992,-1.9119357042727274,-22.539053528270347,0.02977442741394043
ppo,7,3,1.1846463062234172,92.85891420802596,4000000,6:44:25,3552.519775390625,3.0941129447314086,0.8287650482228611,5.482855796813965,53.908979635238644,0.7009570002555847,0.6769382953643799,-0.024018704891204834,0.04018455743789673,0.025555241852998734,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_7,3.163,5.57,0.2992,-2.1779024745049376,-1.564527884848033,0.024018704891204834
ppo,8,3,1.1846463062234172,92.85891420802596,4000000,6:39:10,3552.074951171875,3.1519108481920464,0.8632428954130545,6.163433074951172,53.538471020698545,0.7001741528511047,0.6675797700881958,-0.032594382762908936,0.0399097204208374,0.027959980070590973,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_8,3.163,5.57,0.2992,-0.35058968725745954,10.654094702893564,0.032594382762908936
ppo,9,3,1.1846463062234172,92.85891420802596,4000000,6:40:52,3557.05029296875,3.043352307434116,0.683130045406154,4.540560722351074,52.96383407354355,0.6999820470809937,0.675737202167511,-0.024244844913482666,0.029753804206848145,0.01775008998811245,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_seeds/seed_9,3.163,5.57,0.2992,-3.782728187350105,-18.48185417682093,0.024244844913482666
