algo,cell_id,cell_dir,w_emission,w_soc_squared,phase1_best_seed,total_timesteps,training_duration_hms,total_reward,rmse_speed_kmph,mae_speed_kmph,total_nox_g,total_fuel_g,initial_soc,final_soc,delta_soc,max_abs_soc_drift,rms_soc_drift,abs_path,p1_rmse,p1_nox,p1_dsoc,drmse_pct,dnox_pct,abs_dsoc
ppo,0,cell_00_we0.25_wsq50,0.25,50.0,3,4000000,6:03:05,3549.088623046875,3.2188718520709623,0.8828674504809262,11.40542984008789,59.50932228517532,0.7010095715522766,0.7019035816192627,0.000894010066986084,0.01795196533203125,0.007835233584046364,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_00_we0.25_wsq50,3.163,5.57,0.2992,1.7664196038875264,104.7653472188131,0.000894010066986084
ppo,1,cell_01_we0.25_wsq150,0.25,150.0,3,4000000,11:50:55,3552.1728515625,3.2685223996358532,0.8295836787847851,6.799297332763672,52.81610598230362,0.7016518712043762,0.6730145812034607,-0.028637290000915527,0.028637290000915527,0.013641931116580963,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_01_we0.25_wsq150,3.163,5.57,0.2992,3.3361492139062103,22.069970067570406,0.028637290000915527
ppo,2,cell_02_we0.25_wsq400,0.25,400.0,3,4000000,6:09:10,3537.0126953125,3.3750768628287116,1.249262788554767,5.545317649841309,50.74454955291748,0.7001357078552246,0.6644274592399597,-0.03570824861526489,0.051518261432647705,0.028790537267923355,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_02_we0.25_wsq400,3.163,5.57,0.2992,6.704927689810678,-0.44313016442893516,0.03570824861526489
ppo,3,cell_03_we0.5_wsq50,0.5,50.0,3,4000000,11:49:34,3552.462158203125,3.1765607033756904,0.8252831815712715,6.36397647857666,54.446714302539824,0.700820803642273,0.6869279146194458,-0.013892889022827148,0.023367464542388916,0.012114651501178741,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_03_we0.5_wsq50,3.163,5.57,0.2992,0.42872916141924117,14.25451487570305,0.013892889022827148
ppo,4,cell_04_we0.5_wsq150,0.5,150.0,3,4000000,11:42:42,3549.898681640625,3.200171127014073,0.8579239300735528,5.365935802459717,53.685747306108475,0.6999696493148804,0.6791321039199829,-0.02083754539489746,0.032671332359313965,0.016792597249150276,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_04_we0.5_wsq150,3.163,5.57,0.2992,1.175185805060807,-3.663630117419811,0.02083754539489746
ppo,5,cell_05_we0.5_wsq400,0.5,400.0,3,4000000,6:04:02,3545.37109375,3.134074695483514,1.0598151563902503,5.461325168609619,52.80383842372894,0.7013036012649536,0.671868085861206,-0.02943551540374756,0.03760230541229248,0.021925391629338264,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_05_we0.5_wsq400,3.163,5.57,0.2992,-0.9144895515803318,-1.9510741721791947,0.02943551540374756
ppo,6,cell_06_we1_wsq50,1.0,50.0,3,4000000,6:02:47,3552.9052734375,3.1151145800953937,0.8418970778439567,10.388830184936523,59.61160126876831,0.6999823451042175,0.688037633895874,-0.011944711208343506,0.0514674186706543,0.025436338037252426,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_06_we1_wsq50,3.163,5.57,0.2992,-1.5139241196524236,86.5140069108891,0.011944711208343506
ppo,7,cell_07_we1_wsq150,1.0,150.0,3,4000000,6:02:23,3539.45849609375,3.2669828457980667,1.2443829385662581,4.757333278656006,54.80408419728279,0.6999839544296265,0.7020775079727173,0.0020935535430908203,0.01862037181854248,0.008583825081586838,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_07_we1_wsq150,3.163,5.57,0.2992,3.287475365098544,-14.59006681048464,0.0020935535430908203
ppo,8,cell_08_we1_wsq400,1.0,400.0,3,4000000,6:02:49,3548.29833984375,3.069570272935002,0.9670363821298356,9.512772560119629,54.633033379554746,0.7003627419471741,0.6668961644172668,-0.03346657752990723,0.04744082689285278,0.02418036013841629,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2/cell_08_we1_wsq400,3.163,5.57,0.2992,-2.9538326609231103,70.7858628387725,0.03346657752990723
sac,0,cell_00_we0.25_wsq50,0.25,50.0,3,4000000,"1 day, 4:34:20",3547.5810546875,3.173458084701597,0.6491966263457583,3.405447006225586,69.8658067393303,0.7020246982574463,0.6957247257232666,-0.0062999725341796875,0.014535605907440186,0.00604641018435359,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_00_we0.25_wsq50,3.106,48.94,0.2987,2.171863641390763,-93.04158764563631,0.0062999725341796875
sac,1,cell_01_we0.25_wsq150,0.25,150.0,3,4000000,"1 day, 4:43:37",3553.883544921875,3.1912656895339633,0.5244793294369761,3.1811397075653076,55.023597717285156,0.7007870674133301,0.6732991933822632,-0.027487874031066895,0.027487874031066895,0.016611797735095024,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_01_we0.25_wsq150,3.106,48.94,0.2987,2.745192837539067,-93.4999188648032,0.027487874031066895
sac,2,cell_02_we0.25_wsq400,0.25,400.0,3,4000000,"1 day, 4:49:07",3535.183837890625,3.357602898855263,1.3406936452600087,4.4034905433654785,53.152015686035156,0.700182318687439,0.6933109164237976,-0.006871402263641357,0.007796168327331543,0.0049681528471410275,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_02_we0.25_wsq400,3.106,48.94,0.2987,8.100544071322062,-91.00226697309873,0.006871402263641357
