speed_actual,speed_target,soc,ice_torque,nox,co,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc
29.130028,28.299,0.6978203,-0.040450923,-4.1298674e-05,6.1230395e-07,0.0,False,0.0,-128.42245483398438,0.0
28.886057,28.503,0.698044,-0.040248998,-4.0019335e-05,7.019094e-07,0.0,False,0.0,-19.659881591796875,0.0
29.128403,28.711,0.69786274,-0.04001036,-3.8839942e-05,8.064491e-07,0.0,False,0.0,107.70562744140625,0.0
29.473639,28.915,0.6977126,-0.03979008,-3.770053e-05,9.4085726e-07,0.0,False,0.0,97.2852783203125,0.0
29.663033,29.247,0.6976689,-0.03947801,-3.66011e-05,1.1200682e-06,0.0,False,0.0,56.50469970703125,0.0
29.942636,29.844,0.69760776,-0.039239373,-3.5581626e-05,1.2843449e-06,0.0,False,0.0,96.158935546875,0.0
30.547878,30.54,0.69748414,-0.038945667,-3.4602133e-05,1.4934243e-06,0.0,False,0.0,183.2969970703125,0.0
31.266794,31.172,0.69731003,-0.0386336,-3.3642627e-05,1.6875694e-06,0.0,False,0.0,205.6697998046875,0.0
31.883278,31.877,0.697112,-0.03835825,-3.276308e-05,1.911583e-06,0.0,False,0.0,179.84588623046875,0.0
32.56067,32.792,0.6968853,-0.038046185,-3.1903524e-05,2.1355968e-06,0.0,False,0.0,201.41595458984375,0.0
33.464535,33.861,0.6966242,-0.037679046,-3.1103937e-05,2.344676e-06,0.0,False,0.0,260.39373779296875,0.0
34.504555,35.03,0.6963468,-0.037385337,-3.034433e-05,2.5836239e-06,0.0,False,0.0,297.59503173828125,0.0
35.5928,36.25,0.6960647,-0.03703656,-2.9604713e-05,2.8076377e-06,0.0,False,0.0,323.8203125,0.0
36.70503,37.478,0.69577855,-0.036779564,-2.8945053e-05,3.0316512e-06,0.0,False,0.0,349.0670166015625,0.0
37.846645,38.678,0.69546956,-0.03639407,-2.8305383e-05,3.2556648e-06,0.0,False,0.0,369.37139892578125,0.0
39.016064,39.839,0.6951329,-0.036100365,-2.7685703e-05,3.4647442e-06,0.0,False,0.0,376.63616943359375,0.0
40.207577,40.862,0.6948078,-0.035751585,-2.7106003e-05,3.703692e-06,0.0,False,0.0,370.0052490234375,0.0
41.3416,41.631,0.6945339,-0.035421163,-2.6566282e-05,3.8978374e-06,0.0,False,0.0,330.43878173828125,0.0
42.33696,42.245,0.694284,-0.035109095,-2.602656e-05,4.1069165e-06,0.0,False,0.0,247.10186767578125,0.0
43.24141,42.734,0.69402635,-0.03474196,-2.5566798e-05,4.315996e-06,0.0,False,0.0,156.754150390625,0.0
43.992756,43.143,0.6938032,-0.03441154,-2.5127025e-05,4.495207e-06,0.0,False,0.0,56.32550048828125,0.0
44.50354,43.491,0.693693,-0.034081116,-2.4707242e-05,4.674418e-06,0.0,False,0.0,-26.328338623046875,0.0
44.686527,43.796,0.6938041,-0.033750694,-2.4307448e-05,4.853629e-06,0.0,False,0.0,-64.908447265625,0.0
44.62266,44.066,0.69412464,-0.033456985,-2.3907654e-05,5.03284e-06,0.0,False,0.0,-35.4078369140625,0.0
44.60053,44.276,0.69432473,-0.03310821,-2.3567829e-05,5.1971165e-06,0.0,False,0.0,44.588897705078125,0.0
44.78678,44.402,0.6942208,-0.032777786,-2.3228005e-05,5.3464587e-06,0.0,False,0.0,99.72216796875,0.0
44.982197,44.44,0.6940958,-0.032447364,-2.294815e-05,5.4958014e-06,0.0,False,0.0,85.40939331054688,0.0
45.03907,44.35,0.6940324,-0.032116942,-2.2648304e-05,5.630209e-06,0.0,False,0.0,48.04302978515625,0.0
44.923985,44.081,0.6939942,-0.031804875,-2.2388438e-05,5.7646175e-06,0.0,False,0.0,13.0181884765625,0.0
44.62757,43.514,0.69397956,-0.03149281,-2.2128574e-05,5.899026e-06,0.0,False,0.0,-23.93414306640625,0.0
44.049313,42.671,0.69399536,-0.031199101,-2.1908687e-05,6.0185e-06,0.0,False,0.0,-89.12908935546875,0.0
43.169727,41.53,0.6940277,-0.030850323,-2.16888e-05,6.1379737e-06,0.0,False,0.0,-153.2415771484375,0.0
42.000935,40.209,0.69404197,-0.030556614,-2.1488904e-05,6.2425133e-06,0.0,False,0.0,-216.69349670410156,0.0
