speed_actual,speed_target,soc,ice_torque,nox,fuel,fuel_tot_gps,co2_tp_gps,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
2.1574287,50.0,0.70028895,11.556423,0.002295971,70.0,0.8474095,0.013469487,True,1595.830810546875,421.0,0.0,5.194615840911865,11.062751770019531,472.0568542480469,-4.755640506744385
3.4998627,50.0,0.6994582,67.670074,0.0031230152,70.0,1.1648281,-0.0011080503,True,1801.303955078125,421.0,0.0,-7.476534843444824,38.37111282348633,1336.4326171875,-28.103336334228516
3.9625435,50.0,0.6992798,121.00165,0.018247336,70.0,2.0674417,0.0035333037,True,2437.579833984375,421.0,0.0,-17.78409767150879,59.00006866455078,2122.315673828125,1.9429247379302979
5.0553284,50.0,0.6980486,95.89462,0.041204885,70.0,3.4993424,0.012468517,True,3696.58056640625,421.0,0.0,-14.066988945007324,50.12739181518555,4085.240478515625,-1.5669184923171997
6.622715,50.0,0.69706947,142.73064,0.053764638,70.0,4.6442227,-0.0031633973,True,4000.0,421.0,0.0,-30.320667266845703,137.38819885253906,7294.77001953125,-5.2280731201171875
9.509063,50.0,0.6967299,216.58337,0.067502744,70.0,5.833729,-0.008976996,True,4000.0,421.0,0.0,-75.89479064941406,365.8600158691406,8930.3955078125,72.09540557861328
13.3897705,50.0,0.6967585,258.97876,0.083178125,70.0,7.058092,-0.012495816,True,4000.0,421.0,0.0,-106.01323699951172,433.91082763671875,8685.4267578125,204.88876342773438
17.232342,50.0,0.6971607,287.68457,0.09338472,70.0,7.9262986,-0.010438621,True,4000.0,421.0,0.0,-120.58432006835938,434.79766845703125,8828.4404296875,282.0388488769531
20.92598,50.0,0.69763327,300.0,0.094003886,70.0,8.404064,-0.005552292,True,4000.0,421.0,0.0,-130.55177307128906,424.6459655761719,8873.46484375,337.3291015625
24.47954,50.0,0.69801176,300.0,0.08759161,70.0,8.710613,-0.00449121,True,4000.0,421.0,0.0,-130.22470092773438,415.1441650390625,8906.83984375,381.0787353515625
27.867287,50.0,0.6983948,300.0,0.07807927,70.0,8.881554,-0.0075398088,True,4000.0,421.0,0.0,-131.2669219970703,417.21832275390625,8918.494140625,436.32452392578125
31.137398,50.0,0.69881105,300.0,0.06839595,70.0,8.952946,-0.012926042,True,4000.0,421.0,0.0,-132.1380615234375,416.9285583496094,8863.5615234375,500.478515625
34.288948,50.0,0.6992667,300.0,0.060262263,70.0,8.965861,-0.018970728,True,4000.0,421.0,0.0,-133.32460021972656,412.4078063964844,8800.490234375,560.4746704101562
37.38019,50.0,0.69973075,300.0,0.05413071,70.0,8.952864,-0.02400291,True,4000.0,421.0,0.0,-134.49917602539062,407.6825256347656,8731.5771484375,616.664306640625
40.408707,50.0,0.700173,300.0,0.05194932,62.23112869262695,8.250135,-0.032984674,True,4000.0,421.0,0.0,-127.2660140991211,402.66015625,8643.4326171875,671.84423828125
43.33767,50.0,0.7005775,262.2699,0.046492614,50.43509292602539,6.8924403,-0.03160906,True,4000.0,421.0,0.0,-109.23558044433594,398.3043212890625,8558.953125,726.3400268554688
46.104076,50.0,0.70093066,196.87897,0.029542834,38.21580505371094,5.2342844,-0.021793783,True,4000.0,421.0,0.0,-81.93794250488281,392.610595703125,8495.0634765625,776.7158203125
48.676582,50.0,0.70120776,135.86298,0.015103146,26.9079532623291,3.8152862,0.00067675114,True,4000.0,421.0,0.0,-55.796485900878906,372.072509765625,8493.7939453125,816.7219848632812
50.93413,50.0,0.7014019,74.00814,0.009206176,15.445531845092773,2.3830364,0.004965842,True,4000.0,385.3548,0.0,-30.11016082763672,278.2125244140625,8518.6669921875,842.3839721679688
51.919014,50.0,0.7016977,-1.4338074,0.0100898,4.036220550537109,0.9907234,0.044294447,True,4000.0,-89.852875,0.0,2.453732967376709,-127.55338287353516,8734.3564453125,851.3221435546875
52.66304,50.0,0.70177877,-35.084305,0.011322573,3.0,0.5742755,0.113873094,True,4000.0,104.98236,0.0,12.704092979431152,54.98112487792969,8147.41162109375,826.8145141601562
51.97447,50.0,0.70175076,-33.32225,0.01122795,3.0,0.4700122,0.13660374,True,4000.0,-240.96674,0.0,17.586673736572266,-193.2591552734375,8213.84375,835.0755004882812
51.72292,50.0,0.70147675,-34.46805,0.010954425,3.0,0.42497015,0.1587089,True,4000.0,240.74683,0.0,10.040345191955566,74.2901840209961,8099.8916015625,795.0342407226562
50.31721,50.0,0.7012482,-33.48506,0.0115067065,3.0,0.4269004,0.20140743,True,4000.0,-204.05612,0.0,16.16659164428711,-117.01522827148438,7834.0068359375,805.0277099609375
