Time,T_amb,p_amb,ICE_Speed_soll,fuel,EM2_Torque,Brake,ICE_Torque_pred,NO_out_m_pred,NO2_out_m_pred,CO_out_m_pred,CO2_out_m_pred,Car_Speed_pred,SOC_pred
21.0,298,1,2500,3,0,0,-3.9129634,0.0031178799,4.2018823e-05,0.106541,0.01593487,-0.90181106,0.5007969
21.5,298,1,2500,3,0,0,-3.9557219,0.00318685,4.09445e-05,0.107746445,0.014525107,-0.90357935,0.50081295
22.0,298,1,2500,3,0,0,-4.002355,0.003253866,3.9878796e-05,0.10885855,0.013243381,-0.9075587,0.5008285
22.5,298,1,2500,3,0,0,-4.056432,0.0033188667,3.8829443e-05,0.1098777,0.01209797,-0.91338795,0.50084364
23.0,298,1,2500,3,0,0,-4.1213174,0.0033818695,3.7802358e-05,0.1108068,0.011094646,-0.92041177,0.5008587
23.5,298,1,2500,3,0,0,-4.1991696,0.003442987,3.6801015e-05,0.11165038,0.01023617,-0.92775214,0.500874
24.0,298,1,2500,3,0,0,-4.291892,0.0035025654,3.5830057e-05,0.11241383,0.009523936,-0.9346399,0.5008892
24.5,298,1,2500,3,0,0,-4.399791,0.0035607684,3.489256e-05,0.11310292,0.008958313,-0.94045925,0.50090444
25.0,298,1,2500,3,0,0,-4.5232224,0.003618323,3.3989952e-05,0.11372319,0.008539386,-0.9449035,0.50091964
25.5,298,1,2500,3,0,0,-4.661507,0.0036754278,3.3124415e-05,0.114279605,0.008267868,-0.94799006,0.5009346
26.0,298,1,2500,3,0,0,-4.813473,0.003732429,3.230007e-05,0.11477628,0.008144896,-0.9499364,0.5009492
26.5,298,1,2500,3,0,0,-4.9784226,0.0037896375,3.152104e-05,0.11521628,0.0081725735,-0.95117795,0.5009633
27.0,298,1,2500,3,0,0,-5.1545887,0.0038473303,3.079246e-05,0.11560169,0.008354629,-0.9522266,0.50097674
27.5,298,1,2500,3,0,0,-5.3405943,0.0039053778,3.0120782e-05,0.11593326,0.008694703,-0.95351017,0.5009897
28.0,298,1,2500,3,0,0,-5.5353184,0.0039639096,2.9514495e-05,0.11621076,0.009199365,-0.9554293,0.501002
28.5,298,1,2500,3,0,0,-5.737401,0.004022528,2.8984668e-05,0.116432756,0.009876127,-0.95820916,0.501014
29.0,298,1,2500,3,0,0,-5.946095,0.0040809037,2.8540444e-05,0.116596766,0.010733351,-0.96195847,0.50102544
29.5,298,1,2500,3,0,0,-6.1606345,0.0041384324,2.8195851e-05,0.11669907,0.011781819,-0.96660554,0.50103664
30.0,298,1,2500,3,0,0,-6.3805785,0.004194672,2.7963248e-05,0.116734885,0.013033449,-0.9720811,0.50104755
30.5,298,1,2500,3,0,0,-6.605723,0.004248854,2.7851773e-05,0.11669818,0.014501383,-0.97816265,0.50105816
31.0,298,1,2500,3,0,0,-6.8362546,0.004300208,2.7874172e-05,0.11658154,0.016199276,-0.9847264,0.5010686
31.5,298,1,2500,3,0,0,-7.0717487,0.004347903,2.8036362e-05,0.11637619,0.01814169,-0.9916018,0.50107884
32.0,298,1,2500,3,0,0,-7.312035,0.0043907207,2.8344011e-05,0.116071515,0.020341488,-0.9986652,0.50108874
32.5,298,1,2500,3,0,0,-7.556452,0.004427459,2.8795444e-05,0.11565534,0.022809701,-1.0059265,0.5010984
33.0,298,1,2500,3,0,0,-7.803417,0.0044565606,2.9382682e-05,0.11511341,0.02555319,-1.013341,0.50110775
33.5,298,1,2500,3,0,0,-8.05062,0.004475967,3.0094137e-05,0.114429824,0.02857192,-1.0209707,0.5011169
34.0,298,1,2500,3,0,0,-8.294204,0.0044836123,3.0907024e-05,0.113587156,0.031857476,-1.028818,0.5011257
34.5,298,1,2500,3,0,0,-8.528593,0.004476676,3.1789812e-05,0.11256719,0.035389777,-1.0369127,0.50113416
35.0,298,1,2500,3,0,0,-8.747246,0.0044522015,3.2708638e-05,0.11135227,0.039134964,-1.0452003,0.50114244
35.5,298,1,2500,3,0,0,-8.942208,0.004407663,3.362335e-05,0.109927595,0.04304406,-1.053666,0.5011504
36.0,298,1,2500,3,0,0,-9.106325,0.0043408116,3.449764e-05,0.10828358,0.047052804,-1.0621761,0.5011581
36.5,298,1,2500,3,0,0,-9.234056,0.004250817,3.5306664e-05,0.106419735,0.051085528,-1.0706022,0.50116575
37.0,298,1,2500,3,0,0,-9.322734,0.0041385447,3.603936e-05,0.10434749,0.055059195,-1.0788082,0.50117314
37.5,298,1,2500,3,0,0,-9.374687,0.0040070126,3.6711168e-05,0.10209263,0.058892738,-1.0865788,0.5011804
38.0,298,1,2500,3,0,0,-9.396168,0.0038613318,3.735543e-05,0.09969493,0.06251538,-1.093845,0.5011876
38.5,298,1,2500,3,0,0,-9.396678,0.003707634,3.801758e-05,0.09720542,0.0658751,-1.1005151,0.5011948
39.0,298,1,2500,3,0,0,-9.385445,0.003552518,3.8742553e-05,0.094680935,0.06894287,-1.1065323,0.5012018
39.5,298,1,2500,3,0,0,-9.37054,0.003401605,3.956175e-05,0.09217723,0.07171369,-1.1119461,0.5012088
40.0,298,1,2500,3,0,0,-9.356587,0.003259427,4.0492807e-05,0.089742914,0.07420017,-1.1168133,0.5012159
40.5,298,1,2500,3,0,0,-9.345184,0.0031284569,4.152401e-05,0.087415166,0.07642688,-1.1211166,0.5012227
41.0,298,1,2500,3,0,0,-9.33565,0.0030097847,4.2641845e-05,0.0852184,0.07842263,-1.1250069,0.5012296
41.5,298,1,2500,3,0,0,-9.3263035,0.0029035057,4.381516e-05,0.08316512,0.08021579,-1.1284891,0.50123644
42.0,298,1,2500,3,0,0,-9.315495,0.0028090575,4.5013832e-05,0.08125805,0.08183008,-1.1315856,0.50124323
42.5,298,1,2500,3,0,0,-9.301508,0.0027252985,4.6215853e-05,0.07949335,0.08328567,-1.1343406,0.5012501
43.0,298,1,2500,3,0,0,-9.283579,0.0026508626,4.739612e-05,0.077863306,0.084597945,-1.1367743,0.5012569
43.5,298,1,2500,3,0,0,-9.261519,0.002584755,4.8540598e-05,0.07635824,0.085779764,-1.1389902,0.5012635
44.0,298,1,2500,3,0,0,-9.235433,0.0025256437,4.963861e-05,0.07496821,0.08684206,-1.1409787,0.5012702
44.5,298,1,2500,3,0,0,-9.205692,0.002472794,5.0681272e-05,0.07368363,0.08779441,-1.1427642,0.5012768
45.0,298,1,2500,3,0,0,-9.172757,0.0024252802,5.1665877e-05,0.072495535,0.08864685,-1.1443866,0.5012833
45.5,298,1,2500,3,0,0,-9.137,0.002382566,5.259243e-05,0.07139564,0.089408524,-1.145915,0.50128984
46.0,298,1,2500,3,0,0,-9.09878,0.0023438907,5.3457577e-05,0.07037643,0.09008856,-1.1473273,0.5012963
46.5,298,1,2500,3,0,0,-9.058587,0.002308865,5.4265704e-05,0.06943067,0.090695396,-1.1486257,0.5013027
47.0,298,1,2500,3,0,0,-9.016509,0.002277143,5.5016422e-05,0.0685515,0.091237865,-1.1498474,0.5013092
47.5,298,1,2500,3,0,0,-8.972968,0.0022483529,5.571539e-05,0.06773252,0.09172242,-1.1509405,0.5013157
48.0,298,1,2500,3,0,0,-8.92778,0.0022221832,5.6360295e-05,0.066967696,0.09215657,-1.1519322,0.5013221
48.5,298,1,2500,3,0,0,-8.88152,0.0021983224,5.695873e-05,0.06625098,0.09254559,-1.1527954,0.5013286
49.0,298,1,2500,3,0,0,-8.834241,0.0021764769,5.7509278e-05,0.065577395,0.09289471,-1.1535498,0.5013351
49.5,298,1,2500,3,0,0,-8.785942,0.0021564646,5.801864e-05,0.064941764,0.09320856,-1.154173,0.5013416
50.0,298,1,2500,3,0,0,-8.737049,0.0021381648,5.8485777e-05,0.064339615,0.09349035,-1.1546973,0.50134796
50.5,298,1,2500,3,0,0,-8.687646,0.0021210324,5.891327e-05,0.06376683,0.09374377,-1.1550881,0.50135446
51.0,298,1,2500,3,0,0,-8.638021,0.002105405,5.9305232e-05,0.063219786,0.093971714,-1.1553626,0.5013609
51.5,298,1,2500,3,0,0,-8.588329,0.0020905645,5.9662954e-05,0.06269509,0.09417681,-1.1555506,0.5013674
52.0,298,1,2500,3,0,0,-8.538501,0.0020767099,5.998708e-05,0.062189765,0.09436097,-1.1555926,0.5013739
52.5,298,1,2500,3,0,0,-8.489081,0.0020635559,6.0280312e-05,0.06170091,0.09452604,-1.1555877,0.50138044
53.0,298,1,2500,3,0,0,-8.43995,0.002050938,6.054355e-05,0.06122621,0.09467362,-1.1554788,0.501387
53.5,298,1,2500,3,0,0,-8.391108,0.0020387785,6.077847e-05,0.06076326,0.09480513,-1.1552761,0.5013935
54.0,298,1,2500,3,0,0,-8.343046,0.0020268266,6.0983013e-05,0.06030987,0.09492181,-1.1549743,0.5014001
54.5,298,1,2500,3,0,0,-8.29536,0.0020150389,6.116206e-05,0.059864055,0.09502482,-1.154591,0.5014067
55.0,298,1,2500,3,0,0,-8.2486925,0.002003061,6.131087e-05,0.05942382,0.09511457,-1.1541309,0.5014133
55.5,298,1,2500,3,0,0,-8.202518,0.001991057,6.1434184e-05,0.058987234,0.09519287,-1.1535869,0.5014199
56.0,298,1,2500,3,0,0,-8.1572275,0.0019784651,6.152648e-05,0.05855221,0.09525981,-1.152934,0.5014265
56.5,298,1,2500,3,0,0,-8.112634,0.001965337,6.159123e-05,0.05811657,0.09531758,-1.152239,0.5014332
57.0,298,1,2500,3,0,0,-8.06889,0.00195137,6.162341e-05,0.057677828,0.09536699,-1.1514574,0.50143987
57.5,298,1,2500,3,0,0,-8.025639,0.0019362527,6.162251e-05,0.057233065,0.09541046,-1.1506215,0.50144655
58.0,298,1,2500,3,0,0,-7.983067,0.0019196912,6.158286e-05,0.056778718,0.095449574,-1.1496867,0.5014533
58.5,298,1,2500,3,0,0,-7.9407845,0.0019013569,6.15046e-05,0.056310523,0.09548775,-1.1486925,0.5014601
59.0,298,1,2500,3,0,0,-7.8987737,0.0018807392,6.1379484e-05,0.055823255,0.09552834,-1.1476389,0.5014669
59.5,298,1,2500,3,0,0,-7.8564234,0.0018572072,6.120171e-05,0.055310328,0.095575705,-1.1465012,0.5014736
60.0,298,1,2500,3,0,0,-7.8136816,0.0018301898,6.0963317e-05,0.054763645,0.095635585,-1.1452993,0.5014804
60.5,298,1,2500,3,0,0,-7.7699037,0.0017988312,6.0654897e-05,0.05417318,0.09571455,-1.1440355,0.5014873
61.0,298,1,2500,3,0,0,-7.724562,0.0017621018,6.0264476e-05,0.053526558,0.09582096,-1.1426555,0.50149405
61.5,298,1,2500,3,0,0,-7.676926,0.0017188861,5.9778933e-05,0.052808706,0.095964395,-1.141231,0.50150096
62.0,298,1,2500,3,0,0,-7.6260276,0.0016676622,5.9179853e-05,0.05200135,0.096156776,-1.1397024,0.50150794
62.5,298,1,2500,3,0,0,-7.5712028,0.0016068213,5.845218e-05,0.051082533,0.096411966,-1.1380208,0.50151485
63.0,298,1,2500,3,0,0,-7.510804,0.0015345474,5.7572484e-05,0.05002682,0.09674629,-1.1362351,0.5015218
63.5,298,1,2500,3,0,0,-7.4442873,0.0014486783,5.6522356e-05,0.04880444,0.09717682,-1.1342838,0.50152886
64.0,298,1,2500,3,0,0,-7.370072,0.0013468704,5.5281464e-05,0.04738291,0.09772376,-1.1321741,0.5015359
64.5,298,1,2500,3,0,0,-7.287767,0.0012270221,5.3833064e-05,0.0457276,0.09840675,-1.1298518,0.5015431
65.0,298,1,2500,3,0,0,-7.1973386,0.0010870406,5.2170217e-05,0.043805502,0.099245965,-1.127297,0.50155026
65.5,298,1,2500,3,0,0,-7.0998917,0.000925447,5.029639e-05,0.041589167,0.1002576,-1.1245073,0.5015575
66.0,298,1,2500,3,0,0,-6.998859,0.00074192986,4.823398e-05,0.03906534,0.101453416,-1.1214802,0.5015648
66.5,298,1,2500,3,0,0,-6.9002733,0.0005377519,4.6031008e-05,0.036244128,0.102836065,-1.1182107,0.5015722
67.0,298,1,2500,3,0,0,-6.8123093,0.00031645896,4.376187e-05,0.03317065,0.10439929,-1.1147137,0.5015796
67.5,298,1,2500,3,0,0,-6.7451468,8.443345e-05,4.152195e-05,0.029931953,0.10612657,-1.111078,0.5015871
68.0,298,1,2500,3,0,0,-6.7078266,-0.00014968494,3.941668e-05,0.02665486,0.1079944,-1.1074376,0.5015946
68.5,298,1,2500,3,0,0,-6.705107,-0.00037526744,3.7540147e-05,0.023487993,0.109974906,-1.1039034,0.5016022
69.0,298,1,2500,3,0,0,-6.7356467,-0.0005820139,3.595453e-05,0.020571059,0.11203466,-1.1006092,0.5016097
69.5,298,1,2500,3,0,0,-6.7934794,-0.00076162204,3.4677465e-05,0.018003384,0.114129804,-1.0976735,0.50161725
70.0,298,1,2500,3,0,0,-6.8712974,-0.00090961193,3.3681918e-05,0.015827782,0.11620236,-1.0951188,0.5016247
70.5,298,1,2500,3,0,0,-6.9625244,-0.0010257933,3.2915883e-05,0.014035379,0.11818574,-1.0930413,0.5016322
71.0,298,1,2500,3,0,0,-7.0639143,-0.0011130894,3.2318094e-05,0.012584067,0.12002077,-1.0914139,0.50163954
71.5,298,1,2500,3,0,0,-7.172578,-0.001176222,3.1836153e-05,0.011418102,0.12167088,-1.0902491,0.5016469
72.0,298,1,2500,3,0,0,-7.2870874,-0.0012202073,3.1429e-05,0.010482165,0.12312783,-1.0895739,0.5016541
72.5,298,1,2500,3,0,0,-7.4055395,-0.0012495769,3.1067673e-05,0.009727637,0.12440907,-1.0893439,0.50166124
73.0,298,1,2500,3,0,0,-7.5263543,-0.0012680844,3.0736595e-05,0.0091148,0.12554516,-1.089606,0.5016682
73.5,298,1,2500,3,0,0,-7.647152,-0.001278791,3.0423025e-05,0.008612327,0.12657177,-1.0902911,0.5016752
74.0,298,1,2500,3,0,0,-7.765876,-0.0012836859,3.0122714e-05,0.008195793,0.12752125,-1.0914115,0.501682
74.5,298,1,2500,3,0,0,-7.881133,-0.0012844988,2.983167e-05,0.007846293,0.12841927,-1.0929053,0.5016887
75.0,298,1,2500,3,0,0,-7.9910545,-0.0012824752,2.9549894e-05,0.007549629,0.12928571,-1.094676,0.5016954
75.5,298,1,2500,3,0,0,-8.09501,-0.0012780644,2.9276227e-05,0.0072947275,0.13013442,-1.0966966,0.501702
76.0,298,1,2500,3,0,0,-8.191964,-0.0012721318,2.9011057e-05,0.007073506,0.13097538,-1.0988556,0.5017086
76.5,298,1,2500,3,0,0,-8.281883,-0.0012648845,2.8753739e-05,0.0068795737,0.13181539,-1.1011211,0.5017152
77.0,298,1,2500,3,0,0,-8.364511,-0.0012563745,2.8505818e-05,0.0067081098,0.13266018,-1.1034013,0.5017217
77.5,298,1,2500,3,0,0,-8.439677,-0.0012468614,2.826665e-05,0.006555741,0.13351342,-1.1056964,0.5017282
78.0,298,1,2500,3,0,0,-8.50769,-0.001236345,2.8037779e-05,0.0064194496,0.13437945,-1.1079149,0.50173455
78.5,298,1,2500,3,0,0,-8.568751,-0.0012248082,2.7817532e-05,0.006297079,0.13526139,-1.1100394,0.501741
79.0,298,1,2500,3,0,0,-8.623287,-0.0012121816,2.7607584e-05,0.006186981,0.13616295,-1.1120722,0.50174737
79.5,298,1,2500,3,0,0,-8.671399,-0.0011984309,2.7406648e-05,0.0060877083,0.13708772,-1.1139741,0.5017537
80.0,298,1,2500,3,0,0,-8.713427,-0.0011834347,2.7215236e-05,0.005998095,0.13803923,-1.1157326,0.50176
80.5,298,1,2500,3,0,0,-8.74954,-0.0011670548,2.703232e-05,0.0059171068,0.13902156,-1.1173475,0.5017663
81.0,298,1,2500,3,0,0,-8.780165,-0.0011493085,2.6858414e-05,0.0058440617,0.14003806,-1.1188314,0.5017726
81.5,298,1,2500,3,0,0,-8.805589,-0.001129919,2.6694162e-05,0.0057781325,0.14109296,-1.1201174,0.5017789
82.0,298,1,2500,3,0,0,-8.825574,-0.0011087998,2.653609e-05,0.0057188016,0.14218982,-1.12127,0.50178516
82.5,298,1,2500,3,0,0,-8.84092,-0.0010858472,2.6387801e-05,0.0056654303,0.14333153,-1.1222618,0.50179136
83.0,298,1,2500,3,0,0,-8.851168,-0.0010609573,2.624685e-05,0.0056176134,0.14452162,-1.1230903,0.5017976
83.5,298,1,2500,3,0,0,-8.856844,-0.0010338709,2.6113878e-05,0.0055748858,0.14576162,-1.1237729,0.5018038
84.0,298,1,2500,3,0,0,-8.857761,-0.0010045876,2.598747e-05,0.0055368235,0.14705339,-1.1242971,0.50181
84.5,298,1,2500,3,0,0,-8.8543625,-0.00097296946,2.5867372e-05,0.005503083,0.14839692,-1.1246656,0.5018163
85.0,298,1,2500,3,0,0,-8.846341,-0.0009388778,2.5754223e-05,0.005473396,0.14979121,-1.1248833,0.50182253
85.5,298,1,2500,3,0,0,-8.834292,-0.0009024338,2.5645195e-05,0.00544715,0.15123355,-1.1249822,0.50182873
86.0,298,1,2500,3,0,0,-8.8177395,-0.0008635337,2.5543632e-05,0.0054243025,0.15271945,-1.124913,0.501835
86.5,298,1,2500,3,0,0,-8.797244,-0.000822264,2.5445417e-05,0.0054042237,0.15424241,-1.1247201,0.5018412
87.0,298,1,2500,3,0,0,-8.772959,-0.00077859004,2.5352478e-05,0.005386758,0.15579402,-1.1243961,0.5018474
87.5,298,1,2500,3,0,0,-8.744951,-0.00073301344,2.5263658e-05,0.0053714663,0.1573638,-1.1239287,0.5018537
88.0,298,1,2500,3,0,0,-8.713733,-0.0006855169,2.517677e-05,0.005358028,0.15894023,-1.1233623,0.50185996
88.5,298,1,2500,3,0,0,-8.679284,-0.0006365502,2.5094387e-05,0.005346195,0.16050948,-1.1226401,0.5018662
89.0,298,1,2500,3,0,0,-8.642525,-0.0005866148,2.5014193e-05,0.0053355,0.16205776,-1.121819,0.5018726
89.5,298,1,2500,3,0,0,-8.603403,-0.00053602224,2.4937344e-05,0.0053257453,0.16357118,-1.1208396,0.5018789
90.0,298,1,2500,3,0,0,-8.56282,-0.00048537774,2.4862813e-05,0.0053166375,0.16503558,-1.1197786,0.5018852
90.5,298,1,2500,3,0,0,-8.521065,-0.00043516565,2.4791116e-05,0.005307857,0.16643909,-1.1186014,0.50189155
91.0,298,1,2500,3,0,0,-8.478918,-0.00038592218,2.472199e-05,0.005299439,0.16777088,-1.1173451,0.50189793
91.5,298,1,2500,3,0,0,-8.436669,-0.00033809702,2.4655441e-05,0.005291021,0.16902265,-1.1159403,0.5019043
92.0,298,1,2500,3,0,0,-8.394999,-0.00029222638,2.4591722e-05,0.005282448,0.17018798,-1.1145133,0.5019108
92.5,298,1,2500,3,0,0,-8.354399,-0.00024853513,2.4530964e-05,0.0052738576,0.17126414,-1.112975,0.5019172
93.0,298,1,2500,3,0,0,-8.315294,-0.00020743835,2.4474197e-05,0.0052649654,0.1722494,-1.1113873,0.5019237
