algo,number,state,trial_dir,w_emission,w_soc_squared,phase1_best_seed,value,rmse_speed_kmph,total_nox_g,delta_soc,abs_dsoc,max_abs_soc_drift,rms_soc_drift,rmse_penalty,soc_penalty,drmse_pct,dnox_pct,p1_rmse,p1_nox,p1_dsoc,duration_s,datetime_start,datetime_complete,abs_path
ppo,10,COMPLETE,trial_010_we0.581_wsq58.1,0.5809043253902613,58.11930515221714,3,9.52584264145628,3.063307317819291,9.483709335327148,-0.0383439064025878,0.0383439064025878,0.0564910173416137,0.0338519252836704,0.0,0.0421333061291306,-3.15183946192567,70.26408142418578,3.163,5.57,0.2992,22760.004003,2026-05-11 22:32:53.048366,2026-05-12 04:52:13.052369,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_010_we0.581_wsq58.1
ppo,11,PRUNED,trial_011_we0.672_wsq238.7,0.6723267562961694,238.6969091719336,3,3.271691083908081,,,,,,,,,,,3.163,5.57,0.2992,19610.474234,2026-05-11 22:38:21.493805,2026-05-12 04:05:11.968039,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_011_we0.672_wsq238.7
ppo,12,COMPLETE,trial_012_we1.180_wsq163.8,1.17954826626305,163.79626854871083,3,5.275139808654785,3.1881258939015105,5.275139808654785,-0.0395117402076721,0.0395117402076721,0.0415601134300231,0.0265789479017257,0.0,0.0,0.7943690768735585,-5.293719772804581,3.163,5.57,0.2992,22347.21036,2026-05-11 22:39:49.324312,2026-05-12 04:52:16.534672,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_012_we1.180_wsq163.8
ppo,13,COMPLETE,trial_013_we0.325_wsq65.5,0.3247913109489192,65.50739821113547,3,6.201188087463379,3.106274669854711,6.201188087463379,-0.0364761352539062,0.0364761352539062,0.0377876758575439,0.0238389018923044,0.0,0.0,-1.7934027867622202,11.33192257564414,3.163,5.57,0.2992,23930.856272,2026-05-11 22:40:24.579469,2026-05-12 05:19:15.435741,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_013_we0.325_wsq65.5
ppo,14,COMPLETE,trial_014_we1.248_wsq40.1,1.2484832199790818,40.12098119901622,3,4.145627021789551,3.1055930326682883,4.145627021789551,-0.0449088811874389,0.0449088811874389,0.0474036335945129,0.0332945697009563,0.0,0.0,-1.814953124619395,-25.57222582065439,3.163,5.57,0.2992,22897.983999,2026-05-11 22:44:37.803726,2026-05-12 05:06:15.787725,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_014_we1.248_wsq40.1
ppo,15,COMPLETE,trial_015_we1.247_wsq32.3,1.246712332592881,32.349776536932744,3,4.263847777144889,3.056383608186831,4.007899761199951,-0.0514948368072509,0.0514948368072509,0.065998375415802,0.0502777174115181,0.0,0.2559480159449377,-3.3707363835968653,-28.04488759066515,3.163,5.57,0.2992,23114.595186,2026-05-11 22:45:06.497755,2026-05-12 05:10:21.092941,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_015_we1.247_wsq32.3
ppo,16,COMPLETE,trial_016_we0.956_wsq42.3,0.9561889336175065,42.30982517297477,3,4.322571277618408,3.0482891897548754,4.322571277618408,-0.0312088131904602,0.0312088131904602,0.0425472855567932,0.0252016298472881,0.0,0.0,-3.626645913535391,-22.395488732165028,3.163,5.57,0.2992,27874.905981,2026-05-12 03:15:59.812929,2026-05-12 11:00:34.718910,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_016_we0.956_wsq42.3
ppo,17,PRUNED,trial_017_we0.923_wsq87.7,0.923253625245602,87.72862919294411,3,3.2605369091033936,,,,,,,,,,,3.163,5.57,0.2992,18620.364487,2026-05-12 03:25:02.803201,2026-05-12 08:35:23.167688,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_017_we0.923_wsq87.7
ppo,18,PRUNED,trial_018_we0.934_wsq71.4,0.9341131402329852,71.41028367892956,3,3.463995933532715,,,,,,,,,,,3.163,5.57,0.2992,15383.878767,2026-05-12 03:26:01.133865,2026-05-12 07:42:25.012632,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_018_we0.934_wsq71.4
ppo,19,COMPLETE,trial_019_we1.073_wsq105.3,1.0725072911576978,105.26433748069552,3,5.755007743835449,3.064074597793763,5.755007743835449,-0.0317168235778808,0.0317168235778808,0.0467711687088012,0.0287357661873102,0.0,0.0,-3.127581479805144,3.3215034799901066,3.163,5.57,0.2992,49075.557865,2026-05-12 15:54:33.769613,2026-05-13 05:32:29.327478,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/ppo/phase2_optuna/trial_019_we1.073_wsq105.3
sac,0,COMPLETE,trial_000_we0.435_wsq116.2,0.4351200801339003,116.18731023579362,3,7.106849670410156,3.655137616847583,7.106849670410156,-0.0170686244964599,0.0170686244964599,0.0251990556716918,0.0084101250395178,0.0,0.0,17.679897516020066,-85.47844366487503,3.106,48.94,0.2987,64953.521123,2026-05-12 01:27:00.085594,2026-05-12 19:29:33.606717,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_000_we0.435_wsq116.2
