number,value,state,datetime_start,datetime_complete,duration_s,w_emission,w_soc_squared,rmse_speed_kmph,total_nox_g,max_abs_soc_drift,rms_soc_drift,delta_soc,rmse_penalty,soc_penalty
0,14.912715911865234,TrialState.COMPLETE,2026-05-11 15:36:05.230031,2026-05-12 07:33:57.914512,57472.684481,0.7603718266168541,156.89835431122066,3.238572603959505,14.912715911865234,0.03139883279800415,0.023502830415964127,-0.03139883279800415,0.0,0.0
1,10.91639232635498,TrialState.COMPLETE,2026-05-11 15:36:05.250096,2026-05-12 04:42:34.977479,47189.727383,0.6976782048856811,137.4096315056713,4.250332498819954,10.91639232635498,0.03116142749786377,0.012990518473088741,-0.00830066204071045,0.0,0.0
2,4.1967315673828125,TrialState.PRUNED,2026-05-11 15:36:05.812453,2026-05-12 08:17:16.164642,60070.352189,0.47764801534789614,67.87725834754703,,,,,,,
3,5.326985436016827,TrialState.COMPLETE,2026-05-11 15:36:06.263223,2026-05-12 04:10:56.317144,45290.053921,1.0929338597923335,56.168909722661155,4.320047953365933,2.990877628326416,0.09833329916000366,0.06074266508221626,-0.06482452154159546,0.0,2.3361078076904103
4,3.9495795782045207,TrialState.COMPLETE,2026-05-11 15:36:07.319569,2026-05-12 04:45:48.604321,47381.284752,1.0098926776471453,64.4979146356826,4.009903464064092,2.6836013793945312,0.08558058738708496,0.06638986617326736,-0.07410609722137451,0.0,1.2659781988099892
5,21.9065371825551,TrialState.COMPLETE,2026-05-11 15:36:08.309042,2026-05-12 03:59:57.163961,44628.854919,1.1323417622329712,211.05614723254135,4.957940143229463,21.10061264038086,0.07838881015777588,0.03406122699379921,-0.00815671682357788,0.0,0.8059245421742387
6,7.077962398529053,TrialState.PRUNED,2026-05-11 15:36:09.314509,2026-05-12 05:09:01.314565,48772.000056,1.1249452091034289,44.51922360785548,,,,,,,
7,17.05937957763672,TrialState.COMPLETE,2026-05-11 15:36:10.311306,2026-05-12 07:40:36.609108,57866.297802,0.6054382009245955,219.442587787683,3.826369580627,17.05937957763672,0.04129153490066528,0.02042706310749054,-0.0032952427864074707,0.0,0.0
8,,TrialState.RUNNING,2026-05-11 15:36:11.332144,,,0.30693025334121293,212.65660710525123,,,,,,,
9,20.821788787841797,TrialState.COMPLETE,2026-05-11 15:36:12.316173,2026-05-12 04:05:15.432690,44943.116517,1.120705487919412,94.67774373411868,4.568080866198339,20.821788787841797,0.04188799858093262,0.026300575584173203,-0.040917158126831055,0.0,0.0
10,112.6163121539981,TrialState.COMPLETE,2026-05-12 03:59:57.176067,2026-05-12 16:06:17.725188,43580.549121,0.8260089598942263,36.30194672742705,6.418496827257129,6.811203956604004,0.306051641702652,0.19364170730113983,-0.2726570665836334,40.24266497877082,65.56244321862327
11,82.39702606201172,TrialState.PRUNED,2026-05-12 04:05:15.443381,2026-05-12 09:55:06.446667,20991.003286,0.7659500383230471,228.98945289848564,,,,,,,
12,10.568046569824219,TrialState.COMPLETE,2026-05-12 04:10:56.328138,2026-05-12 16:09:55.465738,43139.1376,0.7821802408777114,126.84204571200497,4.068189585615409,10.568046569824219,0.04305827617645264,0.028744656592607498,-0.042772531509399414,0.0,0.0
13,8.369087219238281,TrialState.COMPLETE,2026-05-12 04:42:34.988005,2026-05-12 16:40:02.411057,43047.423052,0.57588191296285,163.1276228052623,3.835289220405253,8.369087219238281,0.01811826229095459,0.008320579305291176,-0.010698556900024414,0.0,0.0
14,10.979100217877203,TrialState.COMPLETE,2026-05-12 04:45:48.614929,2026-05-12 16:38:31.615248,42763.000319,0.26711409210229775,27.032476274096382,3.6883415473996246,9.86212158203125,0.08342123031616211,0.039736852049827576,0.01488029956817627,0.0,1.1169786358459532
15,9.748383522033691,TrialState.COMPLETE,2026-05-12 05:09:01.347027,2026-05-12 17:10:35.928287,43294.58126,0.35751346191257394,222.15544179394237,3.192725289495725,9.748383522033691,0.021698594093322754,0.014096789062023163,-0.00892716646194458,0.0,0.0
16,24.538558959960938,TrialState.COMPLETE,2026-05-12 07:33:57.941839,2026-05-12 23:22:24.291961,56906.350122,0.2542286803745789,97.20017731680683,3.2527023614407926,24.538558959960938,0.0345798134803772,0.021162722259759903,-0.030127882957458496,0.0,0.0
17,13.749276525411767,TrialState.COMPLETE,2026-05-12 07:40:36.630583,2026-05-12 22:05:34.190186,51897.559603,0.28124013057449976,98.68077708311986,5.128982910269018,13.347813606262207,0.05829042196273804,0.02489703893661499,-0.039936602115631104,0.3327318228293114,0.06873109632024915
18,46.65087890625,TrialState.PRUNED,2026-05-12 08:17:16.174577,2026-05-12 18:09:43.556889,35547.382312,0.9024219391474961,122.75068851817,,,,,,,
