step,em2_torque,soc,vel
0,50,0.5008503794670105,-0.5139265060424805
1,50,0.5004328489303589,1.2358982563018799
2,50,0.49902620911598206,-0.8985236883163452
3,50,0.49803104996681213,0.3590221703052521
4,50,0.4977795481681824,1.002695918083191
5,50,0.49762222170829773,1.3624749183654785
6,50,0.4975917637348175,1.4379608631134033
7,50,0.49765270948410034,1.419095516204834
8,50,0.4977647364139557,1.3905898332595825
9,50,0.4978923201560974,1.4134467840194702
10,50,0.4980216324329376,1.5072194337844849
11,50,0.4981493353843689,1.6688705682754517
12,50,0.49827224016189575,1.8906171321868896
13,50,0.498383104801178,2.165217638015747
14,50,0.49847421050071716,2.4805092811584473
15,50,0.4985407590866089,2.81689453125
16,50,0.49858376383781433,3.151209831237793
17,50,0.4986088275909424,3.462700128555298
18,50,0.49862396717071533,3.736722230911255
19,50,0.49863678216934204,3.966251850128174
20,50,0.4986526668071747,4.151744365692139
21,50,0.4986739456653595,4.299520969390869
22,50,0.4987007975578308,4.419879913330078
23,50,0.49873223900794983,4.525175094604492
24,50,0.49876686930656433,4.628113269805908
25,50,0.49880337715148926,4.739994525909424
26,50,0.49884042143821716,4.869242191314697
27,50,0.4988766610622406,5.020456314086914
28,50,0.49891069531440735,5.1941938400268555
29,50,0.4989413619041443,5.387454509735107
30,50,0.49896785616874695,5.594775199890137
31,50,0.49898988008499146,5.809411525726318
32,50,0.4990078806877136,6.0246758460998535
33,50,0.4990226626396179,6.234817981719971
34,50,0.4990352690219879,6.435728549957275
35,50,0.49904683232307434,6.625138282775879
36,50,0.49905818700790405,6.80258321762085
37,50,0.4990699291229248,6.9691877365112305
38,50,0.4990822970867157,7.127319812774658
39,50,0.4990953207015991,7.279958724975586
40,50,0.49910882115364075,7.430366516113281
41,50,0.49912241101264954,7.581496715545654
42,50,0.49913591146469116,7.735610008239746
43,50,0.49914875626564026,7.894120216369629
44,50,0.4991607666015625,8.057504653930664
45,50,0.4991717040538788,8.225346565246582
46,50,0.4991813600063324,8.396637916564941
47,50,0.4991898238658905,8.569945335388184
48,50,0.49919700622558594,8.743783950805664
49,50,0.49920329451560974,8.916764259338379
50,50,0.4992087483406067,9.087830543518066
51,50,0.4992135465145111,9.256357192993164
52,50,0.4992179274559021,9.422143936157227
53,50,0.4992219805717468,9.585387229919434
54,50,0.4992258548736572,9.74660587310791
55,50,0.4992295205593109,9.906516075134277
56,50,0.4992329180240631,10.06589126586914
57,50,0.4992361068725586,10.225420951843262
58,50,0.4992389380931854,10.385686874389648
59,50,0.49924135208129883,10.54703426361084
60,50,0.4992433190345764,10.709614753723145
61,50,0.4992448091506958,10.873360633850098
62,50,0.4992457926273346,11.038064002990723
63,50,0.4992462396621704,11.203432083129883
64,50,0.4992462396621704,11.36911678314209
65,50,0.4992457628250122,11.53481674194336
66,50,0.4992448389530182,11.70029354095459
67,50,0.4992436468601227,11.86541748046875
68,50,0.4992420971393585,12.030144691467285
69,50,0.4992402493953705,12.194561004638672
70,50,0.49923813343048096,12.35876178741455
71,50,0.49923574924468994,12.522918701171875
72,50,0.4992331564426422,12.687240600585938
73,50,0.4992302656173706,12.851863861083984
74,50,0.4992270767688751,13.016922950744629
75,50,0.4992237389087677,13.18247127532959
76,50,0.49921995401382446,13.348522186279297
77,50,0.49921590089797974,13.515057563781738
78,50,0.4992116093635559,13.68199348449707
79,50,0.49920693039894104,13.849235534667969
80,50,0.4992019832134247,14.01669979095459
81,50,0.49919676780700684,14.184261322021484
82,50,0.4991912841796875,14.351882934570312
83,50,0.4991855323314667,14.51949691772461
84,50,0.49917954206466675,14.68708610534668
85,50,0.49917328357696533,14.854657173156738
86,50,0.4991667866706848,15.022223472595215
87,50,0.4991600811481476,15.189820289611816
88,50,0.49915316700935364,15.357475280761719
89,50,0.499146044254303,15.525227546691895
90,50,0.49913862347602844,15.693078994750977
91,50,0.4991310238838196,15.861056327819824
92,50,0.49912315607070923,16.029130935668945
93,50,0.4991150200366974,16.197298049926758
94,50,0.4991067051887512,16.36553192138672
95,50,0.49909812211990356,16.533794403076172
96,50,0.4990893602371216,16.70204734802246
97,50,0.4990803301334381,16.870277404785156
98,50,0.49907106161117554,17.03845977783203
99,50,0.499061644077301,17.20656394958496
100,50,0.4990520179271698,17.374576568603516
101,50,0.4990420937538147,17.542516708374023
102,50,0.49903202056884766,17.710372924804688
103,50,0.4990217387676239,17.878128051757812
104,50,0.49901121854782104,18.04581642150879
105,50,0.49900051951408386,18.213415145874023
106,50,0.49898961186408997,18.38094139099121
107,50,0.4989784359931946,18.548377990722656
108,50,0.49896717071533203,18.715730667114258
109,50,0.4989556670188904,18.882978439331055
110,50,0.498943954706192,19.050106048583984
111,50,0.49893203377723694,19.217119216918945
112,50,0.49891990423202515,19.383996963500977
113,50,0.49890759587287903,19.550718307495117
114,50,0.49889498949050903,19.71728515625
115,50,0.49888235330581665,19.88368797302246
116,50,0.498869389295578,20.04991340637207
117,50,0.4988563358783722,20.215957641601562
118,50,0.4988430440425873,20.3818302154541
119,50,0.49882954359054565,20.54751205444336
120,50,0.4988158345222473,20.713008880615234
121,50,0.4988020062446594,20.87830352783203
122,50,0.49878793954849243,21.043415069580078
123,50,0.4987737238407135,21.208328247070312
124,50,0.49875932931900024,21.373035430908203
125,50,0.49874475598335266,21.537521362304688
126,50,0.4987299144268036,21.701801300048828
127,50,0.49871498346328735,21.865854263305664
128,50,0.498699814081192,22.029682159423828
129,50,0.4986843764781952,22.193265914916992
130,50,0.49866893887519836,22.356618881225586
131,50,0.49865323305130005,22.51972007751465
132,50,0.498637318611145,22.68257713317871
133,50,0.49862125515937805,22.845169067382812
134,50,0.49860498309135437,23.00751495361328
135,50,0.49858856201171875,23.16959571838379
136,50,0.4985719621181488,23.33141326904297
137,50,0.49855515360832214,23.49295997619629
138,50,0.49853816628456116,23.654239654541016
139,50,0.49852100014686584,23.81523323059082
140,50,0.4985036849975586,23.975954055786133
141,50,0.49848613142967224,24.136394500732422
142,50,0.4984684884548187,24.29654312133789
143,50,0.4984506368637085,24.456401824951172
144,50,0.49843263626098633,24.6159610748291
145,50,0.49841439723968506,24.775222778320312
146,50,0.49839600920677185,24.93418312072754
147,50,0.4983774423599243,25.092832565307617
148,50,0.49835869669914246,25.25117301940918
149,50,0.49833977222442627,25.409204483032227
150,50,0.49832066893577576,25.566923141479492
151,50,0.4983014166355133,25.724315643310547
152,50,0.49828192591667175,25.881391525268555
153,50,0.49826234579086304,26.038129806518555
154,50,0.4982425570487976,26.194551467895508
155,50,0.49822255969047546,26.350631713867188
156,50,0.49820244312286377,26.506380081176758
157,50,0.49818211793899536,26.661792755126953
158,50,0.498161643743515,26.816864013671875
159,50,0.49814099073410034,26.971588134765625
160,50,0.49812015891075134,27.1259708404541
161,50,0.498099148273468,27.27998924255371
162,50,0.49807798862457275,27.433666229248047
163,50,0.49805665016174316,27.586984634399414
164,50,0.49803513288497925,27.73993682861328
165,50,0.49801337718963623,27.892528533935547
166,50,0.49799153208732605,28.044754028320312
167,50,0.49796947836875916,28.19661521911621
168,50,0.4979472756385803,28.348102569580078
169,50,0.49792492389678955,28.49921226501465
