step,nox
0,0.00169269903562963
1,0.0010084101231768727
2,-0.001153978519141674
3,0.0008217623690143228
4,0.0034047875087708235
5,0.004349191673099995
6,0.0043625012040138245
7,0.004223894793540239
8,0.004202559590339661
9,0.004142323974519968
10,0.004021965432912111
11,0.003775895107537508
12,0.003470177296549082
13,0.0031293993815779686
14,0.0027964222244918346
15,0.0024855067022144794
16,0.0022154892794787884
17,0.0019930375274270773
18,0.001824706792831421
19,0.0017077038064599037
20,0.0016361044254153967
21,0.00160075887106359
22,0.0015935634728521109
23,0.0016069423872977495
24,0.0016345910262316465
25,0.001670420984737575
26,0.0017094507347792387
27,0.001747503294609487
28,0.0017824165988713503
29,0.0018137061269953847
30,0.0018424531444907188
31,0.0018707590643316507
32,0.0019009675597772002
33,0.0019349554786458611
34,0.001973941922187805
35,0.0020185327157378197
36,0.0020685198251158
37,0.002123410813510418
38,0.0021824007853865623
39,0.00224456493742764
40,0.002308916999027133
41,0.0023745230864733458
42,0.0024403452407568693
43,0.002505397889763117
44,0.002569092670455575
45,0.002630314091220498
46,0.0026886556297540665
47,0.0027434686198830605
48,0.0027943640016019344
49,0.002841177163645625
50,0.0028836489655077457
51,0.0029218140989542007
52,0.0029557673260569572
53,0.0029856213368475437
54,0.003011877415701747
55,0.003034518798813224
56,0.0030540726147592068
57,0.0030708417762070894
58,0.0030852064955979586
59,0.0030974699184298515
60,0.0031079689506441355
61,0.0031169545836746693
62,0.0031247378792613745
63,0.003131544217467308
64,0.0031375547405332327
65,0.0031429340597242117
66,0.003147837705910206
67,0.0031523865181952715
68,0.00315665896050632
69,0.00316069764085114
70,0.00316467578522861
71,0.0031684725545346737
72,0.0031721999403089285
73,0.0031758062541484833
74,0.0031793001107871532
75,0.003182724816724658
76,0.0031860284507274628
77,0.0031892284750938416
78,0.003192281350493431
79,0.003195230383425951
80,0.003197997808456421
81,0.0032006094697862864
82,0.0032030916772782803
83,0.0032053920440375805
84,0.0032075541093945503
85,0.003209525952115655
86,0.00321133341640234
87,0.0032129420433193445
88,0.003214369062334299
89,0.003215692238882184
90,0.0032168857287615538
91,0.0032178715337067842
92,0.003218762343749404
93,0.003219488775357604
94,0.0032201202120631933
95,0.0032206217292696238
96,0.0032210368663072586
97,0.0032212703954428434
98,0.0032213914673775434
99,0.0032214433886110783
100,0.003221426159143448
101,0.0032213309314101934
102,0.0032211407087743282
103,0.003220777492970228
104,0.0032204315066337585
105,0.003219964448362589
106,0.003219480160623789
107,0.0032188401091843843
108,0.0032181136775761843
109,0.0032173353247344494
110,0.003216539742425084
111,0.0032155883964151144
112,0.0032146370504051447
113,0.0032135474029928446
114,0.003212431911379099
115,0.003211220959201455
116,0.00321000162512064
117,0.0032086351420730352
118,0.0032072686590254307
119,0.0032057985663414
120,0.003204267704859376
121,0.003202719846740365
122,0.003201024606823921
123,0.0031993556767702103
124,0.0031975654419511557
