ICE_Out_0,ICE_Out_1,ICE_Out_2,ICE_Out_3,ICE_Out_4,DRV_Car_Speed_kmph,DRV_SOC_1
-3.9934409,0.000271678,3.82489e-06,0.00025600588,0.14367658,26.928143,0.68230426
-3.9422362,0.00025125933,3.4680684e-06,0.0002395236,0.14451432,27.02304,0.6823103
-3.8884144,0.00023154118,3.1254065e-06,0.0002236968,0.14533015,27.086838,0.6823129
-3.832655,0.00021261869,2.7974188e-06,0.00020857726,0.14611891,27.111767,0.6823166
-3.7754173,0.00019472533,2.4869378e-06,0.00019425983,0.14687626,27.08161,0.6823314
-3.7174487,0.00017789572,2.1944782e-06,0.00018086529,0.1475993,26.981283,0.6823565
-3.6592422,0.00016233741,1.9205545e-06,0.00016835048,0.14828548,26.7608,0.68239635
-3.6014435,0.00014795527,1.6661969e-06,0.00015675854,0.14893325,26.37549,0.6824386
-3.5444098,0.0001348012,1.4298605e-06,0.00014605497,0.14954223,25.79651,0.6824614
-3.4886334,0.00012294437,1.2130902e-06,0.0001362484,0.15011178,25.018816,0.68241477
-3.4345226,0.00011228965,1.0138262e-06,0.00012727844,0.15064292,24.099457,0.6822586
-3.3822982,0.0001028111,8.307814e-07,0.000119136486,0.15113674,23.130028,0.6819691
-3.3321643,9.430116e-05,6.636983e-07,0.000111710404,0.1515949,22.231226,0.681558
-3.2843413,8.693281e-05,5.1154717e-07,0.00010504331,0.15201874,21.535452,0.6810773
-3.2388978,8.0455226e-05,3.7355557e-07,9.895409e-05,0.15241063,21.10108,0.68056417
-3.1957996,7.479058e-05,2.4637677e-07,9.352038e-05,0.15277246,20.887014,0.68002975
-3.1552165,6.995617e-05,1.3129797e-07,8.857828e-05,0.1531067,20.751198,0.6794634
-3.1169956,6.578769e-05,2.6259592e-08,8.41968e-05,0.15341528,20.642786,0.67887414
-3.081154,6.224188e-05,-6.951068e-08,8.020345e-05,0.1537003,20.531666,0.67830783
-3.0475898,5.9249567e-05,-1.567852e-07,7.6632714e-05,0.15396339,20.424498,0.67778593
-3.0162857,5.6793448e-05,-2.3685122e-07,7.340698e-05,0.15420733,20.32456,0.67728984
-2.987072,5.468326e-05,-3.0996617e-07,7.0509e-05,0.15443286,20.229343,0.67678607
-2.9599485,5.3040083e-05,-3.787045e-07,6.793876e-05,0.15464263,20.133266,0.6762593
-2.9345756,5.1665e-05,-4.4100668e-07,6.56014e-05,0.15483736,20.047583,0.6757521
-2.911174,5.058396e-05,-4.986748e-07,6.347966e-05,0.15501891,19.943155,0.6753386
-2.889353,4.983156e-05,-5.5299614e-07,6.158217e-05,0.15518828,19.787376,0.67507315
-2.8692825,4.9278067e-05,-6.021685e-07,5.9848557e-05,0.15534711,19.510242,0.67492396
-2.8505373,4.88543e-05,-6.487664e-07,5.8296064e-05,0.15549584,19.124289,0.67483425
-2.8333387,4.8655387e-05,-6.9278985e-07,5.6890196e-05,0.15563567,18.64764,0.6747703
-2.817313,4.859485e-05,-7.337239e-07,5.5665452e-05,0.15576789,18.113876,0.6747312
-2.8025787,4.859485e-05,-7.7234097e-07,5.4501084e-05,0.15589254,17.570131,0.67473966
-2.788864,4.879376e-05,-8.088984e-07,5.344884e-05,0.1560107,17.049603,0.6748324
-2.776237,4.900997e-05,-8.4365377e-07,5.247422e-05,0.15612301,16.591818,0.6750346
-2.7646468,4.9347254e-05,-8.7712186e-07,5.165485e-05,0.15622997,16.20305,0.6753405
-2.7539232,4.9693186e-05,-9.0750063e-07,5.0844104e-05,0.15633221,15.869913,0.6757175
-2.7440493,5.0151546e-05,-9.381368e-07,5.014548e-05,0.15642983,15.587084,0.67610806
-2.7348382,5.0670445e-05,-9.669709e-07,4.953311e-05,0.1565237,15.24783,0.6764767
-2.726358,5.1137453e-05,-9.950326e-07,4.8963862e-05,0.15661377,14.813001,0.6767605
-2.7184894,5.1760133e-05,-1.0210347e-06,4.8394617e-05,0.15670052,14.280244,0.67693794
-2.7113857,5.2348216e-05,-1.0470369e-06,4.785987e-05,0.15678422,13.718309,0.67699784
-2.7047408,5.2919004e-05,-1.0720092e-06,4.7454498e-05,0.15686506,13.244548,0.67698485
-2.6985886,5.3524385e-05,-1.0959518e-06,4.7006e-05,0.15694334,12.895897,0.6769793
-2.6929126,5.4112472e-05,-1.1193795e-06,4.6661e-05,0.15701929,12.67576,0.67703015
-2.687678,5.478704e-05,-1.1420348e-06,4.6333254e-05,0.15709308,12.577697,0.6771411
-2.6827497,5.544431e-05,-1.1646902e-06,4.601413e-05,0.15716471,12.576238,0.6772522
-2.678348,5.6084285e-05,-1.1858008e-06,4.572088e-05,0.15723446,12.621686,0.67732286
-2.6741674,5.674156e-05,-1.2069114e-06,4.5444882e-05,0.15730256,12.654057,0.67734474
-2.6703436,5.7381534e-05,-1.2269924e-06,4.5220633e-05,0.15736878,12.646983,0.6773339
-2.6667578,5.806475e-05,-1.2468157e-06,4.4979133e-05,0.15743375,12.6125145,0.67731273
-2.6634948,5.8696074e-05,-1.2666392e-06,4.472901e-05,0.15749702,12.569615,0.6772977
-2.660436,5.9310107e-05,-1.2856902e-06,4.456514e-05,0.15755908,12.52895,0.6772901
-2.6576998,5.9932783e-05,-1.3042264e-06,4.4392636e-05,0.15761963,12.5166855,0.6772833
-2.6550655,6.0546812e-05,-1.3225051e-06,4.4228764e-05,0.15767924,12.628742,0.67726785
-2.6526012,6.112625e-05,-1.3407839e-06,4.408214e-05,0.15773745,12.940263,0.6772464
-2.650392,6.174893e-05,-1.3582903e-06,4.396139e-05,0.15779479,13.327624,0.67717856
-2.6482167,6.231972e-05,-1.3755392e-06,4.3832017e-05,0.15785095,13.634639,0.6770823
-2.6463814,6.296834e-05,-1.3927881e-06,4.3694017e-05,0.15790613,13.839282,0.6770341
-2.644495,6.355643e-05,-1.4100372e-06,4.3616394e-05,0.15796036,13.9716425,0.67704374
-2.6427615,6.4058026e-05,-1.4257414e-06,4.3538766e-05,0.15801372,14.043706,0.6770884
-2.641283,6.462882e-05,-1.442218e-06,4.3452517e-05,0.15806617,14.073602,0.6771548
-2.6396344,6.520825e-05,-1.4579223e-06,4.3400767e-05,0.15811789,14.112621,0.6772322
