ICE_ICE_Torque_Nm,ICE_NOx_gps,ICE_CO_gps,ICE_THC_gps,ICE_CO2_gps,DRV_Car_Speed_kmph,DRV_SOC_1
-4.0415525,0.000292408,4.191752e-06,0.00027297979,0.14282183,23.29102,0.6964432
-3.9934406,0.000271678,3.824632e-06,0.00025601452,0.1436767,23.457458,0.69645953
-3.94227,0.00025127662,3.4683258e-06,0.00023953222,0.14451432,23.595657,0.69647497
-3.8884141,0.00023153254,3.1251489e-06,0.00022369681,0.1453302,23.671993,0.6964861
-3.832655,0.00021262735,2.7976764e-06,0.00020857726,0.14611885,23.67335,0.69649374
-3.775468,0.00019471669,2.4869378e-06,0.00019426846,0.14687632,23.575777,0.6964981
-3.7174485,0.00017791303,2.1947355e-06,0.00018088253,0.1475993,23.372543,0.69649833
-3.6592422,0.00016233743,1.9205545e-06,0.00016835911,0.14828542,22.981895,0.6964875
-3.6014435,0.00014795527,1.6661969e-06,0.00015676717,0.14893326,22.354786,0.69645834
-3.5444267,0.00013480984,1.430118e-06,0.00014605497,0.14954229,21.457766,0.6964059
-3.4886503,0.00012295302,1.2130902e-06,0.00013625702,0.15011178,20.328772,0.69632715
-3.4345396,0.00011228965,1.0138262e-06,0.00012727844,0.15064292,19.098354,0.6962302
-3.3823152,0.0001028284,8.307814e-07,0.00011915374,0.1511368,17.892572,0.6961287
-3.332181,9.4327115e-05,6.636983e-07,0.00011171903,0.1515949,16.810839,0.6960404
-3.2843752,8.692416e-05,5.112897e-07,0.00010503469,0.15201876,15.8552475,0.6959742
-3.2388809,8.046387e-05,3.7355557e-07,9.897135e-05,0.15241063,14.938641,0.6959185
-3.1958165,7.479923e-05,2.4637677e-07,9.3529e-05,0.15277252,13.962983,0.6958603
-3.1552165,6.993888e-05,1.3129797e-07,8.85869e-05,0.15310676,12.756106,0.69577646
-3.1169615,6.578769e-05,2.6259592e-08,8.422268e-05,0.15341523,11.284753,0.69566655
-3.081171,6.221594e-05,-6.9768134e-08,8.0194826e-05,0.1537003,9.618887,0.6955465
-3.0475726,5.925822e-05,-1.567852e-07,7.6632714e-05,0.15396345,7.930733,0.6954375
-3.0163026,5.68021e-05,-2.3685122e-07,7.3415606e-05,0.15420733,6.4221735,0.6953703
-2.987089,5.4683263e-05,-3.102236e-07,7.0509e-05,0.15443292,5.192119,0.6953563
-2.9599655,5.3040083e-05,-3.787045e-07,6.793014e-05,0.15464263,4.33672,0.6953919
-2.9345415,5.1656352e-05,-4.4100668e-07,6.56014e-05,0.15483741,3.8461277,0.69545215
-2.911174,5.059261e-05,-4.9841736e-07,6.347966e-05,0.15501891,3.6721034,0.6955077
-2.88937,4.9848855e-05,-5.524812e-07,6.158217e-05,0.15518834,3.6915698,0.695546
-2.8692822,4.926942e-05,-6.021685e-07,5.9865808e-05,0.15534706,3.715154,0.69554985
-2.8505542,4.886295e-05,-6.487664e-07,5.8296064e-05,0.15549578,3.6694868,0.69553375
-2.8333387,4.8681333e-05,-6.927898e-07,5.6907447e-05,0.15563573,3.558449,0.69552416
-2.817313,4.8586204e-05,-7.337239e-07,5.5648205e-05,0.15576784,3.445423,0.69553155
-2.8025784,4.861215e-05,-7.7234097e-07,5.450971e-05,0.15589255,3.4167192,0.6955579
-2.788898,4.8785114e-05,-8.088984e-07,5.3457465e-05,0.15601066,3.5150623,0.69559383
-2.776254,4.902727e-05,-8.439112e-07,5.2482847e-05,0.15612307,3.745099,0.69562614
-2.7646465,4.9347254e-05,-8.768644e-07,5.165485e-05,0.15622997,4.043284,0.6956413
-2.753923,4.9693186e-05,-9.077581e-07,5.0844104e-05,0.15633215,4.289851,0.6956256
-2.7440321,5.0168845e-05,-9.381368e-07,5.0154107e-05,0.15642995,4.398188,0.6955828
-2.734872,5.0670445e-05,-9.669709e-07,4.953311e-05,0.15652364,4.252103,0.6955119
-2.7263408,5.1146104e-05,-9.950326e-07,4.8963866e-05,0.15661383,3.8460338,0.69541997
-2.7185233,5.172554e-05,-1.0210347e-06,4.838599e-05,0.15670048,3.2319813,0.69531596
-2.7113855,5.234822e-05,-1.0467794e-06,4.787712e-05,0.15678427,2.5719252,0.69521594
-2.7047408,5.2936302e-05,-1.0720092e-06,4.748037e-05,0.156865,2.0956106,0.6951621
-2.6986566,5.3541684e-05,-1.0959518e-06,4.7006e-05,0.15694346,1.8689868,0.69517833
-2.6928954,5.4112472e-05,-1.1193795e-06,4.6669626e-05,0.1570193,1.8514373,0.6952399
-2.687695,5.4778393e-05,-1.1422923e-06,4.632463e-05,0.15709308,1.9271829,0.6953007
-2.6827497,5.546161e-05,-1.1644327e-06,4.6022757e-05,0.15716471,2.031281,0.69533414
-2.678314,5.6075638e-05,-1.1860583e-06,4.5703633e-05,0.15723452,2.1125715,0.69534546
-2.6741505,5.674156e-05,-1.206654e-06,4.5453507e-05,0.1573025,2.151519,0.6953482
-2.6703095,5.7381534e-05,-1.2269923e-06,4.5220633e-05,0.15736878,2.1614437,0.6953535
-2.6667917,5.8073398e-05,-1.2468157e-06,4.4979137e-05,0.1574337,2.1804748,0.69536805
-2.6635118,5.8696078e-05,-1.2666392e-06,4.472901e-05,0.15749702,2.2322185,0.6953887
-2.6604187,5.9327405e-05,-1.2854327e-06,4.456514e-05,0.15755904,2.3143942,0.6954071
-2.6576827,5.9932787e-05,-1.3042264e-06,4.4384014e-05,0.15761968,2.4414186,0.69542384
-2.6550484,6.056411e-05,-1.3225051e-06,4.4228764e-05,0.15767924,2.70559,0.695461
-2.6526353,6.112625e-05,-1.3410413e-06,4.4073517e-05,0.15773745,3.1041036,0.69550914
-2.650358,6.174893e-05,-1.3582903e-06,4.396139e-05,0.15779479,3.4730012,0.69550866
-2.6482167,6.232837e-05,-1.3752817e-06,4.3840642e-05,0.15785095,3.7085085,0.69546443
-2.6463473,6.296834e-05,-1.3927881e-06,4.3694017e-05,0.15790607,3.8073833,0.6954201
-2.644461,6.355643e-05,-1.4095223e-06,4.362502e-05,0.1579604,3.8325229,0.6953959
-2.6428123,6.406668e-05,-1.4259988e-06,4.352152e-05,0.15801372,3.8318403,0.69539
-2.6412659,6.462882e-05,-1.4419605e-06,4.3461143e-05,0.15806617,3.844896,0.6953979
-2.6397192,6.520825e-05,-1.4579223e-06,4.340077e-05,0.15811789,3.9208348,0.6954214
-2.6383598,6.571851e-05,-1.4736265e-06,4.333177e-05,0.15816857,4.0736046,0.69545436
-2.6370683,6.628064e-05,-1.4893308e-06,4.3271393e-05,0.15821858,4.269633,0.69548225
-2.6357596,6.67736e-05,-1.5045201e-06,4.3236894e-05,0.15826796,4.467219,0.6954995
-2.634621,6.728385e-05,-1.5197095e-06,4.3185144e-05,0.15831639,4.609654,0.6955045
-2.6334484,6.7820045e-05,-1.534384e-06,4.315927e-05,0.1583644,4.6823053,0.6955058
-2.6324797,6.825246e-05,-1.5482861e-06,4.3081647e-05,0.1584115,4.710084,0.69551384
-2.63146,6.8736765e-05,-1.5629606e-06,4.3133394e-05,0.1584581,4.7611523,0.6955372
-2.6305592,6.9255664e-05,-1.5773777e-06,4.309027e-05,0.15850395,4.950503,0.695588
-2.6297264,6.967943e-05,-1.5915373e-06,4.310752e-05,0.15854919,5.325519,0.6956602
-2.628775,7.011185e-05,-1.6054394e-06,4.3098895e-05,0.15859407,5.871624,0.6957315
-2.627942,7.06048e-05,-1.6183117e-06,4.310752e-05,0.15863816,6.5358424,0.6957829
-2.6271603,7.101127e-05,-1.6319564e-06,4.3133394e-05,0.15868175,7.2695765,0.6958092
-2.6264465,7.13918e-05,-1.6450862e-06,4.314202e-05,0.15872481,8.039003,0.6958161
-2.6256478,7.188475e-05,-1.6587309e-06,4.317652e-05,0.15876742,8.835274,0.6958149
-2.625019,7.227392e-05,-1.6721182e-06,4.3167896e-05,0.15880935,9.680864,0.69581854
-2.6242032,7.267175e-05,-1.6839607e-06,4.3236894e-05,0.15885094,10.584357,0.69582826
-2.6235404,7.306957e-05,-1.6976054e-06,4.324552e-05,0.1588919,11.512376,0.69583905
-2.6228948,7.348468e-05,-1.7094479e-06,4.3305896e-05,0.1589328,12.372724,0.6958468
-2.622249,7.3813324e-05,-1.7212905e-06,4.334902e-05,0.15897276,13.076733,0.69585615
-2.621654,7.419385e-05,-1.733648e-06,4.334902e-05,0.15901257,13.603533,0.69587684
-2.6209912,7.452248e-05,-1.745748e-06,4.343527e-05,0.15905188,13.987576,0.6959112
-2.6203964,7.490301e-05,-1.7578479e-06,4.3495642e-05,0.15909074,14.282584,0.6959539
-2.6198018,7.525759e-05,-1.7689182e-06,4.3556018e-05,0.15912932,14.541876,0.69599897
-2.619207,7.559487e-05,-1.7810182e-06,4.3599142e-05,0.15916748,14.813805,0.6960421
-2.618493,7.598405e-05,-1.7920885e-06,4.371127e-05,0.15920521,15.119299,0.6960806
-2.6179833,7.628674e-05,-1.8034161e-06,4.3754393e-05,0.15924248,15.456974,0.69611263
-2.6174054,7.6615375e-05,-1.8150012e-06,4.3840642e-05,0.15927957,15.803688,0.6961374
-2.6168447,7.687482e-05,-1.8265863e-06,4.387514e-05,0.15931615,16.1182,0.69615394
-2.6162498,7.720346e-05,-1.8371417e-06,4.396139e-05,0.15935262,16.364773,0.69616336
-2.61574,7.7488854e-05,-1.8484693e-06,4.4004515e-05,0.15938851,16.515188,0.6961676
-2.6150773,7.77829e-05,-1.8587672e-06,4.4125267e-05,0.1594243,16.562658,0.6961679
-2.6144993,7.811153e-05,-1.8698374e-06,4.4194265e-05,0.15945952,16.493923,0.6961635
-2.6140234,7.843152e-05,-1.8801353e-06,4.427189e-05,0.15949462,16.331621,0.6961549
-2.6133268,7.869962e-05,-1.8904332e-06,4.4401262e-05,0.15952943,16.132122,0.696148
-2.6127489,7.895042e-05,-1.9002161e-06,4.4461638e-05,0.15956397,15.936687,0.69614375
-2.612256,7.919257e-05,-1.9112863e-06,4.4522014e-05,0.15959811,15.678028,0.69612825
-2.6116612,7.951256e-05,-1.9213269e-06,4.4651388e-05,0.15963195,15.345056,0.6961016
-2.6110835,7.975471e-05,-1.9313673e-06,4.4737637e-05,0.15966564,15.050953,0.69609076
-2.6104887,8.0014164e-05,-1.9411502e-06,4.484976e-05,0.15969892,14.880342,0.6961043
-2.6099617,8.026496e-05,-1.9511906e-06,4.4927387e-05,0.15973215,14.759187,0.6961196
-2.609384,8.049847e-05,-1.9609736e-06,4.505676e-05,0.15976498,14.617694,0.6961246
-2.6087723,8.0731974e-05,-1.9704992e-06,4.5168883e-05,0.15979752,14.387482,0.6961158
-2.6081264,8.094818e-05,-1.9807972e-06,4.522926e-05,0.15983011,14.059088,0.69609857
-2.6075826,8.119033e-05,-1.9903225e-06,4.5341385e-05,0.15986203,13.698409,0.6960875
-2.6069367,8.144978e-05,-1.999848e-06,4.5444882e-05,0.15989417,13.368584,0.6960874
-2.606291,8.164004e-05,-2.0088587e-06,4.5565634e-05,0.15992586,13.064607,0.6960891
-2.6056793,8.1847604e-05,-2.0183843e-06,4.5651883e-05,0.15995727,12.779604,0.69608736
-2.6051354,8.2098406e-05,-2.0279099e-06,4.5781257e-05,0.15998855,12.534014,0.6960885
-2.6045744,8.2288665e-05,-2.0374355e-06,4.5884757e-05,0.16001962,12.283595,0.6960818
-2.6040137,8.2452985e-05,-2.0461887e-06,4.596238e-05,0.1600504,11.855342,0.6960343
-2.603402,8.267784e-05,-2.0554567e-06,4.610038e-05,0.16008112,11.110328,0.69593316
-2.602807,8.29027e-05,-2.063695e-06,4.6229754e-05,0.1601115,9.885426,0.69576156
-2.6020932,8.308431e-05,-2.073478e-06,4.6359128e-05,0.16014189,8.262086,0.6955251
-2.6015155,8.3248626e-05,-2.081459e-06,4.6454003e-05,0.16017199,6.4478817,0.69524586
-2.6009037,8.345619e-05,-2.0907269e-06,4.657475e-05,0.16020173,4.6997166,0.69496673
-2.600309,8.36551e-05,-2.0989653e-06,4.6669626e-05,0.1602316,3.1277816,0.6947524
-2.599731,8.3810766e-05,-2.1077185e-06,4.6824876e-05,0.16026102,1.6945322,0.69463575
-2.5990853,8.401833e-05,-2.116214e-06,4.6928377e-05,0.16029032,0.3838404,0.6946301
