ICE_ICE_Torque_Nm,ICE_fuel_tot_gps,ICE_NOx_eo_gps,ICE_CO_eo_gps,ICE_THC_eo_gps,ICE_T_gas_eo_K,ICE_NOx_tp_gps,ICE_CO_tp_gps,ICE_CO2_tp_gps,ICE_THC_tp_gps,ICE_T_Wall_SCR1_K,ICE_T_Wall_DOC_K,ICE_T_Sub_DPF_K,ICE_T_Wall_SCR2_K,ICE_T_Wall_SCR3_K,ICE_T_gas_tp_K,DRV_Car_Speed_kmph,DRV_SOC_1
-0.03136431,0.0015052364,-7.117434e-05,-5.0993312e-05,-1.8614639e-05,297.58118,-7.6800345e-05,4.3458647e-05,4.534955e-05,-7.929157e-05,297.86804,296.58798,298.7444,299.7694,298.9442,299.0644,-0.02793161,0.69850355
-0.033291776,0.0013783876,-7.1766844e-05,-5.215098e-05,-2.1921598e-05,297.59027,-7.580086e-05,3.6753172e-05,4.4313336e-05,-7.601554e-05,297.86734,296.60504,298.72394,299.7819,298.98016,299.06946,-0.02796972,0.6984758
-0.034943886,0.0012594667,-7.258153e-05,-5.300989e-05,-2.489578e-05,297.59744,-7.4561496e-05,3.0988554e-05,4.224091e-05,-7.2837596e-05,297.86517,296.62024,298.70557,299.7925,299.01227,299.07602,-0.025970737,0.6984352
-0.036082007,0.0011501143,-7.3371535e-05,-5.3756776e-05,-2.73708e-05,297.6032,-7.310225e-05,2.5985582e-05,3.9376086e-05,-6.983621e-05,297.86194,296.63364,298.68933,299.80133,299.04047,299.08405,-0.024536457,0.69822013
-0.036999848,0.0010519705,-7.386529e-05,-5.4316934e-05,-2.9492245e-05,297.60748,-7.148309e-05,2.1654652e-05,3.584077e-05,-6.6952525e-05,297.85767,296.64542,298.6747,299.80875,299.0649,299.09296,-0.04715233,0.69806725
-0.037734117,0.0009606612,-7.430967e-05,-5.4671702e-05,-3.14265e-05,297.6111,-6.976398e-05,1.7995762e-05,3.2000687e-05,-6.414731e-05,297.85336,296.65607,298.6619,299.81433,299.08636,299.10306,-0.106990166,0.6979658
-0.038596887,0.00087755336,-7.4803414e-05,-5.4877095e-05,-3.3090382e-05,297.61407,-6.802487e-05,1.4829703e-05,2.7429161e-05,-6.151864e-05,297.84854,296.6652,298.65082,299.81924,299.1051,299.11377,-0.108947575,0.69794786
-0.03909252,0.00079963973,-7.509967e-05,-5.4970456e-05,-3.4421482e-05,297.61652,-6.6165834e-05,1.221621e-05,2.2674774e-05,-5.8968442e-05,297.84375,296.6735,298.64084,299.82288,299.12082,299.12518,0.23171443,0.6978127
-0.039643224,0.0007269204,-7.524779e-05,-5.5045144e-05,-3.5648594e-05,297.61865,-6.424682e-05,9.946206e-06,1.7737524e-05,-5.6477093e-05,297.83868,296.681,298.63254,299.82538,299.1346,299.13724,1.4714231,0.6974141
-0.040047072,0.0006585751,-7.5420605e-05,-5.4989127e-05,-3.6605325e-05,297.62027,-6.240777e-05,8.064491e-06,1.26174145e-05,-5.4181914e-05,297.83377,296.68753,298.62567,299.8273,299.14584,299.14957,3.5044475,0.69714385
