event,duration,worker_id,timestamp,action_logic_duration,env_step_duration,ice_duration,pg_duration
learn_step,2.6045339107513428,learner,1760545018.5510209,0.0,0.0,0.0,0.0
evaluation,111.8731734752655,learner,1760545130.4244504,0.6260342597961426,36.63941009839376,18.399823904037476,18.212838252385456
data_collection,65.65805768966675,1,1760545130.428847,1.1837711334228516,64.41976761817932,33.45116972923279,30.925122022628784
policy_update,0.00016546249389648438,1,1760545130.4318683,0.0,0.0,0.0,0.0
learner_wait,111.88084816932678,learner,1760545130.4319332,0.0,0.0,0.0,0.0
learn_step,2.5038204193115234,learner,1760545132.935772,0.0,0.0,0.0,0.0
data_collection,52.14476156234741,0,1760545132.937811,0.9317922592163086,51.125097036361694,26.09856414794922,24.98744797706604
policy_update,0.00016379356384277344,0,1760545132.9409552,0.0,0.0,0.0,0.0
evaluation,110.33316135406494,learner,1760545243.2742,0.5213256676991781,36.23117367426554,18.1818208694458,18.02606471379598
learner_wait,110.33842611312866,learner,1760545243.2742636,0.0,0.0,0.0,0.0
learn_step,1.6361980438232422,learner,1760545244.910472,0.0,0.0,0.0,0.0
data_collection,60.254719257354736,2,1760545244.9110944,1.049081802368164,59.112452268600464,30.397502422332764,28.67076873779297
policy_update,0.00016570091247558594,2,1760545244.91434,0.0,0.0,0.0,0.0
evaluation,110.1910252571106,learner,1760545355.105455,0.4547872543334961,36.25081284840902,18.181827147801716,18.04776620864868
learner_wait,110.19498133659363,learner,1760545355.1055183,0.0,0.0,0.0,0.0
learn_step,1.6423983573913574,learner,1760545356.7479267,0.0,0.0,0.0,0.0
data_collection,41.10916566848755,1,1760545356.7485716,0.6904556751251221,40.38011837005615,20.640604972839355,19.711840629577637
policy_update,0.00016307830810546875,1,1760545356.7515056,0.0,0.0,0.0,0.0
evaluation,109.36782002449036,learner,1760545466.1194074,0.46116145451863605,35.97006392478943,18.043030818303425,17.905873616536457
learner_wait,109.37147784233093,learner,1760545466.1194696,0.0,0.0,0.0,0.0
learn_step,1.6403088569641113,learner,1760545467.7597885,0.0,0.0,0.0,0.0
data_collection,35.79341459274292,2,1760545467.760436,0.5246841907501221,35.23981547355652,17.77062726020813,17.447108030319214
policy_update,0.00015997886657714844,2,1760545467.763603,0.0,0.0,0.0,0.0
evaluation,108.50329256057739,learner,1760545576.2669818,0.5390732288360596,35.60403768221537,17.865047216415405,17.718367497126263
learner_wait,108.50719046592712,learner,1760545576.2670453,0.0,0.0,0.0,0.0
learn_step,1.6452720165252686,learner,1760545577.912327,0.0,0.0,0.0,0.0
data_collection,40.63954758644104,0,1760545577.913056,0.6980481147766113,39.90357780456543,20.3152813911438,19.559263467788696
policy_update,0.00016069412231445312,0,1760545577.916114,0.0,0.0,0.0,0.0
evaluation,108.33704471588135,learner,1760545686.253237,0.44671281178792316,35.640979528427124,17.879984458287556,17.740120490392048
learner_wait,108.34090280532837,learner,1760545686.2533,0.0,0.0,0.0,0.0
learn_step,1.6405441761016846,learner,1760545687.893855,0.0,0.0,0.0,0.0
data_collection,36.56168484687805,0,1760545687.894588,0.5421032905578613,35.99024677276611,18.154407501220703,17.813790798187256
policy_update,0.0001614093780517578,0,1760545687.8977654,0.0,0.0,0.0,0.0
evaluation,108.52930974960327,learner,1760545796.427149,0.44660409291585285,35.705126444498696,17.914502064387005,17.76962153116862
learner_wait,108.53317213058472,learner,1760545796.4272122,0.0,0.0,0.0,0.0
learn_step,1.6413121223449707,learner,1760545798.068534,0.0,0.0,0.0,0.0
data_collection,35.75592255592346,2,1760545798.069109,0.5200827121734619,35.20632290840149,17.75235080718994,17.431971788406372
policy_update,0.00016689300537109375,2,1760545798.0722742,0.0,0.0,0.0,0.0
evaluation,109.08813571929932,learner,1760545907.1604862,0.4457610448201497,35.89215040206909,18.009472529093426,17.861998081207275
learner_wait,109.0919508934021,learner,1760545907.1605506,0.0,0.0,0.0,0.0
learn_step,1.6415321826934814,learner,1760545908.8020928,0.0,0.0,0.0,0.0
data_collection,35.83956813812256,2,1760545908.802784,0.5204734802246094,35.28954863548279,17.806485176086426,17.461244344711304
policy_update,0.0001685619354248047,2,1760545908.8057513,0.0,0.0,0.0,0.0
evaluation,110.20111417770386,learner,1760546019.0069404,0.45032453536987305,36.25868535041809,18.190406878789265,18.047266960144043
