#{"t_start": 1777931108.2812152, "env_id": "None"}
r,l,t
1662.432303,3599,1116.31039
3452.201292,3599,2254.811989
3333.985633,3599,3409.404362
3451.487264,3599,4908.311318
3414.298025,3599,6408.361942
3429.643283,3599,7905.058281
3446.643111,3599,9368.060277
3478.536858,3599,10826.943235
3453.807497,3599,12291.951905
3463.667238,3599,13763.098084
3463.599464,3599,15217.266298
3468.481105,3599,16684.290502
3481.531043,3599,18149.610164
3498.561027,3599,19606.079805
3505.758144,3599,21090.302259
3432.104886,3599,22551.874476
3484.787574,3599,24002.302133
3173.075161,3599,25511.601944
3510.009794,3599,26974.608051
3449.452863,3599,28451.650047
3481.637795,3599,29930.763536
3499.61561,3599,31416.754081
3454.176235,3599,32888.145152
3472.494796,3599,34371.326224
3517.96563,3599,35851.410257
3495.339398,3599,37316.970219
3474.796102,3599,38781.742131
3452.898514,3599,40257.621971
3461.698835,3599,41734.76254
3469.83895,3599,43201.027964
3515.712742,3599,44667.414041
3493.809108,3599,46128.971927
3516.26657,3599,47589.618124
3499.699774,3599,49047.237894
3481.591702,3599,50506.608303
3476.751759,3599,51926.548814
3504.53983,3599,52996.302111
3491.780322,3599,53971.901059
3528.461661,3599,54850.614079
3511.499377,3599,55722.9685
3506.333135,3599,56599.697039
3500.710249,3599,57468.570702
3489.430673,3599,58344.55556
3513.399198,3599,59219.110204
3532.781981,3599,60090.191909
3495.46221,3599,60956.601925
3524.23052,3599,61839.554941
3530.274534,3599,62711.369183
3429.422951,3599,63590.442569
3493.969836,3599,64442.73817
3510.046583,3599,65394.840188
3513.936512,3599,66335.334315
3481.190877,3599,67278.971941
3500.279177,3599,68230.326368
3528.847668,3599,69199.77662
