time,ice_torque_pred,ice_torque_true,car_speed_pred,car_speed_true,soc_pred,soc_true
0.0,-13.241347420305962,0.0,-2.160210135397562,0.0,0.702695122637239,0.7
0.5,2.6817719402092237,0.0,-9.980637469237791,0.0,0.7012679947214129,0.7
1.0,-5.853440279361152,0.0,-3.779948775696815,0.0,0.6952672109791487,0.7
1.5,-9.046639623878267,0.0,-4.782741166800373,0.0,0.6959731776506055,0.7
2.0,-10.089427945970767,0.0,-2.668876204191559,0.0,0.6954601075719341,0.7
2.5,-7.296689227623594,0.0,-1.2592676915166685,0.0,0.6952785175289922,0.7
3.0,-6.565598764323443,0.0,-0.5274255412446939,0.0,0.6952436295978544,0.7
3.5,-5.371949426337607,0.0,-0.25791468337857054,0.0,0.6952455661610687,0.7
4.0,-4.0077083481763385,0.0,-0.09966169850935865,0.0,0.6951786504536942,0.7
4.5,-3.221487420129316,0.0,-0.005379641105093833,0.0,0.6951076381702894,0.7
5.0,-4.060629515630642,0.0,-0.0026913090029366572,0.0,0.6951053887776328,0.7
5.5,-5.893241619816508,0.0,-0.06693923112790363,0.0,0.6951727662808507,0.7
6.0,-7.736849226681543,0.0,-0.1352505659886979,0.0,0.6952663022841019,0.7
6.5,-8.918466391720157,0.0,-0.16597471475143807,0.0,0.6953455673061276,0.7
7.0,-9.456498260838908,0.0,-0.16035815338621368,0.0,0.6953969607145074,0.7
7.5,-9.562034693045465,0.0,-0.14469558926205414,0.0,0.6954318486456452,0.7
8.0,-9.470093936485485,0.0,-0.1416684333346941,0.0,0.6954675707886292,0.7
8.5,-9.286399363905664,0.0,-0.156307106483423,0.0,0.6955126033316821,0.7
9.0,-9.04077648875568,0.0,-0.17997531091547836,0.0,0.6955653970242321,0.7
9.5,-8.735536575895457,0.0,-0.20142508490076738,0.0,0.6956183098899031,0.7
10.0,-8.393979214464311,0.0,-0.2150176085745998,0.0,0.695665785481934,0.7
10.5,-8.037296663876349,0.0,-0.2220191432399236,0.0,0.6957064086195142,0.7
11.0,-7.680648102477503,0.0,-0.22709902745135951,0.0,0.6957428755945037,0.7
11.5,-7.330321530254316,0.0,-0.31249252406891515,0.0038231,0.6958169267924909,0.7
12.0,-6.989630893145639,0.0,-0.6795549655941807,0.28411,0.6962669542902165,0.7
12.5,-6.659221985744688,0.0,0.15606867502077593,0.88804,0.6962670585666972,0.7
13.0,-6.341372083722263,0.0,1.3253942127948546,1.85,0.6961073814813573,0.69998
13.5,-6.03859638707298,0.0,2.866641964477583,3.2641,0.6959543482975064,0.69995
14.0,-5.754786657950674,0.0,4.7815159418614055,5.0431,0.6957595896247072,0.69989
14.5,-5.4930019233758225,0.0,6.711807639875262,7.0873,0.6956001061956887,0.69978
15.0,-5.255706399559369,0.0,8.51907413817458,9.1319,0.695444808722541,0.69963
15.5,-5.043766810823783,0.0,10.38164558814679,10.929,0.6953271252656714,0.69948
16.0,-4.85721714635818,0.0,12.538474401057973,12.667,0.6952442403600989,0.69931
16.5,-4.695122703461859,0.0,14.958005444165327,14.503,0.6951652732708753,0.69911
17.0,-4.556276865921186,0.0,17.393458733890608,16.459,0.6950806752516901,0.69884
17.5,-4.439761925630016,0.0,19.663553631083847,18.392,0.6949104662417924,0.69854
18.0,-4.344150336645459,0.0,21.669943429021647,20.25,0.6946288899504316,0.69824
18.5,-4.2679125854572755,0.0,23.37203357101145,22.03,0.6942847626672486,0.69794
19.0,-4.20975708287904,0.0,24.77040215974772,23.73,0.6939289415215791,0.69765
19.5,-4.167848412698464,0.0,25.81307745385258,25.36,0.6935992639793029,0.69735
20.0,-4.1400282614066555,0.0,26.356310972317093,26.727,0.6933301114857939,0.69712
20.5,-4.124359245223975,0.0,26.46627352430342,27.471,0.6931235695706677,0.69701
21.0,-4.1190569317218095,0.0,26.207494972929762,27.88,0.6929578295528029,0.69695
21.5,-4.121589126310984,0.0,25.757927693384293,28.114,0.6928143004253423,0.69691
22.0,-4.130358337103027,0.0,25.390165345709153,28.299,0.6926893176148187,0.69688
22.5,-4.143835050587697,0.0,25.238517570556443,28.503,0.6926133447502573,0.69684
23.0,-4.160217839741823,0.0,25.24434744254155,28.711,0.69261642835476,0.6968
23.5,-4.178470034297353,0.0,25.351724298839923,28.915,0.6926740187654257,0.69676
24.0,-4.197198077500514,0.0,25.66433255800521,29.247,0.6927193492412806,0.69671
24.5,-4.215756174758092,0.0,26.210851060015898,29.844,0.6927027692808381,0.69662
25.0,-4.232852736883664,0.0,26.822866433288247,30.54,0.6926213591426365,0.69652
25.5,-4.248028909824156,0.0,27.41539881831978,31.172,0.6925011581535883,0.69642
26.0,-4.2606898827700315,0.0,28.10224788508808,31.877,0.6923620682248803,0.69631
26.5,-4.270206855722636,0.0,28.938499710021297,32.792,0.6922095266301531,0.69616
27.0,-4.276002012466989,0.0,29.903775091129283,33.861,0.6920468255268708,0.69597
27.5,-4.277973385435743,0.0,30.962737733072473,35.03,0.6918754396824043,0.69573
28.0,-4.275696109764941,0.0,32.06099868326016,36.25,0.6917018640318416,0.69546
28.5,-4.268779309779744,0.0,33.12171201801551,37.478,0.6915323700606691,0.69516
29.0,-4.257324953047503,0.0,34.106081172769485,38.678,0.6913527463742217,0.69487
29.5,-4.240772217947795,0.0,35.06044463366015,39.839,0.6911452808674087,0.69458
30.0,-4.21951198015546,0.0,35.97415789160959,40.862,0.6909134444573755,0.69433
30.5,-4.193085385617424,0.0,36.868397435693,41.631,0.6906775710578724,0.69417
31.0,-4.161917299197645,0.0,37.72272007073425,42.245,0.6904483713531386,0.69404
31.5,-4.126109688463472,0.0,38.50012413282958,42.734,0.6902339193221139,0.69393
32.0,-4.085798510171369,0.0,39.17084197040163,43.143,0.6900395926518779,0.69384
32.5,-4.041544585941759,0.0,39.71644478247596,43.491,0.689871811794318,0.69376
33.0,-3.9934328887474324,0.0,40.123434025709805,43.796,0.6897378909997284,0.69368
33.5,-3.942245169938068,0.0,40.37465087018158,44.066,0.6896446827225596,0.69361
34.0,-3.8884062943776208,0.0,40.43181564314318,44.276,0.689595613190037,0.69355
34.5,-3.8326640242266525,0.0,40.303997446543654,44.402,0.6895854238882017,0.6935
35.0,-3.775409235160003,0.0,39.996033794266914,44.44,0.6895986818978996,0.69346
35.5,-3.7174236785273496,0.0,39.546721250881994,44.35,0.6896187327754878,0.69344
36.0,-3.6592171921654395,0.0,38.885377951334995,44.081,0.6896332421029551,0.69345
