ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,10.0,298.0,1.0,2500.0,0.0,NaN,0.0
3571.259,11.953901,298.0,1.0,3571.259,0.0,NaN,6.0830235
3711.448,11.50581,298.0,1.0,3711.448,0.0,NaN,5.8486433
3924.4841,16.288252,298.0,1.0,3924.4841,0.0,NaN,0.0
3946.9875,10.00163,298.0,1.0,3946.9875,0.0,NaN,13.343453
4063.7195,8.843687,298.0,1.0,4063.7195,0.0,NaN,9.744623
4381.844,10.666216,298.0,1.0,4381.844,0.0,NaN,15.594095
4321.345,9.466014,298.0,1.0,4321.345,0.0,NaN,4.9716234
4088.634,11.151741,298.0,1.0,4088.634,0.0,NaN,10.714248
4077.322,7.9478965,298.0,1.0,4077.322,0.0,NaN,9.939894
4139.063,9.249116,298.0,1.0,4139.063,0.0,NaN,6.496486
4371.2935,8.381723,298.0,1.0,4371.2935,0.0,NaN,10.7111845
4415.674,14.175387,298.0,1.0,4415.674,0.0,NaN,10.664019
4131.277,13.862191,298.0,1.0,4131.277,0.0,NaN,7.4560404
4192.195,10.656216,298.0,1.0,4192.195,0.0,NaN,9.098434
3784.9053,8.3322,298.0,1.0,3784.9053,0.0,NaN,0.0
4249.456,5.097895,298.0,1.0,4249.456,0.0,NaN,1.3729423
3532.638,3.9411268,298.0,1.0,3532.638,0.0,NaN,4.1641564
4041.2405,5.902933,298.0,1.0,4041.2405,0.0,NaN,3.798452
4500.0,13.452728,298.0,1.0,4500.0,0.0,NaN,0.0
4390.459,13.435632,298.0,1.0,4390.459,0.0,NaN,8.135859
4110.8755,12.281221,298.0,1.0,4110.8755,0.0,NaN,12.419215
4500.0,10.429125,298.0,1.0,4500.0,0.0,NaN,2.7220578
4492.8564,12.164623,298.0,1.0,4492.8564,0.0,NaN,12.901846
4406.652,8.883119,298.0,1.0,4406.652,0.0,NaN,6.9580197
4217.8545,5.3615327,298.0,1.0,4217.8545,0.0,NaN,9.415066
4010.6985,6.254536,298.0,1.0,4010.6985,0.0,NaN,1.0525465
3883.1648,9.998698,298.0,1.0,3883.1648,0.0,NaN,0.0
4019.2473,9.21733,298.0,1.0,4019.2473,0.0,NaN,0.0
3931.5208,3.6772456,298.0,1.0,3931.5208,0.0,NaN,6.8978457
3969.9753,13.547652,298.0,1.0,3969.9753,0.0,NaN,14.629486
3945.5493,8.375837,298.0,1.0,3945.5493,0.0,NaN,6.0811996
3977.4858,6.7619095,298.0,1.0,3977.4858,0.0,NaN,10.542213
4039.769,14.938238,298.0,1.0,4039.769,0.0,NaN,12.02285
4066.9915,12.763818,298.0,1.0,4066.9915,0.0,NaN,7.452196
4244.067,15.435602,298.0,1.0,4244.067,0.0,NaN,7.626766
3655.868,9.808581,298.0,1.0,3655.868,0.0,NaN,7.347557
3755.403,10.8909645,298.0,1.0,3755.403,0.0,NaN,3.0535965
3881.0994,9.535259,298.0,1.0,3881.0994,0.0,NaN,4.254255
3833.1345,14.187075,298.0,1.0,3833.1345,0.0,NaN,2.263877
4241.92,8.38902,298.0,1.0,4241.92,0.0,NaN,14.332851
4163.3525,10.037823,298.0,1.0,4163.3525,0.0,NaN,7.789883
