ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4500.0,8.795509,298.0,1.0,4500.0,0.0,NaN,20.297913
4293.6826,5.7155595,298.0,1.0,4293.6826,0.0,NaN,15.138039
4367.507,7.277997,298.0,1.0,4367.507,0.0,NaN,6.2993884
4013.5618,9.39485,298.0,1.0,4013.5618,0.0,NaN,3.4911842
3934.951,16.05554,298.0,1.0,3934.951,0.0,NaN,9.530437
3970.078,8.246634,298.0,1.0,3970.078,0.0,NaN,17.472658
3978.5403,14.255316,298.0,1.0,3978.5403,0.0,NaN,13.992622
4200.8735,16.951324,298.0,1.0,4200.8735,0.0,NaN,11.747334
4438.602,13.624481,298.0,1.0,4438.602,0.0,NaN,8.914748
4223.334,8.815764,298.0,1.0,4223.334,0.0,NaN,5.523226
4388.868,12.009297,298.0,1.0,4388.868,0.0,NaN,6.522232
4135.2466,13.233119,298.0,1.0,4135.2466,0.0,NaN,0.0
4454.72,11.546413,298.0,1.0,4454.72,0.0,NaN,2.6312232
3723.388,17.62769,298.0,1.0,3723.388,0.0,NaN,18.563667
3820.6775,20.235455,298.0,1.0,3820.6775,0.0,NaN,12.03315
3826.7874,17.046059,298.0,1.0,3826.7874,0.0,NaN,10.763812
4117.793,14.730712,298.0,1.0,4117.793,0.0,NaN,17.629412
4345.428,12.049516,298.0,1.0,4345.428,0.0,NaN,9.655899
4393.053,12.33,298.0,1.0,4393.053,0.0,NaN,10.888505
3712.6497,15.424517,298.0,1.0,3712.6497,0.0,NaN,14.145192
4318.5664,15.671303,298.0,1.0,4318.5664,0.0,NaN,3.9234042
4164.4653,11.258162,298.0,1.0,4164.4653,0.0,NaN,9.1335745
4212.4507,10.0934925,298.0,1.0,4212.4507,0.0,NaN,9.6106415
4406.9287,13.62052,298.0,1.0,4406.9287,0.0,NaN,15.210059
4500.0,5.2233715,298.0,1.0,4500.0,0.0,NaN,9.64613
4183.2485,10.654379,298.0,1.0,4183.2485,0.0,NaN,10.715297
4115.129,5.7378035,298.0,1.0,4115.129,0.0,NaN,13.143974
4263.0166,8.750441,298.0,1.0,4263.0166,0.0,NaN,8.680177
4400.108,9.220315,298.0,1.0,4400.108,0.0,NaN,0.0
4142.3413,10.568968,298.0,1.0,4142.3413,0.0,NaN,5.4280133
4275.6562,13.685243,298.0,1.0,4275.6562,0.0,NaN,10.119468
4325.159,16.832756,298.0,1.0,4325.159,0.0,NaN,3.307575
3860.8755,10.2382965,298.0,1.0,3860.8755,0.0,NaN,14.040875
4381.319,15.487871,298.0,1.0,4381.319,0.0,NaN,6.290537
4289.196,14.165793,298.0,1.0,4289.196,0.0,NaN,0.0
3950.1506,14.2950115,298.0,1.0,3950.1506,0.0,NaN,0.0
3773.5908,9.16437,298.0,1.0,3773.5908,0.0,NaN,9.413609
4208.953,17.623835,298.0,1.0,4208.953,0.0,NaN,13.327515
4488.518,11.7455,298.0,1.0,4488.518,0.0,NaN,15.701932
4500.0,5.3107114,298.0,1.0,4500.0,0.0,NaN,0.9144932
4098.8228,15.366415,298.0,1.0,4098.8228,0.0,NaN,9.076545
