ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,50.0,298.0,1.0,2500.0,0.0,NaN,0.0
3326.7947,42.898167,298.0,1.0,3326.7947,0.0,NaN,10.2857
3890.3945,23.327265,298.0,1.0,3890.3945,0.0,NaN,9.433094
3760.23,18.413124,298.0,1.0,3760.23,0.0,NaN,10.385951
4259.2837,16.255102,298.0,1.0,4259.2837,0.0,NaN,4.253569
4288.994,12.149058,298.0,1.0,4288.994,0.0,NaN,7.1059523
4383.9497,11.299608,298.0,1.0,4383.9497,0.0,NaN,10.9008045
4258.636,9.9137125,298.0,1.0,4258.636,0.0,NaN,14.829341
3925.6343,11.262309,298.0,1.0,3925.6343,0.0,NaN,8.062074
4302.4233,12.359273,298.0,1.0,4302.4233,0.0,NaN,8.298167
4500.0,15.37907,298.0,1.0,4500.0,0.0,NaN,3.8393974
3837.8115,13.792888,298.0,1.0,3837.8115,0.0,NaN,8.847472
3543.1687,18.098751,298.0,1.0,3543.1687,0.0,NaN,12.298447
4160.794,14.084296,298.0,1.0,4160.794,0.0,NaN,7.963273
4500.0,13.053686,298.0,1.0,4500.0,0.0,NaN,8.723447
3722.6443,13.955818,298.0,1.0,3722.6443,0.0,NaN,10.220763
4261.732,8.689192,298.0,1.0,4261.732,0.0,NaN,9.103218
4499.011,11.936883,298.0,1.0,4499.011,0.0,NaN,13.241485
4453.5254,15.220584,298.0,1.0,4453.5254,0.0,NaN,14.539578
4131.162,10.649457,298.0,1.0,4131.162,0.0,NaN,0.0
3910.0476,10.163818,298.0,1.0,3910.0476,0.0,NaN,15.440973
3768.788,9.662193,298.0,1.0,3768.788,0.0,NaN,8.212209
4150.8003,3.6663713,298.0,1.0,4150.8003,0.0,NaN,9.256178
4500.0,6.622404,298.0,1.0,4500.0,0.0,NaN,13.081133
4167.1157,10.344532,298.0,1.0,4167.1157,0.0,NaN,9.0734005
4305.8115,10.02225,298.0,1.0,4305.8115,0.0,NaN,10.533163
4137.876,12.012866,298.0,1.0,4137.876,0.0,NaN,2.2479444
4234.013,17.28196,298.0,1.0,4234.013,0.0,NaN,0.0
4367.38,11.067564,298.0,1.0,4367.38,0.0,NaN,11.127874
4159.375,10.584489,298.0,1.0,4159.375,0.0,NaN,13.998476
4059.5288,10.996477,298.0,1.0,4059.5288,0.0,NaN,10.170224
3921.8442,9.207504,298.0,1.0,3921.8442,0.0,NaN,5.4709883
3951.4204,7.6241446,298.0,1.0,3951.4204,0.0,NaN,0.41573644
3780.4895,10.895751,298.0,1.0,3780.4895,0.0,NaN,6.5878243
3701.2085,14.76222,298.0,1.0,3701.2085,0.0,NaN,2.801603
4344.6943,9.853588,298.0,1.0,4344.6943,0.0,NaN,12.479898
3925.5962,10.976326,298.0,1.0,3925.5962,0.0,NaN,8.36505
4254.2524,8.341878,298.0,1.0,4254.2524,0.0,NaN,5.3562107
4019.8904,11.210473,298.0,1.0,4019.8904,0.0,NaN,3.452477
4051.9846,12.140149,298.0,1.0,4051.9846,0.0,NaN,15.159527
4500.0,14.56004,298.0,1.0,4500.0,0.0,NaN,10.557365
4500.0,12.43724,298.0,1.0,4500.0,0.0,NaN,6.9645047
4243.5215,7.456052,298.0,1.0,4243.5215,0.0,NaN,10.889813
3937.489,6.7544937,298.0,1.0,3937.489,0.0,NaN,8.31978
4173.899,9.145982,298.0,1.0,4173.899,0.0,NaN,3.124404
4230.8003,9.251704,298.0,1.0,4230.8003,0.0,NaN,0.0
4214.598,8.539569,298.0,1.0,4214.598,0.0,NaN,7.0305767
4418.484,10.786724,298.0,1.0,4418.484,0.0,NaN,8.681804
4158.4116,7.999806,298.0,1.0,4158.4116,0.0,NaN,7.0846825
4239.0312,9.121018,298.0,1.0,4239.0312,0.0,NaN,0.0
4056.5378,6.8487105,298.0,1.0,4056.5378,0.0,NaN,7.449755
4184.7505,10.050788,298.0,1.0,4184.7505,0.0,NaN,17.795357
4328.803,7.231926,298.0,1.0,4328.803,0.0,NaN,15.67789
4209.5635,11.189581,298.0,1.0,4209.5635,0.0,NaN,12.289413
4296.707,13.594865,298.0,1.0,4296.707,0.0,NaN,14.868656
4183.876,11.91208,298.0,1.0,4183.876,0.0,NaN,10.043073
