speed_actual,speed_target,soc,ice_torque,nox,co,fuel
0.0,0.0,0.7,0.0,0.0,0.0,0.0
-0.29893753,0.0,0.7016687,-5.336311,0.0008252938,0.0022818777,25.431011199951172
-0.03125401,0.0,0.6987047,65.053406,0.0041375635,0.0038878014,62.290950775146484
0.083516,0.0,0.6998314,83.571434,0.0107401535,0.018925702,3.0
0.58193827,0.0,0.7005201,-2.3901749,0.010542526,0.06778888,3.0
0.44254646,0.0,0.6999923,48.586647,0.011506308,0.0695232,31.320472717285156
0.193221,0.0,0.69967276,36.97166,0.0035681673,0.07569067,3.0
0.026276505,0.0,0.6994397,-21.817661,0.0048518647,0.092615835,3.0
-0.37570608,0.0,0.69929856,49.735176,0.015125009,0.054587547,62.833900451660156
-0.043538917,0.0,0.69927675,107.589165,0.001068988,0.016007433,3.0
0.46565774,0.0,0.69943875,-25.973913,0.013456541,0.07032775,3.0
-0.06400338,0.0,0.6994501,46.5719,0.012311542,0.05860007,52.400848388671875
0.08649542,0.0,0.6995318,94.73475,0.0050339806,0.03369372,3.0
0.42070317,0.0,0.6996606,-33.5531,0.0111748,0.083868265,3.0
-0.2038213,0.0,0.69966704,46.604736,0.013065304,0.06771035,53.71744155883789
0.036288742,0.0,0.69978,99.9805,0.0047291378,0.033926632,3.0
0.44993958,0.0,0.69990045,-34.44915,0.0117587475,0.083273694,3.0
-0.14388993,0.0,0.6999056,45.869053,0.012706068,0.068924755,53.00849151611328
0.03125837,0.0,0.7000178,99.467995,0.0056790775,0.036892284,3.0
0.3842988,0.0,0.7001146,-34.818047,0.011670103,0.08521914,3.0
-0.1556517,0.0,0.70014775,46.637173,0.0130489115,0.0706285,54.57517623901367
0.032211095,0.0,0.7002575,101.05272,0.0060607404,0.037128385,3.0
0.3630791,0.0,0.70034164,-35.82756,0.011988689,0.08599437,3.0
-0.15635845,0.0038231,0.700413,46.945515,0.0130925095,0.072338395,55.071414947509766
0.02963355,0.28411,0.70051736,101.936485,0.006538294,0.03872295,3.0
0.5303978,0.88804,0.70059526,-30.591673,0.012379707,0.084924676,3.0
0.53659564,1.85,0.7007321,54.753628,0.01402039,0.06874831,70.0
1.7816501,3.2641,0.70082045,144.64732,0.011453316,0.024094878,24.53227424621582
3.6871724,5.0431,0.7009844,70.677704,0.019816777,0.01792425,28.864471435546875
5.550266,7.0873,0.70122725,130.56932,0.015787737,0.010965378,24.755186080932617
7.469671,9.1319,0.7013401,128.00757,0.019436814,0.01008835,26.366497039794922
9.256706,10.929,0.7014666,134.37897,0.019426798,0.009347447,27.78682518005371
11.083921,12.667,0.7015447,141.67561,0.022189261,0.010759689,29.840667724609375
13.010155,14.503,0.70158464,151.37106,0.024468536,0.011037286,30.956356048583984
15.016962,16.459,0.7015728,155.38776,0.028257769,0.011751755,31.627788543701172
17.043777,18.392,0.7015178,161.92436,0.031417258,0.012108669,33.04212951660156
18.95152,20.25,0.70146686,164.26096,0.034775622,0.0119659575,32.070068359375
20.712341,22.03,0.70142525,160.33922,0.037155975,0.01166206,31.460540771484375
