Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, -3.56, 1.63, True, True
2, -1.24, 0.92, True, True
3, -1.41, 2.41, True, True
4, -0.38, 1.82, True, True
5, -0.14, 1.34, True, True
6, -0.06, 0.92, True, True
7, -0.04, 0.72, True, True
8, -0.09, 1.66, True, True
9, -0.06, 0.98, True, True
10, -0.08, 1.05, True, True
11, -0.05, 0.54, True, True
12, -0.05, 0.52, True, True
13, -0.07, 0.61, True, True
14, -0.08, 0.66, True, True
15, -0.28, 1.88, True, True
16, -0.14, 0.81, True, True
17, -0.11, 0.59, True, True
18, -0.11, 0.53, True, True
19, -0.11, 0.52, True, True
20, -0.11, 0.51, True, True
21, -0.12, 0.51, True, True
22, -0.15, 0.64, True, True
Partial (0.14 km), -0.62, 2.46, True, True
