ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4500.0,14.772372,298.0,1.0,4500.0,0.0,NaN,14.763352
3954.0398,7.104611,298.0,1.0,3954.0398,0.0,NaN,7.492545
4127.103,6.0471067,298.0,1.0,4127.103,0.0,NaN,3.5562217
4500.0,11.465243,298.0,1.0,4500.0,0.0,NaN,11.169744
4100.157,11.158184,298.0,1.0,4100.157,0.0,NaN,11.648425
4055.6199,5.6818805,298.0,1.0,4055.6199,0.0,NaN,7.489872
4128.0254,12.478605,298.0,1.0,4128.0254,0.0,NaN,12.823945
4068.0137,9.702134,298.0,1.0,4068.0137,0.0,NaN,14.407507
4136.739,14.636648,298.0,1.0,4136.739,0.0,NaN,10.132074
4340.779,14.106819,298.0,1.0,4340.779,0.0,NaN,0.8470297
4262.5127,7.476936,298.0,1.0,4262.5127,0.0,NaN,0.0
3890.4888,11.051598,298.0,1.0,3890.4888,0.0,NaN,12.673799
3738.9734,9.318871,298.0,1.0,3738.9734,0.0,NaN,14.268589
4104.9277,12.683534,298.0,1.0,4104.9277,0.0,NaN,12.245527
3722.2473,16.205269,298.0,1.0,3722.2473,0.0,NaN,11.975137
3959.0078,15.997321,298.0,1.0,3959.0078,0.0,NaN,16.536612
4066.257,17.226114,298.0,1.0,4066.257,0.0,NaN,6.42384
4253.6177,11.178022,298.0,1.0,4253.6177,0.0,NaN,3.3277183
3877.663,12.598238,298.0,1.0,3877.663,0.0,NaN,2.8493433
4109.873,18.611227,298.0,1.0,4109.873,0.0,NaN,5.797723
4486.0464,10.899709,298.0,1.0,4486.0464,0.0,NaN,4.43427
4252.375,8.397761,298.0,1.0,4252.375,0.0,NaN,17.649307
4102.0903,3.4842272,298.0,1.0,4102.0903,0.0,NaN,0.0
3937.1074,8.694201,298.0,1.0,3937.1074,0.0,NaN,10.076857
4230.666,16.483639,298.0,1.0,4230.666,0.0,NaN,1.4204711
3965.3726,14.212096,298.0,1.0,3965.3726,0.0,NaN,14.309451
4051.7808,16.870207,298.0,1.0,4051.7808,0.0,NaN,4.374713
4136.214,9.9363575,298.0,1.0,4136.214,0.0,NaN,6.6885443
4026.0676,9.259624,298.0,1.0,4026.0676,0.0,NaN,9.876856
4323.9736,4.9064245,298.0,1.0,4323.9736,0.0,NaN,1.6014278
4109.7905,7.451677,298.0,1.0,4109.7905,0.0,NaN,17.176336
4122.6255,10.055133,298.0,1.0,4122.6255,0.0,NaN,9.285694
4219.4746,8.017869,298.0,1.0,4219.4746,0.0,NaN,6.391597
3909.929,4.3686423,298.0,1.0,3909.929,0.0,NaN,6.5330954
4070.136,6.399121,298.0,1.0,4070.136,0.0,NaN,4.2471766
4350.8267,7.4301677,298.0,1.0,4350.8267,0.0,NaN,7.735321
4122.565,12.136497,298.0,1.0,4122.565,0.0,NaN,11.935759
3864.0251,12.413832,298.0,1.0,3864.0251,0.0,NaN,12.8127575
4191.1704,7.667081,298.0,1.0,4191.1704,0.0,NaN,11.47064
4060.166,11.096091,298.0,1.0,4060.166,0.0,NaN,8.280566
4500.0,9.181833,298.0,1.0,4500.0,0.0,NaN,12.19472
4051.3562,9.561091,298.0,1.0,4051.3562,0.0,NaN,3.1648278
4336.1265,7.552016,298.0,1.0,4336.1265,0.0,NaN,2.8729856
4140.548,9.020725,298.0,1.0,4140.548,0.0,NaN,19.66007
4248.7935,11.486179,298.0,1.0,4248.7935,0.0,NaN,5.382931
3905.9612,10.476438,298.0,1.0,3905.9612,0.0,NaN,19.799072
3914.985,5.5503683,298.0,1.0,3914.985,0.0,NaN,4.2561293
4190.6377,10.395753,298.0,1.0,4190.6377,0.0,NaN,1.5677482
4109.14,8.028765,298.0,1.0,4109.14,0.0,NaN,9.413272
4205.842,7.004262,298.0,1.0,4205.842,0.0,NaN,15.097112
4498.023,7.3796396,298.0,1.0,4498.023,0.0,NaN,4.64963
4019.4421,13.60381,298.0,1.0,4019.4421,0.0,NaN,3.6624074
4024.4666,19.739594,298.0,1.0,4024.4666,0.0,NaN,9.790668
3944.805,23.371262,298.0,1.0,3944.805,0.0,NaN,7.67276
4199.014,19.023901,298.0,1.0,4199.014,0.0,NaN,9.94454
4192.0093,8.865823,298.0,1.0,4192.0093,0.0,NaN,2.846518
4075.4036,9.986505,298.0,1.0,4075.4036,0.0,NaN,0.0
4320.2925,10.818181,298.0,1.0,4320.2925,0.0,NaN,10.208652
4104.9766,13.091956,298.0,1.0,4104.9766,0.0,NaN,0.0600636
4095.786,8.5029545,298.0,1.0,4095.786,0.0,NaN,11.898581
