number,value,state,datetime_start,datetime_complete,duration_s,w_emission,w_soc_squared,rmse_speed_kmph,total_nox_g,max_abs_soc_drift,rms_soc_drift,delta_soc,rmse_penalty,soc_penalty
0,7.106849670410156,TrialState.COMPLETE,2026-05-12 01:27:00.085594,2026-05-12 19:29:33.606717,64953.521123,0.43512008013390036,116.18731023579362,3.6551376168475835,7.106849670410156,0.025199055671691895,0.00841012503951788,-0.01706862449645996,0.0,0.0
1,4.860251426696777,TrialState.COMPLETE,2026-05-12 01:27:00.098447,2026-05-12 15:53:41.326672,52001.228225,0.4290788618752389,224.36875495427583,3.10628134637906,4.860251426696777,0.03314894437789917,0.011868014931678772,-0.03314894437789917,0.0,0.0
2,3.2396974563598633,TrialState.PRUNED,2026-05-12 01:27:00.147055,2026-05-12 19:27:15.710345,64815.56329,1.1817064657594747,102.66491372957088,,,,,,,
3,2.797764301300049,TrialState.COMPLETE,2026-05-12 01:27:00.213115,2026-05-12 15:53:15.471585,51975.25847,0.9628013910936306,224.62882919880647,3.6637985047001376,2.797764301300049,0.035915493965148926,0.015898553654551506,-0.035915493965148926,0.0,0.0
4,2.435727119445801,TrialState.COMPLETE,2026-05-12 01:27:00.647933,2026-05-12 18:48:10.445397,62469.797464,0.4952778414302135,167.0129934528388,3.67799804865913,2.435727119445801,0.012890398502349854,0.009350256063044071,0.01160973310470581,0.0,0.0
5,3.303476095199585,TrialState.COMPLETE,2026-05-12 01:27:01.131452,2026-05-12 15:46:04.329926,51543.198474,0.3051043714826608,166.39229255804216,3.6137386205311945,3.303476095199585,0.02062767744064331,0.007890850305557251,-0.00588226318359375,0.0,0.0
6,,TrialState.RUNNING,2026-05-12 01:27:02.126028,,,0.8381791564735804,152.30840102362305,,,,,,,
7,4.766468048095703,TrialState.COMPLETE,2026-05-12 01:27:03.175935,2026-05-12 15:59:55.646589,52372.470654,0.4700807597290295,108.09248133652437,3.079094426003303,4.766468048095703,0.02420055866241455,0.016776714473962784,-0.007390737533569336,0.0,0.0
8,4.494860649108887,TrialState.COMPLETE,2026-05-12 01:27:04.178890,2026-05-12 16:02:35.489144,52531.310254,0.629353619341847,170.03998085993703,3.765202974843194,4.494860649108887,0.011259794235229492,0.006498637609183788,2.872943878173828e-05,0.0,0.0
9,3.3003978729248047,TrialState.PRUNED,2026-05-12 01:27:05.181263,2026-05-12 16:03:46.159613,52600.97835,1.1081687016708757,72.70422194505208,,,,,,,
10,3.2614707946777344,TrialState.COMPLETE,2026-05-12 15:46:04.342908,2026-05-13 05:00:05.037839,47640.694931,0.7296296848335747,140.10470889296224,3.27992953342768,3.2614707946777344,0.0174635648727417,0.00845295749604702,0.007497608661651611,0.0,0.0
11,3.7961277961730957,TrialState.COMPLETE,2026-05-12 15:53:15.482913,2026-05-13 05:26:45.136098,48809.653185,1.0267486467882545,228.8952351940932,3.098049719112566,3.7961277961730957,0.02844822406768799,0.009738481603562832,-0.02328711748123169,0.0,0.0
12,3.560816764831543,TrialState.PRUNED,2026-05-12 15:53:41.337585,2026-05-12 23:07:43.774339,26042.436754,1.0587342366132204,237.84898198433572,,,,,,,
13,3.6893703937530518,TrialState.PRUNED,2026-05-12 15:59:55.657151,2026-05-12 23:02:23.138361,25347.48121,0.7882825137358082,45.59179243201968,,,,,,,
14,3.3514530658721924,TrialState.PRUNED,2026-05-12 16:02:35.499511,2026-05-12 22:59:25.147732,25009.648221,1.1391237117701316,248.02571681048414,,,,,,,
15,11.303253173828125,TrialState.COMPLETE,2026-05-12 16:03:46.171242,2026-05-13 05:44:44.134343,49257.963101,1.0164301621989176,244.132530810841,3.2751937109675673,11.303253173828125,0.014578461647033691,0.00791429914534092,0.005893230438232422,0.0,0.0
16,,TrialState.RUNNING,2026-05-12 18:48:10.458370,,,0.7904372076870806,48.90390921155161,,,,,,,
17,,TrialState.RUNNING,2026-05-12 19:27:15.743718,,,0.7686188989069842,26.050094110381153,,,,,,,
18,,TrialState.RUNNING,2026-05-12 19:29:33.617052,,,0.770468781337103,165.86342343783068,,,,,,,
