time,ice_torque_pred,ice_torque_true,car_speed_pred,car_speed_true,soc_pred,soc_true
45.0,-2.911174,0.0,11.159799,21.109,0.69037354,0.69455
45.5,-2.88937,0.0,10.500596,20.688,0.6903503,0.69456
46.0,-2.8692822,0.0,9.965541,20.394,0.69027066,0.69456
46.5,-2.8505542,0.0,9.448956,20.023,0.69016623,0.69457
47.0,-2.8333387,0.0,8.918392,19.578,0.6900595,0.69458
47.5,-2.817313,0.0,8.382972,19.085,0.6899702,0.69459
48.0,-2.8025784,0.0,7.905084,18.603,0.6899116,0.6946
48.5,-2.788898,0.0,7.5381474,18.206,0.6898812,0.6946
49.0,-2.776254,0.0,7.322846,17.949,0.6898735,0.6946
49.5,-2.7646465,0.0,7.233983,17.852,0.6898739,0.6946
50.0,-2.753923,0.0,7.1637993,17.776,0.6898694,0.69459
50.5,-2.7440321,0.0,7.0383577,17.611,0.6898629,0.69459
51.0,-2.734872,0.0,6.7151866,17.273,0.68984395,0.69459
51.5,-2.7263408,0.0,6.1541934,16.627,0.6898222,0.69461
52.0,-2.7185233,0.0,5.369663,15.742,0.68979603,0.69463
52.5,-2.7113855,0.0,4.481106,14.658,0.6897795,0.69465
53.0,-2.7047408,0.0,3.7449877,13.588,0.68979967,0.69466
53.5,-2.6986566,0.0,3.3024268,12.768,0.68984973,0.69467
54.0,-2.6928954,0.0,3.1397939,12.281,0.68990856,0.69468
54.5,-2.687695,0.0,3.1247966,12.109,0.6899447,0.69468
55.0,-2.6827497,0.0,3.1757264,12.041,0.68994784,0.69467
55.5,-2.678314,0.0,3.2523575,12.014,0.68991643,0.69466
56.0,-2.6741505,0.0,3.3306012,12.005,0.6898596,0.69465
56.5,-2.6703095,0.0,3.4084368,12.008,0.68979365,0.69464
57.0,-2.6667917,0.0,3.508956,12.045,0.68973464,0.69463
57.5,-2.6635118,0.0,3.6407807,12.138,0.68969005,0.69461
58.0,-2.6604187,0.0,3.7914634,12.266,0.689663,0.6946
58.5,-2.6576827,0.0,3.9996572,12.438,0.68965703,0.69458
59.0,-2.6550484,0.0,4.468411,12.806,0.6896735,0.69455
59.5,-2.6526353,0.0,5.2458286,13.518,0.6896866,0.69449
60.0,-2.650358,0.0,5.9829364,14.289,0.6896893,0.69443
60.5,-2.6482167,0.0,6.529964,14.797,0.6897105,0.69439
61.0,-2.6463473,0.0,6.950845,15.17,0.6897501,0.69435
61.5,-2.644461,0.0,7.2909102,15.49,0.68979704,0.69432
62.0,-2.6428123,0.0,7.5497665,15.76,0.6898458,0.6943
62.5,-2.6412659,0.0,7.7720747,15.984,0.68989307,0.69427
63.0,-2.6397192,0.0,8.063889,16.235,0.6899348,0.69424
63.5,-2.6383598,0.0,8.467717,16.574,0.6899654,0.69421
64.0,-2.6370683,0.0,8.93567,16.959,0.68998474,0.69417
64.5,-2.6357596,0.0,9.422035,17.331,0.68999493,0.69413
65.0,-2.634621,0.0,9.843663,17.648,0.68999773,0.6941
65.5,-2.6334484,0.0,10.183155,17.868,0.689997,0.69407
66.0,-2.6324797,0.0,10.467658,18.043,0.6899943,0.69405
66.5,-2.63146,0.0,10.78083,18.235,0.689991,0.69402
67.0,-2.6305592,0.0,11.306141,18.594,0.6899873,0.69399
67.5,-2.6297264,0.0,12.144663,19.263,0.68997276,0.69392
68.0,-2.628775,0.0,13.321454,20.23,0.6899371,0.69382
68.5,-2.627942,0.0,14.796986,21.455,0.6898721,0.69367
69.0,-2.6271603,0.0,16.508541,22.868,0.6897759,0.69348
69.5,-2.6264465,0.0,18.356802,24.414,0.6896565,0.69323
70.0,-2.6256478,0.0,20.197523,26.003,0.6895381,0.69294
70.5,-2.625019,0.0,21.908155,27.546,0.6894196,0.69264
71.0,-2.6242032,0.0,23.451761,29.039,0.6892571,0.69235
71.5,-2.6235404,0.0,24.865034,30.485,0.6890289,0.69205
72.0,-2.6228948,0.0,26.146109,31.873,0.6887634,0.69176
72.5,-2.622249,0.0,27.314028,33.051,0.68849826,0.69154
73.0,-2.621654,0.0,28.378304,33.968,0.6882519,0.69137
73.5,-2.6209912,0.0,29.328566,34.688,0.6880279,0.69125
74.0,-2.6203964,0.0,30.162264,35.277,0.68782544,0.69115
74.5,-2.6198018,0.0,30.898527,35.787,0.6876446,0.69106
75.0,-2.619207,0.0,31.572662,36.269,0.6874893,0.69097
75.5,-2.618493,0.0,32.200275,36.761,0.6873659,0.69088
76.0,-2.6179833,0.0,32.78492,37.27,0.6872764,0.69078
76.5,-2.6174054,0.0,33.316193,37.795,0.6872136,0.69069
77.0,-2.6168447,0.0,33.767048,38.299,0.68716365,0.69059
77.5,-2.6162498,0.0,34.11223,38.74,0.6871145,0.6905
78.0,-2.61574,0.0,34.3172,39.083,0.6870616,0.69043
78.5,-2.6150773,0.0,34.362904,39.293,0.68700963,0.69037
79.0,-2.6144993,0.0,34.21129,39.353,0.6869664,0.69034
79.5,-2.6140234,0.0,33.879677,39.249,0.68694085,0.69033
80.0,-2.6133268,0.0,33.43616,39.044,0.6869335,0.69033
80.5,-2.6127489,0.0,32.95344,38.798,0.68694115,0.69033
81.0,-2.612256,0.0,32.386482,38.478,0.6869582,0.69034
81.5,-2.6116612,0.0,31.755629,38.007,0.6869892,0.69036
82.0,-2.6110835,0.0,31.203974,37.53,0.6870351,0.69038
82.5,-2.6104887,0.0,30.855831,37.219,0.68708336,0.69038
83.0,-2.6099617,0.0,30.641613,37.057,0.6871212,0.69038
83.5,-2.609384,0.0,30.487356,36.894,0.6871472,0.69037
84.0,-2.6087723,0.0,30.292656,36.68,0.68715674,0.69038
84.5,-2.6081264,0.0,30.01061,36.366,0.6871569,0.69038
85.0,-2.6075826,0.0,29.670597,36.009,0.68715733,0.69039
85.5,-2.6069367,0.0,29.316645,35.673,0.6871597,0.6904
86.0,-2.606291,0.0,28.937593,35.365,0.6871638,0.69041
86.5,-2.6056793,0.0,28.532145,35.043,0.6871753,0.69042
87.0,-2.6051354,0.0,28.13787,34.729,0.6871948,0.69042
87.5,-2.6045744,0.0,27.720442,34.43,0.6872113,0.69043
88.0,-2.6040137,0.0,27.075909,33.968,0.687215,0.69045
88.5,-2.603402,0.0,26.041653,33.126,0.68721277,0.69049
89.0,-2.602807,0.0,24.426723,31.813,0.6871829,0.69055
89.5,-2.6020932,0.0,22.310997,29.948,0.6871274,0.69064
90.0,-2.6015155,0.0,19.933226,27.739,0.6870375,0.69073
90.5,-2.6009037,0.0,17.510273,25.258,0.6869579,0.69081
91.0,-2.600309,0.0,15.119869,22.695,0.686939,0.69089
91.5,-2.599731,0.0,12.744994,20.2,0.68699723,0.69095
92.0,-2.5990853,0.0,10.466711,17.932,0.68714917,0.69101
92.5,-2.5984225,0.0,8.364764,16.08,0.6873356,0.69104
93.0,-2.5978787,0.0,6.413453,14.64,0.68747264,0.69107
93.5,-2.597216,0.0,4.6099925,13.409,0.68752116,0.69109
94.0,-2.596604,0.0,2.8922472,12.202,0.6874651,0.69111
94.5,-2.5960093,0.0,1.2029854,10.869,0.6873341,0.69113
95.0,-2.5953634,0.0,-0.52546877,9.4186,0.68715495,0.69114
95.5,-2.5947177,0.0,-2.2617753,7.8545,0.6869752,0.69116
96.0,-2.5940378,0.0,-3.7462687,6.3275,0.6868518,0.69117
96.5,-2.593426,0.0,-4.8662424,5.0192,0.68679005,0.69117
97.0,-2.5927973,0.0,-5.6520367,3.972,0.6867727,0.69118
97.5,-2.5921004,0.0,-6.2293234,3.0963,0.68677616,0.69118
98.0,-2.5914547,0.0,-6.802707,2.2677,0.6867636,0.69118
98.5,-2.5909448,0.0,-7.350959,1.3384,0.68674505,0.69118
99.0,-2.5902312,0.0,-7.4858723,0.49871,0.6867607,0.69118
99.5,-2.5894663,0.0,-1.1893334,0.032909,0.68643564,0.69118
100.0,-2.5890245,0.0,3.4589436,0.0007683,0.68626475,0.69118
100.5,-2.5882938,0.0,1.595148,0.00052413,0.68686837,0.69118
101.0,-2.587682,0.0,0.60594565,0.00035677,0.6875896,0.69118
101.5,-2.587002,0.0,0.2415616,0.00024284,0.6881002,0.69118
102.0,-2.5863392,0.0,0.1630262,0.00016529,0.6883252,0.69118
102.5,-2.5857446,0.0,0.4343672,0.0001125,0.68816984,0.69118
103.0,-2.5851157,0.0,0.5845824,7.66e-05,0.6879362,0.69118
103.5,-2.58447,0.0,0.49716586,5.21e-05,0.68781817,0.69118
104.0,-2.5837562,0.0,0.29152948,3.55e-05,0.68783534,0.69118
104.5,-2.5832124,0.0,0.052099727,2.41e-05,0.68795484,0.69118
105.0,-2.5824645,0.0,-0.14024092,1.64e-05,0.688101,0.69118
105.5,-2.5819378,0.0,-0.2292403,1.12e-05,0.68819803,0.69118
106.0,-2.5812578,0.0,-0.22849587,7.61e-06,0.6882254,0.69118
106.5,-2.5806801,0.0,-0.19970079,5.18e-06,0.68821555,0.69118
107.0,-2.5800514,0.0,-0.19556318,3.53e-06,0.6882113,0.69118
107.5,-2.5793886,0.0,-0.22588173,2.4e-06,0.68823063,0.69118
108.0,-2.5787938,0.0,-0.2700797,1.63e-06,0.68826735,0.69118
108.5,-2.5780969,0.0,-0.30490434,1.11e-06,0.6883054,0.69118
109.0,-2.577485,0.0,-0.3210863,7.57e-07,0.68833387,0.69118
109.5,-2.5768223,0.0,-0.32400215,5.15e-07,0.6883523,0.69118
110.0,-2.5761595,0.0,-0.32459077,3.51e-07,0.6883664,0.69118
110.5,-2.5755308,0.0,-0.32998225,2.39e-07,0.68838274,0.69118
111.0,-2.574936,0.0,-0.34033987,1.62e-07,0.688403,0.69118
111.5,-2.57429,0.0,-0.35162,1.11e-07,0.6884255,0.69118
112.0,-2.5736783,0.0,-0.36007327,7.53e-08,0.6884474,0.69118
112.5,-2.5730495,0.0,-0.36473024,5.12e-08,0.688467,0.69118
113.0,-2.5724378,0.0,-0.36705503,3.49e-08,0.6884848,0.69118
113.5,-2.571792,0.0,-0.36909044,2.37e-08,0.6885017,0.69118
114.0,-2.5712311,0.0,-0.37191233,1.62e-08,0.68851924,0.69118
114.5,-2.5705514,0.0,-0.37534508,1.1e-08,0.6885371,0.69118
115.0,-2.5698206,0.0,-0.3786418,7.49e-09,0.6885555,0.69118
115.5,-2.5693448,0.0,-0.38116938,5.09e-09,0.68857324,0.69118
116.0,-2.568682,0.0,-0.3829006,3.47e-09,0.6885907,0.69118
116.5,-2.5680532,0.0,-0.3841545,2.36e-09,0.6886077,0.69118
117.0,-2.5674074,0.0,-0.38530454,1.61e-09,0.6886245,0.69118
117.5,-2.5667105,0.0,-0.38651887,1.09e-09,0.68864155,0.69118
118.0,-2.5661666,0.0,-0.38771835,7.44e-10,0.6886585,0.69118
118.5,-2.565521,0.0,-0.38878426,5.07e-10,0.6886755,0.69118
119.0,-2.564943,0.0,-0.38962764,3.45e-10,0.6886923,0.69118
119.5,-2.5643823,0.0,-0.3902484,2.35e-10,0.6887089,0.69118
120.0,-2.5637195,0.0,-0.39073065,1.6e-10,0.68872553,0.69118
120.5,-2.5630908,0.0,-0.39116594,1.09e-10,0.688742,0.69118
121.0,-2.562479,0.0,-0.39155915,7.4e-11,0.68875855,0.69118
121.5,-2.561799,0.0,-0.39188808,5.04e-11,0.68877506,0.69118
122.0,-2.5612893,0.0,-0.39216262,3.43e-11,0.6887916,0.69118
122.5,-2.5606775,0.0,-0.39233327,2.33e-11,0.688808,0.69118
123.0,-2.5600657,0.0,-0.39243218,1.59e-11,0.6888243,0.69118
123.5,-2.559522,0.0,-0.39249402,1.08e-11,0.6888407,0.69118
124.0,-2.558859,0.0,-0.39250144,7.36e-12,0.6888571,0.69118
124.5,-2.5582473,0.0,-0.3924767,5.01e-12,0.68887335,0.69118
125.0,-2.5576525,0.0,-0.3924124,3.41e-12,0.68888956,0.69118
125.5,-2.5569897,0.0,-0.392311,2.32e-12,0.68890584,0.69118
126.0,-2.5565307,0.0,-0.39217994,1.58e-12,0.68892205,0.69118
126.5,-2.555868,0.0,-0.39200187,1.08e-12,0.6889383,0.69118
127.0,-2.555375,0.0,-0.39180896,7.32e-13,0.6889546,0.69118
127.5,-2.5546615,0.0,-0.39159378,4.98e-13,0.6889708,0.69118
128.0,-2.5541005,0.0,-0.3913539,3.39e-13,0.688987,0.69118
128.5,-2.5536246,0.0,-0.39108926,2.31e-13,0.6890032,0.69118
129.0,-2.55303,0.0,-0.39081228,1.57e-13,0.68901944,0.69118
129.5,-2.55252,0.0,-0.39050558,1.07e-13,0.68903565,0.69118
130.0,-2.5518403,0.0,-0.39018407,7.28e-14,0.68905187,0.69118
130.5,-2.5513644,0.0,-0.38985515,4.95e-14,0.689068,0.69118
131.0,-2.5507696,0.0,-0.38952127,3.37e-14,0.68908405,0.69118
131.5,-2.5502088,0.0,-0.3891676,2.29e-14,0.6891002,0.69118
132.0,-2.549614,0.0,-0.38879663,1.56e-14,0.6891164,0.69118
132.5,-2.5490022,0.0,-0.3884133,1.06e-14,0.6891325,0.69118
133.0,-2.5484414,0.0,-0.38804728,7.23e-15,0.6891487,0.69118
133.5,-2.5479314,0.0,-0.3876491,4.92e-15,0.689165,0.69118
134.0,-2.5473876,0.0,-0.38725832,3.35e-15,0.689181,0.69118
134.5,-2.5468438,0.0,-0.3868577,2.28e-15,0.6891971,0.69118
135.0,-2.546266,0.0,-0.38644713,1.55e-15,0.6892133,0.69118
135.5,-2.5456374,0.0,-0.3860341,1.06e-15,0.6892293,0.69118
136.0,-2.5451784,0.0,-0.38561368,7.19e-16,0.6892455,0.69118
136.5,-2.5445666,0.0,-0.38519076,4.9e-16,0.6892617,0.69118
137.0,-2.5441418,0.0,-0.3847728,3.33e-16,0.68927777,0.69118
137.5,-2.543547,0.0,-0.4595366,0.0039794,0.6893316,0.69118
138.0,-2.5429862,0.0,-0.7655885,0.30938,0.6897428,0.69118
138.5,-2.5424423,0.0,0.13824508,0.97324,0.6897156,0.69118
139.0,-2.5419495,0.0,1.4949303,2.047,0.6895192,0.69116
139.5,-2.5414057,0.0,3.28808,3.6581,0.68933773,0.69113
