Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, 41.20, 5492.79, True, False
2, 34.52, 2716.11, True, False
3, 109.07, 6530.93, False, False
4, 102.55, 3985.42, False, False
5, 96.38, 3018.82, False, False
6, 74.54, 2094.41, True, False
7, 57.14, 1581.88, True, False
8, 154.90, 3624.09, False, False
9, 94.26, 2065.97, False, False
10, 103.28, 2188.48, False, False
11, 49.34, 1040.27, True, False
12, 49.10, 1010.94, True, False
13, 59.31, 1193.33, True, False
14, 65.20, 1281.92, True, False
15, 204.25, 3789.29, False, False
16, 75.74, 1410.07, True, False
17, 55.86, 1030.35, True, False
18, 50.43, 922.93, True, False
19, 49.10, 893.25, True, False
20, 48.43, 876.49, True, False
21, 47.72, 859.81, True, False
22, 69.17, 1245.19, True, False
