time_s,ice_torque_nm,em1_speed_rpm,em1_torque_nm,em1_torque_ist_nm,em1_power_kw,em1_power_ist_kw,em1_elpower_kw,em1_elpower_ist_kw,em2_speed_rpm,em2_torque_nm,em2_torque_ist_nm,em2_power_kw,em2_power_ist_kw,em2_elpower_kw,em2_elpower_ist_kw,soc_1,ice_speed_soll_rpm,brake_perc,car_speed_kmph,car_acc_mpsh2,grade_perc,sun_speed_rpm,carrier_speed_rpm,ring_speed_rpm,brake_trq_nm,brake_pwr_kw
0.0,468.32147,1673.1688,-89.39852,-89.39852,-15.663988,-15.663988,-13.40561,-13.40561,5.04452,269.62186,269.62186,0.1424307,0.1424307,0.42667735,0.42667735,0.58441156,1185.3942,0.0,0.26264635,1.5173457,0.0,1673.1688,699.1634,5.04452,0.0,0.0
0.5,468.32147,2794.3657,-188.917306,-188.917306,-55.4562557,-55.4562557,-49.4125157,-49.4125157,36.3651337,269.62186,269.62186,1.026759878,1.026759878,2.864421693,2.864421693,0.584546928,1185.3942,0.0,1.89337519,1.66966959,0.0,2794.3657,1183.98952,36.3651337,0.0,0.0
1.0,468.32147,2716.88674,-195.488863,-195.488863,-55.6192626,-55.6192626,-49.3922087,-49.3922087,94.4685225,269.62186,269.62186,2.66729369,2.66729369,6.79434747,6.79434747,0.584809461,1185.3942,0.0,4.91856733,1.68079863,0.0,2716.88674,1185.67611,94.4685225,0.0,0.0
1.5,468.32147,2631.44268,-195.342006,-195.342006,-53.8292378,-53.8292378,-47.6473551,-47.6473551,152.560002,269.62186,269.62186,4.30749122,4.30749122,10.0405798,10.0405798,0.58504583,1185.3942,0.0,7.94313939,1.67992378,0.0,2631.44268,1184.04137,152.560002,0.0,0.0
2.0,468.32147,2550.0747,-195.338782,-195.338782,-52.1638924,-52.1638924,-46.0163943,-46.0163943,210.622774,269.62186,269.62186,5.94687809,5.94687809,12.6581855,12.6581855,0.585259976,1185.3942,0.0,10.96621635,1.67900826,0.0,2550.0747,1184.086,210.622774,0.0,0.0
2.5,468.32147,2468.83618,-195.338392,-195.338392,-50.5019909,-50.5019909,-44.3773431,-44.3773431,268.648997,269.62186,269.62186,7.5852334,7.5852334,14.6207949,14.6207949,0.585454631,1185.3942,0.0,13.9873916,1.67780749,0.0,2468.83618,1184.16313,268.648997,0.0,0.0
3.0,468.32147,2387.66419,-195.337973,-195.337973,-48.8414504,-48.8414504,-42.7507548,-42.7507548,326.628718,269.62186,269.62186,9.2222752,9.2222752,16.2340001,16.2340001,0.585631617,1185.3942,0.0,17.0061441,1.67631744,0.0,2387.66419,1184.24079,326.628718,0.0,0.0
3.5,468.32147,2282.4687,-196.273895,-196.273895,-46.908469,-46.908469,-40.8439105,-40.8439105,384.56543,269.62186,269.62186,10.8581031,10.8581031,17.6563352,17.6563352,0.585791831,1173.08006,0.0,20.0226584,1.67616688,0.0,2282.4687,1174.297,384.56543,0.0,0.0
4.0,468.32147,2020.68329,-197.225132,-197.225132,-41.7343205,-41.7343205,-35.7660378,-35.7660378,442.523439,269.62186,269.62186,12.494532,12.494532,19.3878847,19.3878847,0.585924309,1099.39616,0.0,23.0402814,1.67575338,0.0,2020.68329,1099.20741,442.523439,0.0,0.0
4.5,468.32147,1741.57859,-197.169726,-197.169726,-35.9593699,-35.9593699,-30.1513567,-30.1513567,500.414682,269.62186,269.62186,14.1290761,14.1290761,21.0710954,21.0710954,0.586012701,1017.553018,0.0,26.0544278,1.67330137,0.0,1741.57859,1016.872159,500.414682,0.0,0.0
5.0,468.32147,1464.19532,-197.167738,-197.167738,-30.2317654,-30.2317654,-24.6164543,-24.6164543,558.21863,269.62186,269.62186,15.76115495,15.76115495,22.6277465,22.6277465,0.585906496,935.709895,0.0,29.0640292,1.67065714,0.0,1464.19532,935.202218,558.21863,0.0,0.0
5.5,468.32147,1186.98012,-197.166897,-197.166897,-24.5079005,-24.5079005,-19.1460906,-19.1460906,615.926298,269.62186,269.62186,17.390516,17.390516,24.2697087,24.2697087,0.585802418,853.866755,0.0,32.0686187,1.66773182,0.0,1186.98012,853.546011,615.926298,0.0,0.0
6.0,468.32147,909.913931,-197.166009,-197.166009,-18.7871557,-18.7871557,-13.77469535,-13.77469535,673.527978,269.62186,269.62186,19.0168837,19.0168837,25.9556577,25.9556577,0.585725099,772.023624,0.0,35.0676886,1.66452508,0.0,909.913931,771.889922,673.527978,0.0,0.0
6.5,468.32147,633.009805,-197.165032,-197.165032,-13.069803,-13.069803,-8.58612041,-8.58612041,731.013848,269.62186,269.52261,20.6399818,20.6321156,27.5639939,27.5535945,0.585565017,690.180495,0.0,38.0607284,1.66071495,0.0,633.009805,690.233637,731.013848,0.0,0.0
7.0,459.043612,336.511177,-193.809613,-193.809613,-6.86561649,-6.86561649,-3.62054842,-3.62054842,787.077663,265.204242,240.255346,21.8504037,19.7784964,28.1413843,25.4867612,0.585306899,608.337363,0.0,40.9797287,1.54570284,0.0,336.511177,599.593612,787.077663,0.0,0.0
7.5,421.221756,61.3265004,-176.450087,-176.450087,-1.158032354,-1.158032354,-0.457626259,-0.457626259,836.907509,229.764267,204.105823,20.1200467,17.8805602,25.1049577,22.3074514,0.585026837,542.949267,0.0,43.5741528,1.35100625,0.0,61.3265004,514.182518,836.907509,0.0,0.0
8.0,381.403335,3.0971423728,-161.48502,-159.174461,-0.05359727536,-0.05379978796,-0.0013318368,-0.0019096688,881.317788,188.391462,186.127662,17.3718826,17.1667165,21.2866794,21.0333909,0.584751711,537.55066,0.0,45.8864057,1.20810987,0.0,3.0971423728,515.88369,881.317788,0.0,0.0
8.5,341.584945,-78.1989628,-143.213938,-142.96812,1.158782687,1.158510143,2.96568017,2.96491222,919.820172,147.401723,147.401723,14.1863483,14.1863483,16.9757168,16.9757168,0.584508813,537.55066,0.0,47.8910565,1.010360927,0.0,-78.1989628,504.537038,919.820172,0.0,0.0
9.0,301.766525,-110.393528,-125.770422,-125.770422,1.44841192,1.44841192,3.5930305,3.5930305,952.131256,132.02313,132.02313,13.16362385,13.16362385,15.5722358,15.5722358,0.584292517,537.55066,0.0,49.5733559,0.881547902,0.0,-110.393528,510.006855,952.131256,0.0,0.0
9.5,277.05408,-117.6932786,-114.9372434,-114.9372434,1.41673874,1.41673874,3.48137316,3.48137316,981.53341,132.02313,132.02313,13.5701212,13.5701212,15.9815923,15.9815923,0.584073313,537.55066,0.0,51.104198,0.831439029,0.0,-117.6932786,524.137068,981.53341,0.0,0.0
10.0,276.7416,-125.3626499,-115.3425004,-115.3425004,1.51425109,1.51425109,3.6897231,3.6897231,1010.232043,132.02313,132.02313,13.9668922,13.9668922,16.3906006,16.3906006,0.583850526,537.55066,0.0,52.5984124,0.829311136,0.0,-125.3626499,537.702698,1010.232043,0.0,0.0
10.5,276.322446,-164.478713,-115.2367154,-115.1724324,1.98458165,1.9833675,4.62335148,4.62057192,1038.8575,132.02313,131.880503,14.36265155,14.34695755,16.7950992,16.7767769,0.58360136,538.126434,0.0,54.0888167,0.8255361,0.0,-164.478713,538.140425,1038.8575,0.0,0.0
11.0,267.806004,618.9574201,-96.2324839,-96.2324839,-6.13821957,-6.13821957,-4.3689821106,-4.3689821106,1066.67377,132.02313,132.02313,14.7472233,14.7472233,17.1866144,17.1866144,0.583386142,910.308461,0.0,55.5370887,0.780607465,0.0,618.9574201,880.375704,1066.67377,0.0,0.0
11.5,256.20843,2234.38085,-91.81892,-91.81892,-21.4215946,-21.4215946,-18.956608,-18.956608,1093.23947,132.02313,132.02313,15.1145049,15.1145049,17.5574773,17.5574773,0.583333783,1577.58136,0.0,56.9202488,0.756936269,0.0,2234.38085,1568.07681,1093.23947,0.0,0.0
12.0,244.610853,3762.92763,-90.4202629,-90.4202629,-35.7381413,-35.7381413,-33.0939198,-33.0939198,1119.0113,132.02313,132.02313,15.470812,15.470812,17.9149639,17.9149639,0.583390308,2217.69907,0.0,58.2620781,0.738521453,0.0,3762.92763,2219.16443,1119.0113,0.0,0.0
12.5,233.013278,4142.2714,-98.0870225,-98.0870225,-42.5559657,-42.5559657,-39.5044169,-39.5044169,1144.58458,132.02313,132.02313,15.8243736,15.8243736,18.2674794,18.2674794,0.583521868,2387.8826,0.0,59.5935677,0.735851331,0.0,4142.2714,2391.94423,1144.58458,0.0,0.0
13.0,221.415702,4075.00744,-92.3598824,-92.3598824,-39.414656,-39.414656,-36.6442708,-36.6442708,1169.56441,132.02313,132.02313,16.1697309,16.1697309,18.6147799,18.6147799,0.583651399,2387.8826,0.0,60.8941606,0.709879678,0.0,4075.00744,2378.54069,1169.56441,0.0,0.0
13.5,209.818126,4040.44636,-87.4979615,-87.4979615,-37.023048,-37.023048,-34.4779635,-34.4779635,1193.68315,132.02313,132.02313,16.5031824,16.5031824,18.9575436,18.9575436,0.583765006,2387.8826,0.0,62.1499173,0.685448297,0.0,4040.44636,2378.24231,1193.68315,0.0,0.0
14.0,198.220555,4007.84511,-82.6648064,-82.6648064,-34.6958019,-34.6958019,-32.3644729,-32.3644729,1216.9592,132.02313,132.02313,16.8249839,16.8249839,19.2871114,19.2871114,0.583863627,2387.8826,0.0,63.3617997,0.66110532,0.0,4007.84511,2378.26746,1216.9592,0.0,0.0
14.5,186.622979,3976.43556,-77.8322061,-77.8322061,-32.4115025,-32.4115025,-30.283852,-30.283852,1239.39441,132.02313,132.02313,17.1351604,17.1351604,19.6034823,19.6034823,0.583947108,2387.8826,0.0,64.5299051,0.636806511,0.0,3976.43556,2378.2975,1239.39441,0.0,0.0
15.0,175.261326,3946.61814,-73.0455601,-73.0455601,-30.1900161,-30.1900161,-28.2541256,-28.2541256,1260.99114,132.02313,132.02313,17.4337443,17.4337443,19.9068385,19.9068385,0.58401519,2387.8826,0.0,65.6543543,0.61290969,0.0,3946.61814,2378.50038,1260.99114,0.0,0.0
15.5,171.56598,3932.08583,-71.431275,-71.431275,-29.4129999,-29.4129999,-27.5401974,-27.5401974,1281.95794,132.02313,132.02313,17.7236193,17.7236193,20.2002336,20.2002336,0.584071121,2387.8826,0.0,66.746005,0.603491137,0.0,3932.08583,2384.69575,1281.95794,0.0,0.0
16.0,171.56598,3906.92186,-71.5536319,-71.5536319,-29.2748704,-29.2748704,-27.4006991,-27.4006991,1302.78694,132.02313,132.02313,18.0115888,18.0115888,20.4906209,20.4906209,0.584123367,2387.8826,0.0,67.8304785,0.601380778,0.0,3906.92186,2386.38666,1302.78694,0.0,0.0
16.5,171.56598,3877.96603,-71.5560166,-71.5560166,-29.0588736,-29.0588736,-27.1883629,-27.1883629,1323.53217,131.28779,131.28779,18.1958066,18.1958066,20.6597297,20.6597297,0.584172331,2387.8826,0.0,68.9105941,0.596659389,0.0,3877.96603,2386.45096,1323.53217,0.0,0.0
17.0,171.56598,3634.27273,-79.2865222,-79.2865222,-30.0145551,-30.0145551,-27.8613096,-27.8613096,1343.11993,105.523895,105.523895,14.8361014,14.8361014,16.7684899,16.7684899,0.584232057,2279.60654,0.0,69.9304443,0.524510859,0.0,3634.27273,2296.48552,1343.11993,0.0,0.0
17.5,171.56598,2259.14171,-85.1977432,-85.1977432,-20.1694931,-20.1694931,-17.96940475,-17.96940475,1359.38246,67.4863297,67.4863297,9.60230774,9.60230774,10.9183898,10.9183898,0.584304394,1730.13515,0.0,70.7771636,0.409836635,0.0,2259.14171,1733.77892,1359.38246,0.0,0.0
18.0,173.169984,804.351637,-85.3153075,-85.3153075,-7.15957255,-7.15957255,-5.48280396,-5.48280396,1371.3936,29.4533133,29.4533133,4.22659663,4.22659663,5.16335103,5.16335103,0.584330791,1133.526,0.0,71.4025332,0.287443117,0.0,804.351637,1135.44328,1371.3936,0.0,0.0
18.5,188.243455,-615.7702335,-91.632064,-91.632064,6.005315505,6.005315505,8.362372918,8.362372918,1379.61316,-8.58006142,-8.58006142,-1.241766047,-1.241766047,-0.809762604,-0.809762604,0.58430417,536.916884,0.0,71.8304891,0.191965579,0.0,-615.7702335,549.319402,1379.61316,0.0,0.0
19.0,196.63165,-1473.06578,-82.9552084,-82.9552084,12.7877775,12.7877775,15.1264005,15.1264005,1384.18008,-44.9466313,-44.9466313,-6.51565059,-6.51565059,-5.60106997,-5.60106997,0.584213571,210.04442,0.0,72.0682677,0.0684462625,0.0,-1473.06578,195.258982,1384.18008,0.0,0.0
19.5,196.63165,-1438.22857,-81.7422338,-81.7422338,12.3112569,12.3112569,14.589128,14.589128,1385.64806,-54.342575,-54.342575,-7.88536418,-7.88536418,-6.87495778,-6.87495778,0.584143002,210.04442,0.0,72.1446996,0.0357405994,0.0,-1438.22857,210.61215,1385.64806,0.0,0.0
20.0,196.63165,-1437.57909,-81.828088,-81.828088,12.31864065,12.31864065,14.6003339,14.6003339,1386.88506,-54.342575,-54.342575,-7.89240361,-7.89240361,-6.88163271,-6.88163271,0.5840763,210.04442,0.0,72.2091048,0.035742043,0.0,-1437.57909,211.604668,1386.88506,0.0,0.0
20.5,196.63165,-1439.25934,-81.8296785,-81.8296785,12.3332777,12.3332777,14.6151885,14.6151885,1388.11725,-54.9027995,-54.9027995,-7.98088379,-7.98088379,-6.96427282,-6.96427282,0.584009533,210.04442,0.0,72.27326,0.0337977564,0.0,-1439.25934,211.624986,1388.11725,0.0,0.0
21.0,196.63165,-1435.50113,-81.744142,-81.744142,12.288233,12.288233,14.5659338,14.5659338,1385.13604,-150.8583166,-150.8583166,-21.8704013,-21.8704013,-19.1800822,-19.1800822,0.583982418,210.04442,0.0,72.1180431,-0.2819145017,0.0,-1435.50113,211.448091,1385.13604,0.0,0.0
21.5,196.63165,-1416.19934,-81.6989865,-81.6989865,12.1162891,12.1162891,14.38983345,14.38983345,1371.58243,-193.70749,-193.70749,-27.8225512,-27.8225512,-24.197037,-24.197037,0.584044441,210.04442,0.0,71.4123633,-0.424059415,0.0,-1416.19934,211.565843,1371.58243,0.0,0.0
22.0,196.63165,-1395.62626,-81.7024203,-81.7024203,11.9407789,11.9407789,14.21150665,14.21150665,1356.95201,-193.70749,-193.70749,-27.525773,-27.525773,-23.9105509,-23.9105509,0.584114185,210.04442,0.0,70.6506206,-0.42233062,0.0,-1395.62626,211.583869,1356.95201,0.0,0.0
22.5,196.63165,-1375.22459,-81.7029637,-81.7029637,11.76630375,11.76630375,14.033358,14.033358,1342.38077,-193.671554,-193.671554,-27.2251682,-27.2251682,-23.6159106,-23.6159106,0.584183225,210.04442,0.0,69.8919594,-0.420514351,0.0,-1375.22459,211.565115,1342.38077,0.0,0.0
23.0,196.63165,-1356.2033,-81.724885,-81.724885,11.6066662,11.6066662,13.87058955,13.87058955,1328.87262,-169.24775,-169.24775,-23.5567897,-23.5567897,-20.5550115,-20.5550115,0.584244924,210.04442,0.0,69.1886474,-0.336672614,0.0,-1356.2033,211.592699,1328.87262,0.0,0.0
23.5,196.63165,-1343.45828,-81.7675728,-81.7675728,11.5036005,11.5036005,13.7663204,13.7663204,1319.80611,-125.429161,-125.429161,-17.3379964,-17.3379964,-15.2747147,-15.2747147,0.584275575,210.04442,0.0,68.7165953,-0.188146071,0.0,-1343.45828,211.60213,1319.80611,0.0,0.0
24.0,196.63165,-1337.86225,-81.8076369,-81.8076369,11.4612985,11.4612985,13.7243513,13.7243513,1315.80579,-81.6057662,-81.6057662,-11.2451069,-11.2451069,-9.90847409,-9.90847409,0.584266184,210.04442,0.0,68.5083151,-0.0442371004,0.0,-1337.86225,211.59493,1315.80579,0.0,0.0
24.5,196.63165,-1339.15621,-81.8469991,-81.8469991,11.4779065,11.4779065,13.7430706,13.7430706,1316.72886,-37.7869035,-37.7869035,-5.20906609,-5.20906609,-4.37269362,-4.37269362,0.584209675,210.04442,0.0,68.556375,0.0974962354,0.0,-1339.15621,211.595462,1316.72886,0.0,0.0
25.0,196.63165,-1347.29563,-81.8862403,-81.8862403,11.5532078,11.5532078,13.82223115,13.82223115,1322.54223,6.03195835,6.03195835,0.838528064,0.838528064,1.358158538,1.358158538,0.584095003,210.04442,0.0,68.8590521,0.238671942,0.0,-1347.29563,211.603,1322.54223,0.0,0.0
25.5,196.63165,-1334.90323,-85.6462634,-80.823164,11.9541754,11.3013632,14.3046594,13.5210975,1333.14982,49.8486163,46.4516892,6.96405709,6.48827533,8.10440916,7.55743066,0.583887505,210.04442,0.0,69.4113449,0.366385149,0.0,-1334.90323,222.95327,1333.14982,0.0,0.0
26.0,196.63165,-1193.62067,-128.664052,-81.0340214,16.0418046,10.127287,19.5963479,12.3641736,1346.71549,93.0187134,58.6060427,13.12310855,8.2652178,15.0148117,9.45749025,0.583611025,210.04442,0.0,70.1176504,0.404528923,0.0,-1193.62067,289.662866,1346.71549,0.0,0.0
26.5,196.63165,-1252.90497,-171.405741,-83.0624677,22.5195595,10.8973531,27.3007497,13.2147633,1360.48908,107.960014,52.45412,15.38107295,7.47223522,17.7089665,8.6022402,0.583331219,210.04442,0.0,70.8347821,0.386552316,0.0,-1252.90497,273.036525,1360.48908,0.0,0.0
27.0,196.63165,-1352.43817,-188.331978,-82.3315152,26.6792789,11.6601196,31.9179063,13.9502062,1373.46869,107.960014,47.2305286,15.5278143,6.79276995,17.9726407,7.86213732,0.583051461,210.04442,0.0,71.5105745,0.366844314,0.0,-1352.43817,239.198727,1373.46869,0.0,0.0
27.5,196.63165,-1396.4693,-198.367407,-82.0570846,29.0111593,11.99981785,34.5394235,14.2866416,1385.95995,107.960014,44.6749479,15.6690354,6.48379399,18.1758015,7.52104339,0.58277175,210.04442,0.0,72.1609411,0.35660986,0.0,-1396.4693,228.170618,1385.95995,0.0,0.0
