time_s,ice_speed_rpm,ice_torque_nm,ice_power_kw,fuel_mg,vtg_1,p_amb_bar,t_amb_k,no_eo_gps,no2_eo_gps,co_eo_gps,nh3_eo_gps,co2_eo_gps,propylene_eo_gps,diesel_vap_eo_gps,diesel_vap_ads_eo_gps,o2_eo_gps,n2_eo_gps,no_tp_gps,no2_tp_gps,co_tp_gps,nh3_tp_gps,co2_tp_gps,propylene_tp_gps,diesel_vap_tp_gps,diesel_vap_ads_tp_gps,t_wall_scr1_k,t_gas_eo_k,t_wall_doc_k,t_avg_doc_k,t_wall_dpf_k,t_sub_dpf_k,t_wall_scr2_k,t_avg_scr2_k,t_wall_scr3_k,t_avg_scr3_k,t_gas_tp_k,ice_bsfc_gpkwh,ice_imep_720_bar,ice_bmep_bar,cyl_pmax_bar,cyl_tmax_k,cyl_10_90_kw,mfb50_kw,cyl_lambda_1,combeff_1,turb_speed_rpm,turb_power_rpm,turb_torque_nm,turb_brake_power_kw,fuel_mf_c1_gps,fuel_mf_c2_gps,fuel_mf_c3_gps,fuel_mf_c4_gps,thc_tp_gps,thc_eo_gps,nox_eo_gps,nox_tp_gps,fuel_tot_gps,em1_speed_rpm,em1_torque_nm,em1_torque_ist_nm,em1_power_kw,em1_power_ist_kw,em1_elpower_kw,em1_elpower_ist_kw,em2_speed_rpm,em2_torque_nm,em2_torque_ist_nm,em2_power_kw,em2_power_ist_kw,em2_elpower_kw,em2_elpower_ist_kw,soc_1,brake_perc,car_speed_kmph,car_acc_mps2,grade_perc,sun_speed_rpm,carrier_speed_rpm,ring_speed_rpm
5.0,1856.358825,68.16509825,13.25207669,14.58657938,0.23,1.005,298,0.021954379,0.001770936,0.017510115,0,0,0.005862546,0.012951777,0.012951777,5.566451075,32.83468975,0.026255467,1.02e-05,0.015659319,6.5e-09,6.7e-07,0.005937728,0.013117736,0.007531213,356.138395,385.7396188,295.9195488,292.3105975,297.999985,297.9155988,297.990655,297.965475,298.0105988,298.01061,297.9396738,246.6393963,5.338218925,4.3515968,65.81483513,1388.412088,26.12517663,7.714787325,2.735848788,99.92067088,60000.1485,0.703891984,0.11203144,0.695080846,0.227900088,0.225923604,0.227320819,0.226629991,0.026586677,0.031766101,0.023725315,0.026265658,0.907774501,4423.56318,-26.88617,-26.88617,-12.4554255,-12.4554255,-11.7637436,-11.7637436,0.027104007,0.0,0.0,0.0,0.0,0.0,0.0,0.400621372,100.0,0.001411188,-1.72e-05,0,4423.56318,1840.6931,0.027104007
5.5,1842.7907,59.76794029,11.53436157,13.66911786,0.23,1.005,298,0.018590653,0.001499603,0.025092438,0,0,0.005605288,0.012383433,0.012383433,5.751464243,32.33881357,0.020859383,1.4e-05,0.022610462,6.5e-09,6.13e-07,0.00557683,0.012320475,0.007459203,361.0329214,385.5805614,295.7249386,293.2120171,297.99997,297.8985543,297.9856357,297.9558814,298.0113857,298.0104857,297.9452786,262.20481,4.782747857,3.81553,62.96019757,1317.198557,27.33891743,7.937693457,2.902725671,99.92055229,60186.05657,0.696449027,0.110504428,0.696795641,0.20975429,0.209861177,0.209791334,0.209830281,0.025356507,0.030372154,0.020090256,0.020873407,0.839237083,4400.41666,-24.8278636,-24.8278636,-11.4409747,-11.4409747,-10.7899698,-10.7899698,0.026945943,0.0,0.0,0.0,0.0,0.0,0.0,0.40070267,100.0,0.001402959,2.33e-06,0,4400.41666,1831.06162,0.026945943
6.0,1829.731563,58.71544713,11.25080963,13.47920463,0.23,1.005,298,0.015751569,0.00127059,0.029368205,0,0,0.005069098,0.011198859,0.011198859,5.681725963,32.14078788,0.01755977,1.71e-05,0.028341801,6.4e-09,5.63e-07,0.005232216,0.011559121,0.007371319,365.2851388,387.8773375,295.62015,294.229075,297.999955,297.8838063,297.97998,297.9468625,298.01202,298.01024,297.9509138,263.51965,4.710315213,3.748339763,62.15958275,1304.581963,27.70063263,8.10548675,2.8498609,99.92230925,60170.17975,0.69031521,0.109560072,0.691308528,0.206083883,0.205580256,0.205918381,0.205742988,0.024162656,0.027466815,0.01702216,0.017576841,0.823325508,4373.83924,-24.4341742,-24.4341742,-11.1916636,-11.1916636,-10.5500259,-10.5500259,0.026909625,0.0,0.0,0.0,0.0,0.0,0.0,0.400780844,100.0,0.001401068,3.49e-06,0,4373.83924,1820.00248,0.026909625
6.5,1817.019713,57.36014188,10.91449863,13.31893925,0.23,1.005,298,0.014609083,0.001178433,0.031633264,0,0,0.004922478,0.01087494,0.01087494,5.603574588,31.86033625,0.014929765,1.97e-05,0.0309895,6.4e-09,5.55e-07,0.004972511,0.01098537,0.007313805,369.5691675,390.174915,295.603225,295.3874913,297.99993,297.8708425,297.973475,297.9381113,298.0125075,298.00989,297.9565775,266.28123,4.620127875,3.66181835,61.5440655,1292.392238,27.91598675,8.16403875,2.829442713,99.92949075,60069.60938,0.68111037,0.108280332,0.682654219,0.201936104,0.201708921,0.201856716,0.201783746,0.023271685,0.026672358,0.015787515,0.014949471,0.807285488,4345.63086,-23.9251032,-23.9251032,-10.8877554,-10.8877554,-10.2546686,-10.2546686,0.026871641,0.0,0.0,0.0,0.0,0.0,0.0,0.400857116,100.0,0.00139909,-2.36e-06,0,4345.63086,1808.26478,0.026871641
7.0,1805.966486,56.48301429,10.68213543,13.21037107,0.23,1.005,298,0.013897681,0.001121048,0.033296175,0,0,0.004879137,0.010779189,0.010779189,5.508970486,31.64093814,0.013858632,1.98e-05,0.03265085,6.3e-09,5.41e-07,0.004884669,0.010791306,0.007356285,373.3057914,392.3138686,295.6724229,296.51311,297.9998971,297.8614457,297.9671529,297.9309014,298.0127871,298.0094543,297.9610057,268.0511943,4.560805586,3.605823343,61.099245,1285.613829,28.046506,8.239744214,2.783446014,99.92697343,59975.93829,0.673388557,0.107220081,0.674757553,0.198854997,0.198819397,0.198842821,0.198828426,0.023032259,0.026437514,0.015018729,0.013878434,0.795345641,4320.87496,-23.6617956,-23.6617956,-10.7065346,-10.7065346,-10.0783281,-10.0783281,0.026851825,0.0,0.0,0.0,0.0,0.0,0.0,0.400931782,100.0,0.001398058,4.78e-07,0,4320.87496,1797.9636,0.026851825
7.5,1795.588788,56.175925,10.562996,13.16344288,0.23,1.005,298,0.013475618,0.001087002,0.034264266,0,0,0.004820989,0.010650726,0.010650726,5.39443925,31.480337,0.013195892,1.92e-05,0.034003167,6.3e-09,5.3e-07,0.0048252,0.010659936,0.00741422,376.79141,394.5585138,295.8238413,297.671335,297.9998725,297.8549975,297.9608213,297.9247888,298.01291,298.0090113,297.9646963,268.54498,4.538634313,3.586219038,60.879281,1281.936738,28.094065,8.263445625,2.7188885,99.93049988,59904.06038,0.667443921,0.106401086,0.668623534,0.196995865,0.196976381,0.196988548,0.19698306,0.022899357,0.026122442,0.014562621,0.01321509,0.787943854,4297.17086,-23.5478428,-23.5478428,-10.5965156,-10.5965156,-9.971497,-9.971497,0.026842984,0.0,0.0,0.0,0.0,0.0,0.0,0.401005572,100.0,0.001397598,-9.07e-06,0,4297.17086,1788.10018,0.026842984
8.0,1785.818543,55.96499629,10.46606686,13.11236864,0.23,1.005,298,0.013190211,0.00106398,0.034832206,0,0,0.004772326,0.010543219,0.010543219,5.287844786,31.33557514,0.012780202,1.82e-05,0.034673102,6.2e-09,5.2e-07,0.004784084,0.010569095,0.00747996,380.0908429,396.7770357,296.0513457,298.8628314,297.9998371,297.8515429,297.9546586,297.9199186,298.0129143,298.00843,297.9677643,268.54404,4.522887271,3.572753614,60.62562414,1279.180571,28.12848586,8.326645214,2.661379086,99.93158357,59816.062,0.662168356,0.105715418,0.663911257,0.195213133,0.195148156,0.195189021,0.195167857,0.022833138,0.025858763,0.014254192,0.012798418,0.780718167,4275.09082,-23.4008712,-23.4008712,-10.4762826,-10.4762826,-9.854743,-9.854743,0.026832704,0.0,0.0,0.0,0.0,0.0,0.0,0.40107864,100.0,0.001397063,6.48e-06,0,4275.09082,1778.91248,0.026832704
8.5,1777.321957,55.58609214,10.34573286,13.0647765,0.23,1.005,298,0.012882127,0.001039129,0.035469292,0,0,0.004879074,0.010779051,0.010779051,5.202017343,31.20622557,0.012525066,1.72e-05,0.035170511,6.2e-09,5.23e-07,0.004868234,0.010754987,0.007627477,382.9912229,398.6642186,296.3328671,300.0072357,297.9998057,297.85129,297.9492314,297.9166971,298.0128086,298.0078214,297.9701114,269.3821529,4.496718529,3.548564643,60.35657543,1274.764914,28.32154371,8.375191143,2.616995857,99.931583,59712.81229,0.658013394,0.105233729,0.659793707,0.193555154,0.19351662,0.193547164,0.193531703,0.023250697,0.026437175,0.013921255,0.012542218,0.774150641,4254.8946,-23.2451992,-23.2451992,-10.3574228,-10.3574228,-9.7393556,-9.7393556,0.026820671,0.0,0.0,0.0,0.0,0.0,0.0,0.401150884,100.0,0.001396436,-4.94e-06,0,4254.8946,1770.50866,0.026820671
9.0,1768.959913,55.24479788,10.23385306,12.99688381,0.23,1.005,298,0.012729448,0.001026813,0.035604962,0,0,0.004764072,0.010524982,0.010524982,5.121589863,31.08383313,0.012250513,1.62e-05,0.035512014,6.1e-09,5.15e-07,0.004762608,0.010521677,0.007644775,385.9195113,400.6428325,296.7058188,301.2572925,297.9997575,297.8543863,297.9439675,297.9147675,298.0125625,298.0070988,297.9721613,269.6352588,4.47366315,3.526776813,60.19421663,1271.26735,28.39940125,8.41651925,2.5771355,99.93111313,59610.34075,0.654467733,0.104846542,0.656054809,0.191648281,0.191601631,0.191631154,0.191616358,0.022929061,0.025814036,0.013756261,0.012266705,0.766497424,4235.72996,-23.0904788,-23.0904788,-10.2421402,-10.2421402,-9.6274939,-9.6274939,0.026809211,0.0,0.0,0.0,0.0,0.0,0.0,0.40122238,100.0,0.00139584,2.9e-07,0,4235.72996,1762.53416,0.026809211
9.5,1761.360257,54.92371343,10.13065471,12.95431836,0.23,1.005,298,0.012581502,0.001014879,0.035760227,0,0,0.004762508,0.010521529,0.010521529,5.051371243,30.96623886,0.012071894,1.52e-05,0.035767407,6.1e-09,5.16e-07,0.0047642,0.01052517,0.007732474,388.6766029,402.4413729,297.1472743,302.5328514,297.9997129,297.8610257,297.9394229,297.9145771,298.0122343,298.0063286,297.9738414,270.2935686,4.4532007,3.5062791,60.25908486,1269.144471,28.37304357,8.331133357,2.544953129,99.92788357,59524.29057,0.651572294,0.104533515,0.652823517,0.19015933,0.190150727,0.190156396,0.190154166,0.023021845,0.025805565,0.013596381,0.012087078,0.760620619,4219.04388,-22.9556032,-22.9556032,-10.1421914,-10.1421914,-9.5305598,-9.5305598,0.026800024,0.0,0.0,0.0,0.0,0.0,0.0,0.40129317,100.0,0.001395361,2.28e-06,0,4219.04388,1755.59098,0.026800024
