speed_actual,speed_target,soc,ice_torque,nox,co,fuel,ice_speed_rpm,em2_torque_nm,brake_perc
28.854956,28.711,0.69727814,0.52313924,0.00022606326,0.027004844,3.0,900.0,99.6766357421875,0.1111920177936554
29.129532,28.915,0.69720274,0.5311795,0.0002124203,0.027088147,3.0,900.0,86.4197998046875,0.11425331234931946
29.325695,29.247,0.69716084,0.53982556,0.0001990672,0.02716812,3.0,900.0,67.93768310546875,0.11847785115242004
29.63789,29.844,0.69708884,0.54905903,0.00018600395,0.027244808,3.0,900.0,104.0770263671875,0.11077943444252014
30.257088,30.54,0.69695663,0.55882484,0.00017328052,0.027318217,3.0,900.0,176.41986083984375,0.09592488408088684
31.001595,31.172,0.6967761,0.5690679,0.00016086693,0.02738837,3.0,900.0,195.2740478515625,0.09278759360313416
31.652512,31.877,0.6965706,0.5796965,0.00014885313,0.02745529,3.0,900.0,168.400634765625,0.09909090399742126
32.33983,32.792,0.6963389,0.59060043,0.00013714918,0.027518986,3.0,900.0,181.90972900390625,0.09699806571006775
33.24338,33.861,0.6960789,0.6017246,0.00012589499,0.027579485,3.0,900.0,235.27728271484375,0.08701971173286438
34.299633,35.03,0.6958062,0.6129773,0.00011498063,0.02763678,3.0,900.0,271.840576171875,0.08090010285377502
35.41884,36.25,0.69552743,0.6242851,0.00010453602,0.027690938,3.0,900.0,295.5523681640625,0.07750952243804932
36.561882,37.478,0.6952393,0.63553786,9.4471216e-05,0.027741984,3.0,900.0,315.86163330078125,0.07483610510826111
37.7174,38.678,0.6949299,0.64662534,8.483619e-05,0.027789937,3.0,900.0,332.30914306640625,0.07287600636482239
38.879196,39.839,0.6945935,0.6575843,7.564094e-05,0.027834874,3.0,900.0,340.6043701171875,0.07234293222427368
40.049767,40.862,0.6942505,0.6682129,6.685548e-05,0.027876802,3.0,900.0,340.34661865234375,0.07326829433441162
41.165314,41.631,0.6939448,0.67856616,5.851978e-05,0.027915834,3.0,900.0,312.36981201171875,0.07918146252632141
42.143356,42.245,0.69368386,0.6885339,5.0613864e-05,0.027952004,3.0,900.0,242.6474609375,0.09334227442741394
43.013523,42.734,0.693443,0.69809777,4.310774e-05,0.027985381,3.0,900.0,163.2603759765625,0.11032667756080627
43.70956,43.143,0.69325596,0.7072211,3.600141e-05,0.028016057,3.0,900.0,73.93991088867188,0.13039004802703857
44.166233,43.491,0.6932039,0.7158855,2.9274883e-05,0.028044133,3.0,900.0,3.457244873046875,0.14689546823501587
44.345406,43.796,0.693361,0.7240543,2.296814e-05,0.028069694,3.0,900.0,-23.3033447265625,0.15338918566703796
44.35867,44.066,0.69360673,0.73176414,1.702121e-05,0.02809284,3.0,900.0,9.30584716796875,0.1458287537097931
44.455906,44.276,0.69365376,0.73901504,1.1474075e-05,0.02811369,3.0,900.0,73.3031005859375,0.13112309575080872
44.687973,44.402,0.6935381,0.7457887,6.1968e-06,0.028132305,3.0,900.0,100.76470947265625,0.12495756149291992
44.873592,44.44,0.69345176,0.75210345,1.3393084e-06,0.028148837,3.0,900.0,75.58740234375,0.13065946102142334
44.91445,44.35,0.6934081,0.7580143,-3.1983484e-06,0.028163383,3.0,900.0,39.635284423828125,0.13886776566505432
44.78603,44.081,0.693397,0.763503,-7.496129e-06,0.028176017,3.0,900.0,6.906890869140625,0.14635378122329712
44.467724,43.514,0.6934279,0.76856947,-1.14340955e-05,0.028186904,3.0,900.0,-29.260650634765625,0.1546141803264618
43.847202,42.671,0.6935075,0.7732872,-1.5112197e-05,0.028196119,3.0,900.0,-94.90408325195312,0.16987624764442444
42.92291,41.53,0.69360673,0.77767444,-1.8470462e-05,0.028203772,3.0,900.0,-155.84967041015625,0.18401089310646057
41.718006,40.209,0.6936839,0.7816946,-2.164882e-05,0.028209947,3.0,900.0,-217.17706298828125,0.19814041256904602
