Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, 30.79, 5272.79, True, False
2, 27.37, 2669.92, True, False
3, 99.96, 6201.61, False, False
4, 95.63, 3937.00, False, False
5, 93.47, 2982.05, False, False
6, 70.07, 2001.42, True, False
7, 59.47, 1559.84, True, False
8, 152.35, 3555.99, False, False
9, 93.75, 2026.14, False, False
10, 101.84, 2120.38, False, False
11, 51.53, 1048.20, True, False
12, 49.76, 992.18, True, False
13, 59.97, 1173.25, True, False
14, 65.63, 1260.01, True, False
15, 200.20, 3680.63, False, False
16, 77.54, 1422.28, True, False
17, 56.20, 1022.51, True, False
18, 50.63, 915.77, True, False
19, 49.21, 886.21, True, False
20, 48.45, 869.49, True, False
21, 48.36, 865.39, True, False
22, 63.17, 1128.95, True, False
