#{"t_start": 1777075979.8161602, "env_id": "None"}
r,l,t
-153.123527,3599,1290.426059
1108.175883,3599,2811.191565
1849.243711,3599,4355.692624
3420.894618,3599,5913.338602
3396.570748,3599,7452.949867
3352.399149,3599,9014.508798
3443.939262,3599,10565.388888
3454.226889,3599,12125.958494
3441.68279,3599,13497.1586
3464.184838,3599,14845.617839
3486.778011,3599,16194.305534
3447.987301,3599,17552.436927
3359.347855,3599,18917.138404
3395.951095,3599,20284.210384
3338.697881,3599,21643.106241
3443.092927,3599,23002.258309
3395.817518,3599,24369.837045
3292.620812,3599,25711.489083
3438.796097,3599,27090.292193
3332.013932,3599,28459.567572
3292.232582,3599,29847.066877
3124.569876,3599,31212.172328
3327.940078,3599,32583.923282
3430.882037,3599,33944.566629
3464.50212,3599,35304.464905
3430.419973,3599,36668.893187
3385.380575,3599,38031.621856
3492.949847,3599,39402.919645
3448.638053,3599,40773.816109
3409.018365,3599,42156.101019
3441.886503,3599,43533.868792
3344.71725,3599,44918.73504
3437.174462,3599,46297.735242
3466.920822,3599,47663.742121
3416.873661,3599,49052.648853
3308.157567,3599,50451.996976
3406.773063,3599,51840.766695
3408.907995,3599,53216.70361
2760.261446,3599,54599.794889
3423.920822,3599,55978.77168
3371.962784,3599,57370.974132
3462.631459,3599,58718.178613
3401.748539,3599,60069.017578
3384.415318,3599,61269.805771
3423.333021,3599,62784.977111
3360.252546,3599,64491.269051
3405.34114,3599,66216.322737
3460.432042,3599,67936.545089
3420.757785,3599,69671.603028
3450.593367,3599,71402.558985
3336.458989,3599,73147.292298
3412.153888,3599,74881.549048
3399.732934,3599,76615.64677
3462.29448,3599,78370.769823
3424.806721,3599,80104.080954
