Time_s,Car_Speed_kmph
159.0,69.3420374
159.5,69.76785
160.0,70.1474441
160.5,70.490804
161.0,70.835237
161.5,71.1783475
162.0,71.520062
162.5,71.8603352
163.0,72.185849
163.5,72.4737156
164.0,72.7503405
164.5,73.007539
165.0,73.1690279
165.5,73.2209585
166.0,73.1863825
166.5,73.0282039
167.0,72.7846978
167.5,72.5384734
168.0,72.2701466
168.5,71.9208641
169.0,71.4674325
169.5,70.8713404
170.0,70.1640637
170.5,69.4453225
171.0,68.7486015
171.5,68.1217036
172.0,67.5533052
172.5,66.9947455
173.0,66.422491
173.5,65.7956992
174.0,65.1238661
174.5,64.4480255
175.0,63.7573215
175.5,63.0040503
176.0,62.1986661
176.5,61.3893248
177.0,60.5830724
177.5,59.7796212
178.0,58.9789192
178.5,58.1809442
179.0,57.3983314
179.5,56.6633245
180.0,55.8975539
180.5,55.1202969
181.0,54.4827048
181.5,54.4065544
182.0,54.7326111
182.5,55.098755
183.0,55.4618195
183.5,55.8237386
184.0,56.211781
184.5,56.6962392
185.0,57.2775109
185.5,57.9282309
186.0,58.6132242
186.5,59.2530946
187.0,59.8267091
187.5,60.3123938
188.0,60.8176561
188.5,61.3709852
189.0,61.758348
189.5,61.8175388
190.0,61.6557194
190.5,61.4665997
191.0,61.2791531
191.5,61.0920719
192.0,60.8282311
192.5,60.3974164
193.0,59.9255167
193.5,59.5943073
194.0,59.4043044
194.5,59.3566346
195.0,59.4162623
195.5,59.4903973
196.0,59.5642788
196.5,59.6379092
197.0,59.711288
197.5,59.7844166
198.0,59.8572944
198.5,59.9299294
199.0,60.002552
199.5,60.0729837
200.0,60.1411328
200.5,60.2094348
201.0,60.2982305
201.5,60.4637042
202.0,60.6788035
202.5,60.7789586
203.0,60.7497347
203.5,60.7289375
204.0,60.7415608
204.5,60.7577685
205.0,60.8105714
205.5,61.0068232
206.0,61.2443689
206.5,61.1954358
207.0,60.8907695
207.5,60.5549623
208.0,60.2561867
208.5,60.08045
209.0,60.0432356
209.5,60.1131863
210.0,60.2374066
210.5,60.3971808
211.0,60.5865877
211.5,60.7132815
212.0,60.7753715
212.5,60.8280195
213.0,60.8803058
213.5,60.9321555
214.0,60.8532321
214.5,60.3069016
215.0,59.3716057
215.5,58.3862044
216.0,57.5145185
216.5,57.0412504
217.0,56.9055907
217.5,56.8355628
218.0,56.7944273
218.5,56.8006389
219.0,56.8446806
219.5,56.893245
220.0,56.9179628
220.5,56.8584123
221.0,56.7287238
221.5,56.5899871
222.0,56.5511608
222.5,56.8854237
223.0,57.4464422
223.5,57.7206707
224.0,57.8218002
224.5,58.2723704
225.0,59.0123125
225.5,59.6694055
226.0,60.2220249
226.5,60.7588954
227.0,61.2811428
227.5,61.7558938
228.0,62.1908185
228.5,62.6191795
229.0,63.0659744
229.5,63.480781
230.0,63.6729611
230.5,63.3031115
231.0,62.4839131
231.5,61.6321497
232.0,60.8036602
232.5,59.9805929
233.0,59.1603532
233.5,58.3427019
234.0,57.4994146
234.5,56.6395702
235.0,55.7471489
235.5,54.8340483
236.0,54.1198928
236.5,53.6489966
237.0,53.2093684
237.5,52.7822744
238.0,52.5031509
238.5,52.5735311
239.0,52.9288917
239.5,53.3184924
240.0,53.5808364
240.5,53.3707104
241.0,52.7200707
241.5,51.996882
242.0,51.0757531
242.5,49.3283995
243.0,46.8721652
243.5,44.3249446
244.0,41.7715743
244.5,39.1791122
245.0,36.552218
245.5,33.916388
246.0,31.2778714
246.5,28.6431504
247.0,26.0188594
247.5,23.4025116
248.0,20.7739992
248.5,18.1115108
249.0,15.6286908
249.5,13.8772078
250.0,12.7422789
250.5,11.7013473
251.0,10.66239635
251.5,9.6016705
252.0,8.52194585
252.5,7.4401074
253.0,6.37782648
253.5,5.38435815
254.0,4.44586046
254.5,3.50591737
255.0,2.55814343
255.5,1.60938534
256.0,0.643138661
256.5,-0.2286416765
257.0,-0.849111624
257.5,-1.27638236
258.0,-1.57415471
258.5,-2.02522482
259.0,-2.69190556
259.5,-3.4107931
260.0,-4.12716594
260.5,-4.84330097
261.0,-5.55940568
261.5,-6.27540028
262.0,-6.72180845
262.5,-6.20166411
263.0,-4.81488883
263.5,-2.9243687
264.0,-0.988313947
264.5,-0.347294451
265.0,-0.676012523
265.5,-0.511550508
266.0,-0.03486938378
266.5,-0.00716092927
267.0,-0.01080460875
267.5,-0.1675771678
268.0,-0.603748261
268.5,-1.044604669
269.0,-1.57663661
269.5,-2.16819053
270.0,-2.71273373
270.5,-3.22830383
271.0,-3.79572429
271.5,-4.5191682
272.0,-5.36767129
272.5,-6.2316629
273.0,-7.1028566
273.5,-7.94829386
274.0,-8.74226425
274.5,-9.5189544
275.0,-10.2953095
275.5,-11.0616897
276.0,-11.84550665
276.5,-12.7301767
277.0,-13.68825495
277.5,-14.6482008
278.0,-15.5921066
278.5,-16.5317468
279.0,-17.5067461
279.5,-18.4986143
280.0,-19.4857473
280.5,-20.4709131
281.0,-21.1918158
281.5,-20.9697846
282.0,-19.9608262
282.5,-18.8453055
283.0,-17.7309934
283.5,-16.617836
284.0,-15.51695875
284.5,-14.4576691
285.0,-13.4975955
285.5,-12.5137958
286.0,-11.3809202
286.5,-10.35784625
287.0,-9.3398149
287.5,-8.32248176
288.0,-7.30563685
288.5,-6.28971733
289.0,-5.53303052
289.5,-5.70362312
290.0,-6.64884057
290.5,-7.69976612
291.0,-8.7776369
291.5,-9.9530813
292.0,-11.18379285
292.5,-12.3312654
293.0,-13.3525136
293.5,-14.2878397
294.0,-15.2124785
294.5,-16.15278995
295.0,-16.9484637
295.5,-17.1399688
296.0,-17.1492332
296.5,-17.4091157
297.0,-18.2986727
297.5,-19.2795388
298.0,-20.2561894
298.5,-21.1082762
299.0,-21.7478654
299.5,-22.3018564
300.0,-22.9426927
300.5,-23.5689797
301.0,-24.1181927
301.5,-24.6575118
302.0,-25.1381343
302.5,-25.4035004
303.0,-25.5560797
303.5,-25.7306648
304.0,-25.8341489
304.5,-25.8911466
305.0,-25.9782445
305.5,-26.3716308
306.0,-27.1582113
306.5,-28.0457264
307.0,-28.8996112
