#{"t_start": 1778506958.5504808, "env_id": "None"}
r,l,t
2765.300022,3599,450.102252
-2100.16455,3599,915.543548
-107795.460488,3599,1371.681318
-20968.944306,3599,1832.077997
-213639.142607,3599,2261.933389
-271032.387735,3599,2729.297643
-125553.920902,3599,3293.673828
-85119.441338,3599,3752.421685
-11912.656555,3599,4176.638469
-12190.483572,3599,4635.247252
-25971.616355,3599,5093.655713
-2494.023629,3599,5549.476854
-34840.481445,3599,5972.236537
1531.278983,3599,6514.741246
-2664.650042,3599,6983.233188
-3864.069382,3599,7447.154282
-246.8104,3599,7854.467779
-10948.684785,3599,8270.166748
2140.352499,3599,8684.601377
2172.58031,3599,9124.784049
2421.821859,3599,9615.651661
-6066.177015,3599,10036.475731
2643.080703,3599,10460.259674
2205.634583,3599,10885.426491
2538.333801,3599,11270.105632
2790.933935,3599,11687.109104
2741.550037,3599,12101.099792
2535.641551,3599,12623.189188
2815.772084,3599,13014.008258
2739.551826,3599,13433.119766
2980.941497,3599,13866.699732
2811.97233,3599,14304.647753
2885.314572,3599,14687.952462
2912.341067,3599,15117.623298
3140.688781,3599,15644.255777
3115.974788,3599,16060.285365
3142.659228,3599,16486.539624
2754.833916,3599,16885.619288
2812.790331,3599,17321.735852
2349.455377,3599,17742.791751
3106.221465,3599,18164.081355
3097.583097,3599,18652.123648
3073.454755,3599,19064.255704
3098.175655,3599,19483.911917
2606.053233,3599,19906.723714
3132.557423,3599,20313.178234
2837.461216,3599,20723.686474
2964.750233,3599,21152.008795
3347.248425,3599,21665.787921
3275.118223,3599,22053.779705
3264.877227,3599,22467.623793
3396.467611,3599,22904.884328
3273.193133,3599,23323.631085
3148.051474,3599,23710.231562
3365.247444,3599,24136.627548
