controller,n,total_nox_g_mean,total_nox_g_std,nox_mg_per_km_mean,nox_mg_per_km_std,total_fuel_burned_g_mean,total_fuel_burned_g_std,rmse_speed_kmph_mean,rmse_speed_kmph_std,mae_speed_kmph_mean,mae_speed_kmph_std,delta_soc_mean,delta_soc_std,engine_off_pct_mean,engine_off_pct_std,total_distance_km_mean,total_distance_km_std
PPO,10,4.0077732563018795,0.31127924008047286,172.0147669315338,12.987356105774184,3059.9337689161302,51.76884914678606,0.8107922605837368,0.1808071960408452,0.6069281732220789,0.16044085640545136,-0.027348428964614868,0.005685114333420905,0.0,0.0,23.295873069763182,0.09923017200647472
SAC,10,4.038458395004272,0.9790708347025797,172.6607397198677,40.55254727198803,2223.4522630691527,284.7139658040846,1.638650085420292,0.678455223124242,1.3014221794883993,0.7291826427075333,0.00443841814994812,0.013197764143868916,13.041666666666666,24.038721371393024,23.34733467102051,0.6417080899596013
Rule-based,1,3.4047441260000006,,146.6904030805675,,1375.6483289735,,2.2853058100505144,,1.7340992826470072,,0.0025340899999999333,,15.96778672590947,,23.21040814190139,
