number,value,state,learning_rate,batch_size,tau,gamma,train_freq,gradient_steps,learning_starts,policy_delay,target_policy_noise,target_noise_clip,action_noise_sigma,net_arch
0,23.14396095275879,TrialState.COMPLETE,7.860660639463633e-05,512,0.0012510320498445554,0.976944962583745,8,4,10000,2,0.21718451949735645,0.6555996425113344,0.0842884303440543,deep
1,35.571388244628906,TrialState.COMPLETE,0.000587359935270501,256,0.013092655950448367,0.9937329416148406,8,1,10000,4,0.13190157401364416,0.44429515853702106,0.06717702697212911,small
2,3.2128567695617676,TrialState.COMPLETE,0.0004228431691165528,1024,0.013089425772397453,0.9676922250666244,1,8,20000,1,0.11219447373634098,0.5942589753034961,0.08784097586169519,deep
3,,TrialState.RUNNING,1.7352394029959193e-05,128,0.015476847256867526,0.991957935547156,1,4,1000,1,0.20750230357389332,0.6536705348832961,0.18347657401017065,large
4,13.008645057678223,TrialState.COMPLETE,2.046959966022385e-05,256,0.005001938204344992,0.9655344864653842,4,1,1000,1,0.18105137794672949,0.6259313203199506,0.20266378258261786,deep
5,,TrialState.RUNNING,0.00016651598878056958,256,0.014371861339541929,0.9662732930457503,1,8,5000,4,0.39634232500669475,0.6907715752285079,0.16868513864435175,large
6,278.35009765625,TrialState.COMPLETE,1.738596827765404e-05,1024,0.015548136993087828,0.9522365034953132,8,1,5000,2,0.23176614709794932,0.6880916276328157,0.05713972582097372,medium
7,,TrialState.RUNNING,9.522077948028299e-05,1024,0.005126184127974489,0.9586757872848399,1,8,1000,1,0.1253116817617776,0.6690570377454852,0.2353339276744852,small
8,,TrialState.RUNNING,1.3443379169561068e-05,128,0.003557585380483778,0.9833466666741923,1,4,20000,4,0.3871562196853596,0.4166165556862955,0.09557043596534305,small
9,176.77040100097656,TrialState.COMPLETE,7.7953065221918e-05,512,0.0015786860293367172,0.9516555085269419,8,4,5000,4,0.2692065929605004,0.36604465264940345,0.06954707015398416,medium
10,,TrialState.RUNNING,0.0006971711539566952,128,0.004010138916490777,0.9682676412443906,1,4,5000,2,0.29347988077332565,0.4256577102856268,0.06804053366583389,medium
11,,TrialState.RUNNING,0.000713866263863196,1024,0.01662511691493433,0.9563673515683598,1,8,5000,2,0.28738074002383573,0.32104265721738406,0.28641976497627636,small
