#{"t_start": 1778542191.7716563, "env_id": "None"}
r,l,t
415.480122,3599,967.265559
2052.979817,3599,1934.285979
2626.077071,3599,2895.453022
979.752145,3599,3859.848653
3329.46024,3599,4818.961542
3403.894084,3599,5801.245649
2102.488414,3599,6857.416794
2871.020392,3599,7815.465592
3411.662485,3599,8708.599634
3412.297414,3599,9605.400727
3282.239029,3599,10503.088425
3425.548776,3599,11410.440665
3458.93688,3599,12308.233208
3354.203756,3599,13292.641236
2682.146047,3599,14195.357799
3145.408164,3599,15099.546451
3324.490995,3599,16008.801543
2490.659195,3599,16911.395862
3363.751285,3599,17834.640588
3313.118733,3599,18763.141475
3422.204034,3599,19752.069077
3412.898258,3599,20654.914822
3507.951096,3599,21557.686932
3335.863501,3599,22466.197776
3468.266164,3599,23362.520554
3434.800772,3599,24267.665851
3425.756401,3599,25162.267818
3458.756204,3599,26140.109639
3414.425769,3599,27037.460493
3369.132712,3599,27937.618612
3472.374097,3599,28853.336082
3366.209644,3599,29745.920861
3298.167317,3599,30680.233932
3426.237737,3599,31578.202672
3360.148462,3599,32554.100685
3399.425605,3599,33449.184647
3315.535272,3599,34340.255535
3467.315535,3599,35232.436569
3355.543821,3599,36135.095387
3399.218397,3599,37040.732919
3401.054625,3599,37944.757358
3452.260943,3599,38929.745826
3457.400623,3599,39830.801043
3415.542752,3599,40739.813592
3309.69582,3599,41648.608784
3327.972805,3599,42559.760435
3485.283166,3599,43459.210396
3401.073889,3599,44361.655133
3431.721592,3599,45341.718991
3392.697174,3599,46247.202334
3335.846388,3599,47139.029771
3417.574327,3599,48044.789924
3467.553711,3599,48951.266149
3179.417298,3599,49850.970689
3385.377459,3599,50744.597004
