Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, -4.80, 5.78, True, True
2, -3.26, -1.58, True, True
3, -2.47, -0.72, True, True
4, -3.65, 0.88, True, True
5, -0.82, 0.95, True, True
6, -0.50, 0.86, True, True
7, -0.39, 0.84, True, True
8, -0.28, 0.70, True, True
9, -0.56, 1.68, True, True
10, -0.32, 1.08, True, True
11, -0.33, 1.17, True, True
12, -0.18, 0.67, True, True
13, -0.16, 0.58, True, True
14, -0.17, 0.62, True, True
15, -0.19, 0.71, True, True
16, -0.26, 0.94, True, True
17, -0.57, 2.03, True, True
18, -0.23, 0.80, True, True
19, -0.19, 0.66, True, True
20, -0.19, 0.62, True, True
21, -0.19, 0.60, True, True
22, -0.19, 0.61, True, True
23, -0.19, 0.61, True, True
Partial (0.99 km), -0.32, 0.98, True, True
