speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
0.108291626,-2.89e-10,0.75403005,41.606743,0.00013522804,10.234806,True,1237.6782,-10.966797,5.648595,-17.297985076904297,-10.999042510986328,2973.618408203125,0.35874438285827637
0.1083107,-1.97e-10,0.75406843,41.64293,0.00013491511,10.240859,True,1237.3962,-10.343658,5.664134,-17.312801361083984,-10.37286376953125,2972.9482421875,0.350094199180603
0.1084404,-1.34e-10,0.75410676,41.677048,0.00013452768,10.246592,True,1237.1075,-9.726349,5.679688,-17.326772689819336,-9.753390312194824,2972.264404296875,0.33452388644218445
0.10866547,-9.11e-11,0.7541454,41.70916,0.00013399124,10.251881,True,1236.815,-9.144653,5.695322,-17.339801788330078,-9.169332504272461,2971.579833984375,0.3129649758338928
0.10900116,-6.2e-11,0.7541839,41.739685,0.00013357401,10.256923,True,1236.5118,-8.562286,5.711192,-17.352474212646484,-8.584869384765625,2970.869384765625,0.2860828936100006
0.10937452,-4.22e-11,0.754222,41.768738,0.00013305247,10.261717,True,1236.2056,-7.9990845,5.727154,-17.364126205444336,-8.020041465759277,2970.163330078125,0.2550753355026245
0.109874725,-2.87e-11,0.7542603,41.796722,0.00013253093,10.266447,True,1235.9039,-7.4368896,5.7428417,-17.375282287597656,-7.45574951171875,2969.469482421875,0.22067423164844513
0.11041641,-1.96e-11,0.7542987,41.82379,0.00013199449,10.270697,True,1235.5928,-6.9198303,5.758965,-17.38652801513672,-6.936408519744873,2968.7607421875,0.18407732248306274
0.11102247,-1.33e-11,0.75433683,41.849396,0.00013147295,10.274901,True,1235.275,-6.3804016,5.7751446,-17.396940231323242,-6.395263671875,2968.025146484375,0.14541767537593842
0.111709595,-9.06e-12,0.7543751,41.874237,0.0001308471,10.278993,True,1234.9619,-5.864868,5.791256,-17.406641006469727,-5.878242015838623,2967.31884765625,0.10662495344877243
0.11241531,-6.17e-12,0.75441325,41.898483,0.00013035536,10.28285,True,1234.642,-5.3632507,5.8076143,-17.41672706604004,-5.3739728927612305,2966.583740234375,0.06696721166372299
0.1131897,-4.2e-12,0.75445116,41.92196,0.00012986362,10.286715,True,1234.3226,-4.85614,5.823931,-17.425933837890625,-4.865556716918945,2965.849609375,0.027974866330623627
0.11401701,-2.86e-12,0.7544893,41.94095,0.00012944639,10.288734,True,1233.9653,-4.356018,5.8398666,-17.434812545776367,-4.363743305206299,2965.0224609375,-0.010618237778544426
0.11488724,-1.94e-12,0.7545271,41.951202,0.00012888014,10.290067,True,1233.5887,-3.8564453,5.855912,-17.438766479492188,-3.862293243408203,2964.1298828125,-0.04841286316514015
0.1157608,-1.32e-12,0.75456506,41.958946,0.00012847781,10.2915,True,1233.2203,-3.362854,5.871782,-17.44106674194336,-3.367202043533325,2963.271240234375,-0.08481015264987946
0.11671829,-9.01e-13,0.754603,41.96743,0.00012797117,10.292889,True,1232.8452,-2.8610535,5.887887,-17.444589614868164,-2.863997459411621,2962.398193359375,-0.12047550827264786
0.11767578,-6.13e-13,0.7546407,41.97534,0.00012736022,10.294112,True,1232.4697,-2.3868408,5.904153,-17.447351455688477,-2.38795804977417,2961.519287109375,-0.15540891885757446
0.11864138,-4.17e-13,0.7546784,41.98378,0.00012692809,10.295576,True,1232.101,-1.9009705,5.9203057,-17.450334548950195,-1.9005825519561768,2960.651123046875,-0.1904088705778122
0.11964798,-2.84e-13,0.75471604,41.993034,0.00012636185,10.296902,True,1231.7277,-1.4253845,5.936676,-17.454029083251953,-1.4238704442977905,2959.783203125,-0.22441072762012482
0.120643616,-1.93e-13,0.7547537,42.000916,0.00012585521,10.297902,True,1231.3423,-0.9344177,5.953103,-17.457334518432617,-0.9314785003662109,2958.875,-0.2580133378505707
0.12173462,-1.32e-13,0.75479126,42.002495,0.00012560189,10.29652,True,1230.8682,-0.3617859,5.97004,-17.460378646850586,-0.35911208391189575,2957.752197265625,-0.2898193895816803
0.12290192,-8.96e-14,0.75482893,41.992844,0.00012505054,10.295133,True,1230.3981,0.1968689,5.986962,-17.454486846923828,0.20111483335494995,2956.629638671875,-0.32002848386764526
0.12407303,-6.1e-14,0.7548661,41.983734,0.0001245588,10.2937355,True,1229.9261,0.7489929,6.004113,-17.450668334960938,0.7558347582817078,2955.512451171875,-0.3491063714027405
0.12528229,-4.15e-14,0.75490344,41.974915,0.00012414157,10.292595,True,1229.4635,1.3001404,6.02116,-17.4461612701416,1.3079136610031128,2954.41357421875,-0.3779181241989136
0.12645721,-2.83e-14,0.7549409,41.967697,0.00012362003,10.291299,True,1228.992,1.8443298,6.038627,-17.44330406188965,1.853594183921814,2953.300537109375,-0.4065302610397339
0.1276555,-1.92e-14,0.75497806,41.960403,0.0001231581,10.290178,True,1228.5244,2.3991394,6.056017,-17.43960189819336,2.4097273349761963,2952.191162109375,-0.4350758492946625
0.13028336,0.0061409,0.7550148,42.00154,0.00012165308,10.306718,True,1228.3474,4.7948303,6.0588717,-17.446813583374023,4.775783061981201,2951.861572265625,-0.44771841168403625
0.21493196,0.34763,0.75502217,44.476532,8.352101e-05,11.158889,True,1238.2163,108.88599,5.341715,-18.197681427001953,105.6172866821289,2982.707275390625,-0.27205324172973633
0.37125397,0.87213,0.7550218,49.74539,0.00013677776,11.977736,True,1253.8226,176.94006,4.6396313,-20.205841064453125,175.1563262939453,3041.55419921875,1.4933816194534302
0.60915375,1.4183,0.7550132,56.93138,0.00023211539,13.8249,True,1303.1584,231.2873,3.6945581,-22.16071128845215,232.5184783935547,3135.79736328125,5.264659881591797
1.0051155,2.136,0.75499725,71.512405,0.00056800246,17.059738,True,1377.0905,289.87994,2.66228,-27.761554718017578,290.3069763183594,3323.017822265625,12.612188339233398
1.7371631,3.2401,0.754982,94.172424,0.0008368194,23.406069,True,1491.1014,353.4414,1.566881,-36.3354377746582,352.9932861328125,3605.41064453125,27.04620933532715
3.0206757,4.6914,0.75500804,125.123505,0.000831604,30.722193,True,1600.8884,385.9768,0.9265542,-49.98031997680664,385.7440185546875,3852.718505859375,54.323150634765625
4.990635,6.5278,0.7551055,151.24594,0.0009917319,35.10882,True,1659.9661,397.03687,0.6872773,-62.850303649902344,395.1034240722656,3919.99365234375,95.15278625488281
7.574936,8.6601,0.7552726,166.00298,0.0018393844,34.4392,True,1654.179,397.6983,0.66340566,-70.66800689697266,394.6225280761719,3808.799560546875,146.2162628173828
10.493519,10.946,0.7554729,161.28145,0.002520144,28.477211,True,1590.1534,384.70465,0.79874396,-69.93690490722656,382.5185546875,3544.542724609375,201.1685791015625
13.298992,13.127,0.7556491,124.309296,0.0015029758,20.568777,True,1487.2474,348.71008,1.1537701,-54.9371337890625,348.9937438964844,3171.13232421875,254.67771911621094
15.804331,15.17,0.7557062,90.54108,0.00033077598,16.942085,True,1424.7002,318.12146,1.4724076,-38.022300720214844,317.9090576171875,2963.92236328125,303.1484680175781
17.990055,17.109,0.75564337,80.10182,0.00047712028,15.245683,True,1386.2179,291.40576,1.771152,-33.53742218017578,291.548828125,2859.588623046875,344.8090515136719
19.838953,18.966,0.7555114,70.385025,3.376603e-05,14.59915,True,1361.6995,267.2218,2.0690203,-29.952531814575195,267.2160949707031,2738.5478515625,380.56329345703125
21.636293,20.753,0.7553005,71.69394,0.0,16.59694,True,1390.3958,295.95886,1.9124866,-28.655248641967773,292.75640869140625,2778.990966796875,407.44207763671875
23.282042,22.461,0.7550937,84.91289,0.0,17.618835,True,1404.0449,290.39203,1.9383371,-35.630374908447266,290.6615295410156,2812.107421875,433.55377197265625
24.884493,24.096,0.7548651,88.02495,0.0,19.861626,True,1434.5247,305.3225,1.8173724,-36.33807373046875,304.4463195800781,2811.389892578125,460.1470031738281
26.486164,25.667,0.7546251,104.250626,0.0,21.784239,True,1461.429,312.24988,1.7102093,-42.94444274902344,312.09539794921875,2869.3271484375,486.6617126464844
28.058304,27.181,0.754388,109.28154,0.0,22.818802,True,1478.4806,309.0603,1.6576529,-45.90335464477539,309.72222900390625,2844.66748046875,515.7357788085938
29.612709,28.645,0.7541487,110.88612,0.0,21.17233,True,1464.1355,302.43384,1.6201824,-46.96470260620117,302.1551513671875,2761.814697265625,544.48388671875
31.135723,30.064,0.75390124,99.16087,0.0,19.796688,True,1451.888,296.74115,1.5788376,-41.7381477355957,293.98028564453125,2665.7158203125,572.589111328125
32.670288,31.438,0.7536365,97.14142,0.0,19.057226,True,1447.5974,295.2384,1.5051603,-40.2916259765625,290.40478515625,2638.187255859375,598.9891967773438
34.05483,32.768,0.7533945,90.13631,0.0,17.20812,True,1429.6514,266.75482,1.6183227,-38.287540435791016,264.18731689453125,2546.759765625,626.5076904296875
35.409462,34.058,0.7531363,81.0155,0.0,16.55384,True,1420.7888,266.40802,1.6441047,-33.774566650390625,260.6063232421875,2481.4873046875,650.1351928710938
36.67795,35.309,0.7528832,79.07327,0.0,15.733413,True,1411.5143,255.2351,1.7105132,-33.07365798950195,250.20916748046875,2447.595947265625,672.4126586914062
37.885162,36.526,0.7526283,73.00261,0.0,15.096253,True,1402.2139,251.96082,1.7572403,-30.82914924621582,245.80389404296875,2384.981201171875,693.9463500976562
39.072502,37.71,0.7523632,71.20328,0.0,14.827298,True,1398.0549,255.8847,1.7554522,-29.644371032714844,246.8046112060547,2355.31396484375,714.14111328125
40.238567,38.865,0.75209236,69.91409,0.0,14.890535,True,1400.1211,258.83795,1.7383963,-29.199050903320312,247.30007934570312,2334.2646484375,734.5161743164062
41.38226,39.991,0.75181913,70.701706,0.0,14.879167,True,1401.4519,258.92926,1.7344028,-29.535018920898438,245.91758728027344,2312.820068359375,755.108154296875
