Kilometer, NOx (mg/km), CO (mg/km), NOx_Pass (<=80 mg/km), CO_Pass (<=500 mg/km)
1, 84.95, 5957.06, False, False
2, 23.50, 2613.38, True, False
3, 181.02, 7298.22, False, False
4, 128.54, 4251.74, False, False
5, 81.03, 2874.53, False, False
6, 64.88, 1981.98, True, False
7, 55.62, 1540.63, True, False
8, 194.12, 3975.82, False, False
9, 87.12, 1980.39, False, False
10, 96.86, 2079.79, False, False
11, 50.45, 1043.06, True, False
12, 49.44, 1000.06, True, False
13, 59.71, 1182.57, True, False
14, 64.80, 1256.78, True, False
15, 207.62, 3731.39, False, False
16, 76.82, 1416.45, True, False
17, 56.41, 1028.99, True, False
18, 50.85, 921.89, True, False
19, 48.75, 879.55, True, False
20, 48.02, 862.89, True, False
21, 47.96, 858.90, True, False
22, 58.53, 1045.90, True, False
Partial (0.15 km), 226.43, 4027.60, False, False
