speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,T_gas_eo_K,T_Sub_DPF_K,T_gas_tp_K
0.0,0.0,0.7,0.0,0.0,0.0,False,0.0,0.0,0.0,298.0,298.0,298.0
0.7817499,0.0,0.6999981,-2.091657,-2.7066024e-05,0.0,False,0.0,371.23046875,11.892091751098633,294.80203,298.69354,296.38446
2.0296936,0.0,0.6990377,-5.4526563,5.5591292e-05,0.0,False,0.0,365.037841796875,12.279552459716797,298.87827,303.49564,296.2231
1.9731263,0.0,0.69894,0.4613319,6.876449e-06,0.0,False,0.0,343.6600341796875,15.708494186401367,299.31647,299.5225,294.96588
1.7360822,0.0,0.69746095,0.23829691,0.00046146172,0.0,False,0.0,337.07257080078125,20.5351619720459,299.74277,300.56714,297.21716
1.2208263,0.0,0.69658864,-0.29370117,0.0003323284,0.0,False,0.0,343.64910888671875,21.050655364990234,299.76215,300.3076,297.88477
0.7500953,0.0,0.69662046,-0.2077547,0.00029763632,0.0,False,0.0,351.4007568359375,17.902935028076172,299.4006,299.95154,298.27057
0.36038724,0.0,0.69688684,-0.044342563,0.00031159908,0.0,False,0.0,358.45733642578125,15.99465560913086,298.8538,299.66907,298.56067
0.06772854,0.0,0.69717944,0.0042111445,0.00017185126,0.0,False,0.0,364.64447021484375,14.6763916015625,298.22137,299.36185,298.609
-0.119074136,0.0,0.69743395,0.058914375,9.6350246e-05,0.0,False,0.0,366.8936767578125,13.118875503540039,297.8308,299.20477,298.701
-0.20203018,0.0,0.69763505,0.037492003,1.9569894e-05,0.0,False,0.0,368.232177734375,12.226713180541992,297.56927,299.0945,298.70496
-0.2014343,0.0,0.6977859,0.027762905,-1.0694477e-05,0.0,False,0.0,368.2337646484375,11.639976501464844,297.45297,299.04874,298.75955
-0.14574687,0.0,0.69789743,0.010746162,-3.8100326e-05,0.0,False,0.0,367.65191650390625,11.527127265930176,297.39474,299.0115,298.81067
-0.06462698,0.0,0.6979802,0.007937573,-5.0134113e-05,0.0,False,0.0,366.30938720703125,11.611804008483887,297.38965,298.98682,298.8828
0.01752186,0.0,0.6980428,0.0029078126,-6.104848e-05,0.0,False,0.0,364.80035400390625,11.850982666015625,297.4037,298.95886,298.94067
0.08484635,0.0,0.69808966,-0.00037805238,-6.698541e-05,0.0,False,0.0,363.35198974609375,12.092220306396484,297.43158,298.9314,298.98816
0.13108279,0.0,0.6981234,-0.0058667324,-7.196284e-05,0.0,False,0.0,362.25640869140625,12.296661376953125,297.461,298.90195,299.01828
0.15753725,0.0,0.69814557,-0.011171844,-7.480137e-05,0.0,False,0.0,361.55169677734375,12.42520809173584,297.4902,298.873,299.0374
0.16964202,0.0,0.6981582,-0.016715594,-7.676036e-05,0.0,False,0.0,361.21405029296875,12.4895601272583,297.5157,298.84427,299.0476
0.17374045,0.0,0.6981634,-0.02143329,-7.759993e-05,0.0,False,0.0,361.12890625,12.50479793548584,297.53754,298.8169,299.05338
0.1749149,0.0,0.6981632,-0.025563568,-7.7819815e-05,0.0,False,0.0,361.1875,12.495869636535645,297.55533,298.7909,299.057
0.17638728,0.0,0.69815975,-0.028794361,-7.751997e-05,0.0,False,0.0,361.2972412109375,12.47917366027832,297.5698,298.76675,299.0604
0.17962654,0.0,0.6981545,-0.031345956,-7.682033e-05,0.0,False,0.0,361.4002685546875,12.46665096282959,297.58127,298.74435,299.06433
0.1847747,0.0038231015,0.69814867,-0.03331013,-7.582085e-05,0.0,False,0.0,361.4715576171875,12.462973594665527,297.59033,298.72397,299.06964
0.191565,0.28411,0.69814277,-0.034852102,-7.4561496e-05,0.0,False,0.0,361.56610107421875,12.452069282531738,297.59753,298.70566,299.0762
0.21848372,0.88803995,0.6981263,-0.036045294,-7.314223e-05,0.0,False,0.0,366.00634765625,11.263203620910645,297.60312,298.68927,299.0841
0.30270776,1.85,0.6980915,-0.03703656,-7.154306e-05,0.0,False,0.0,375.23211669921875,8.756819725036621,297.60754,298.67468,299.09296
0.5206523,3.2641,0.6980309,-0.0378259,-6.980395e-05,0.0,False,0.0,389.17010498046875,4.915198802947998,297.6112,298.66187,299.10294
1.0666101,5.0431004,0.6979347,-0.038505103,-6.800488e-05,0.0,False,0.0,408.04180908203125,0.0,297.614,298.65063,299.11383
2.1148252,7.0873,0.69784546,-0.039074164,-6.6165834e-05,0.0,False,0.0,421.0,0.0,297.61642,298.641,299.12518
