speed_actual,speed_target,soc,ice_torque,nox,fuel,fuel_tot_gps,co2_tp_gps,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
1.5332069,50.0,0.70003617,2.7832756,0.0015375763,25.994932174682617,0.6447084,0.009327769,True,1767.443359375,421.0,4.064563,6.8693013191223145,9.958076477050781,503.6862487792969,-5.735173225402832
2.5804706,50.0,0.69946694,59.761246,0.01290895,69.99998474121094,2.8862996,1.692772e-05,True,3999.861083984375,421.0,0.0,3.6165850162506104,1.8187165260314941,1133.5655517578125,-60.52926254272461
3.0346413,50.0,0.69932926,128.82976,0.02612555,70.0,4.5863643,-0.01463449,True,3997.564208984375,421.0,0.0,-10.01218032836914,39.12911605834961,2926.459716796875,-34.54605484008789
4.44067,50.0,0.6980543,214.64453,0.049060166,70.0,5.7870893,-0.013742983,True,3990.684326171875,421.0,0.0,-44.085777282714844,141.7576446533203,5455.10302734375,-38.8799934387207
6.626362,50.0,0.6972156,250.96173,0.06954551,70.0,6.8403854,-0.013908625,True,3953.915771484375,421.0,0.0,-78.89134216308594,287.526123046875,7557.8251953125,-5.019604206085205
10.077923,50.0,0.6970834,276.118,0.08410737,70.0,7.703292,-0.008985579,True,3966.759765625,421.0,0.0,-100.61006164550781,405.92462158203125,8565.447265625,116.58360290527344
13.965202,50.0,0.6972369,298.74768,0.08971268,70.0,8.226831,-0.0026928186,True,3978.9638671875,421.0,0.0,-120.65734100341797,407.65655517578125,8604.6435546875,236.58827209472656
17.749424,50.0,0.6975843,300.0,0.08808504,70.0,8.586742,0.001161933,True,3980.086181640625,421.0,0.0,-131.01150512695312,411.7161865234375,8757.3408203125,304.3612976074219
21.525328,50.0,0.69807655,300.0,0.08188435,70.0,8.81266,-0.000895977,True,3985.923828125,421.0,0.0,-132.8175506591797,406.1022033691406,8856.876953125,343.81549072265625
25.119661,50.0,0.69860685,300.0,0.07385627,69.9998550415039,8.914373,-0.0059309006,True,3991.207275390625,421.0,0.0,-132.83216857910156,406.7735900878906,8943.7353515625,373.09765625
28.595673,50.0,0.69911665,300.0,0.066078864,69.9936294555664,8.945747,-0.011823773,True,3991.33154296875,421.0,0.0,-133.8463897705078,413.903564453125,8915.7451171875,423.6086730957031
31.96106,50.0,0.6996061,300.0,0.059707887,69.99280548095703,8.936447,-0.016408205,True,3979.514404296875,421.0,0.0,-135.3304901123047,415.9910888671875,8825.0859375,485.7380676269531
35.213017,50.0,0.7000876,300.0,0.055093747,69.9762954711914,8.838947,-0.016293705,True,3918.912841796875,421.0,0.0,-139.9059295654297,413.3689880371094,8629.0849609375,546.9210205078125
38.40173,50.0,0.7005453,300.0,0.052259833,69.93550109863281,8.52134,-0.008283675,True,3724.259765625,421.0,0.0,-150.6141357421875,410.6518859863281,8138.4248046875,606.3087768554688
41.57825,50.0,0.70096415,300.0,0.05010743,69.7841796875,7.7770805,-0.005456269,True,3291.51318359375,421.0,0.0,-170.97959899902344,409.8411560058594,7108.55908203125,667.9191284179688
44.73847,50.0,0.7013354,300.0,0.047235638,69.40078735351562,6.4502974,-0.013018727,True,2614.978759765625,421.0,0.0,-191.77418518066406,408.9560852050781,5473.8525390625,735.2989501953125
47.788364,50.0,0.70164335,300.0,0.044218414,68.75723266601562,4.638332,0.002603948,True,1862.52197265625,420.99285888671875,0.0,-192.50611877441406,397.1416320800781,3523.64599609375,801.213623046875
50.78049,50.0,0.70184493,300.0,0.047416836,67.69466400146484,4.2325478,0.01045692,True,1807.747802734375,404.29345703125,0.0,-153.83160400390625,331.9851379394531,3098.607666015625,854.746337890625
52.409927,50.0,0.7023804,297.0238,0.05626918,38.42819595336914,2.6305182,-0.007548034,True,1869.497314453125,-381.15576171875,0.051021576,-122.71173858642578,-368.25628662109375,3564.6025390625,982.7271118164062
51.12352,50.0,0.70282364,78.1165,0.052236732,11.505212783813477,0.9589293,0.038438857,True,2112.88330078125,-418.588623046875,9.274525,-15.376620292663574,-389.8743896484375,3742.971923828125,855.682861328125
49.419827,50.0,0.70294285,135.17294,0.022691533,28.90938377380371,1.7472186,-0.0025733113,True,1822.763427734375,-287.167724609375,0.01000464,-64.83904266357422,-310.28082275390625,2978.480712890625,848.9730224609375
49.22955,50.0,0.70301795,208.94305,0.017609492,56.207427978515625,2.8898702,0.012440771,True,2079.151123046875,155.65631103515625,9.536743e-05,-75.75139617919922,129.1430206298828,4060.151611328125,783.1057739257812
49.597275,50.0,0.7031051,252.44891,0.026419356,61.57053756713867,3.2565398,-0.002361834,True,2030.055419921875,142.20587158203125,3.874302e-05,-113.63502502441406,155.618896484375,3854.451904296875,826.608154296875
49.427723,50.0,0.70325613,276.08133,0.042525277,58.09804153442383,3.9322174,-0.011819124,True,2129.293701171875,-82.79220581054688,0.00026524067,-107.53712463378906,-88.86564636230469,4018.027587890625,872.1519775390625
49.56697,50.0,0.7034936,300.0,0.064712584,62.13034439086914,4.6754403,-0.00789994,True,2240.46435546875,-17.479278564453125,0.0002592802,-129.14051818847656,-11.80713176727295,4148.03173828125,870.1835327148438
49.5171,50.0,0.7039001,300.0,0.08531432,61.17409896850586,4.5192513,0.0006123781,True,2195.971435546875,-131.10028076171875,0.00081956387,-139.9794158935547,-142.97607421875,4059.620849609375,898.6311645507812
49.51497,50.0,0.70427614,300.0,0.10428456,60.574771881103516,4.5285406,0.006008029,True,2239.88671875,-150.11862182617188,0.0012725592,-132.76698303222656,-148.94534301757812,4114.39794921875,888.11181640625
49.54698,50.0,0.70464265,300.0,0.11782595,60.63204574584961,4.531255,0.00899297,True,2245.819091796875,-168.56689453125,0.0011444092,-137.0817108154297,-171.10791015625,4144.009765625,892.5543823242188
49.526413,50.0,0.70505023,300.0,0.12950452,59.55271911621094,4.51667,0.0084472895,True,2267.123291015625,-202.03665161132812,0.0012457371,-134.92347717285156,-202.89173889160156,4168.30322265625,893.284912109375
49.55871,50.0,0.7054752,300.0,0.14060383,59.10402297973633,4.5182767,0.008430481,True,2285.38818359375,-206.87062072753906,0.0010699034,-135.00759887695312,-207.6759490966797,4221.251953125,888.998291015625
49.521896,50.0,0.70590603,300.0,0.15042989,57.434959411621094,4.406415,0.006030917,True,2290.223388671875,-234.53538513183594,0.0012606382,-133.4109344482422,-235.5648956298828,4230.9677734375,889.2603759765625
49.403755,50.0,0.7063128,300.0,0.15760592,56.99020767211914,4.380025,0.005845487,True,2298.961669921875,-229.83718872070312,0.0009924173,-131.2437744140625,-230.14532470703125,4263.76171875,880.1685791015625
49.26715,50.0,0.7066928,300.0,0.16216195,57.629364013671875,4.4221816,0.007079482,True,2299.59716796875,-201.6542510986328,0.00064074993,-132.56202697753906,-201.4537353515625,4274.3896484375,873.09326171875
49.192066,50.0,0.70705855,300.0,0.16643903,58.56446075439453,4.484511,0.010411382,True,2293.803955078125,-166.02194213867188,0.00042021275,-134.6101531982422,-165.5147705078125,4262.04736328125,870.1123657226562
49.161327,50.0,0.7074132,300.0,0.17139272,58.64916229248047,4.476252,0.0140948,True,2283.43310546875,-153.43408203125,0.00036358833,-136.02438354492188,-153.47569274902344,4234.03076171875,873.4320068359375
49.144722,50.0,0.7077622,300.0,0.17573275,58.436866760253906,4.448389,0.017671704,True,2278.1669921875,-152.099853515625,0.0003427267,-135.6446990966797,-152.57861328125,4212.984375,877.1743774414062
49.13475,50.0,0.7081104,300.0,0.17838807,58.38225173950195,4.435215,0.020573199,True,2277.230712890625,-152.78109741210938,0.00033080578,-135.34959411621094,-153.55296325683594,4205.048828125,880.8802490234375
49.133327,50.0,0.70846254,300.0,0.17970942,58.394229888916016,4.4349074,0.023015559,True,2278.36181640625,-153.38998413085938,0.00032186508,-135.2557373046875,-154.06716918945312,4203.86865234375,883.9027099609375
49.13886,50.0,0.70881903,300.0,0.18059883,58.37138748168945,4.4341545,0.025588602,True,2278.99267578125,-154.88064575195312,0.0003248453,-135.33157348632812,-155.46900939941406,4202.1474609375,886.6661987304688
