ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,50.0,298.0,1.0,2500.0,0.0,NaN,0.0
2933.0188,36.938046,298.0,1.0,2933.0188,0.0,NaN,0.0
3521.551,19.412846,298.0,1.0,3521.551,0.0,NaN,8.2197695
3631.1626,16.916096,298.0,1.0,3631.1626,0.0,NaN,7.1660786
3871.4685,15.47471,298.0,1.0,3871.4685,0.0,NaN,14.5107155
4006.6633,17.709146,298.0,1.0,4006.6633,0.0,NaN,3.784761
4248.727,10.253372,298.0,1.0,4248.727,0.0,NaN,11.313611
3927.0088,8.238994,298.0,1.0,3927.0088,0.0,NaN,9.716267
3541.6877,12.96378,298.0,1.0,3541.6877,0.0,NaN,4.345751
4081.2175,6.4791408,298.0,1.0,4081.2175,0.0,NaN,9.259746
4219.3745,8.27209,298.0,1.0,4219.3745,0.0,NaN,7.3875785
4203.2847,13.657667,298.0,1.0,4203.2847,0.0,NaN,14.783775
4102.129,15.529601,298.0,1.0,4102.129,0.0,NaN,11.640686
4128.7124,12.487744,298.0,1.0,4128.7124,0.0,NaN,2.5706143
4059.2454,10.522671,298.0,1.0,4059.2454,0.0,NaN,1.706031
4384.9663,16.17268,298.0,1.0,4384.9663,0.0,NaN,0.0
4500.0,7.735887,298.0,1.0,4500.0,0.0,NaN,7.805091
4500.0,5.625117,298.0,1.0,4500.0,0.0,NaN,15.218392
3909.61,3.0,298.0,1.0,3909.61,0.0,NaN,4.931402
4212.28,3.0,298.0,1.0,4212.28,0.0,NaN,6.8167505
4243.112,6.893284,298.0,1.0,4243.112,0.0,NaN,0.0
3960.4958,13.664146,298.0,1.0,3960.4958,0.0,NaN,18.658966
4141.0195,20.603912,298.0,1.0,4141.0195,0.0,NaN,7.859883
3794.7976,9.824627,298.0,1.0,3794.7976,0.0,NaN,3.0169754
4136.9565,13.907134,298.0,1.0,4136.9565,0.0,NaN,9.207919
4197.917,13.035806,298.0,1.0,4197.917,0.0,NaN,12.876404
4022.1003,10.372004,298.0,1.0,4022.1003,0.0,NaN,7.0058494
4281.59,7.8649654,298.0,1.0,4281.59,0.0,NaN,2.7348042
4167.7393,14.944614,298.0,1.0,4167.7393,0.0,NaN,0.0
4047.1318,11.476551,298.0,1.0,4047.1318,0.0,NaN,0.83656013
4186.0283,7.93832,298.0,1.0,4186.0283,0.0,NaN,11.778146
4444.067,8.970641,298.0,1.0,4444.067,0.0,NaN,4.787621
4416.5024,13.122,298.0,1.0,4416.5024,0.0,NaN,0.892818
4484.511,7.8685093,298.0,1.0,4484.511,0.0,NaN,11.0196295
4500.0,3.0,298.0,1.0,4500.0,0.0,NaN,6.9977136
4015.7039,7.705716,298.0,1.0,4015.7039,0.0,NaN,5.2426996
4220.4614,8.284738,298.0,1.0,4220.4614,0.0,NaN,0.40831566
4323.23,12.120479,298.0,1.0,4323.23,0.0,NaN,9.395629
3842.4673,17.087057,298.0,1.0,3842.4673,0.0,NaN,16.12775
4282.734,13.0737095,298.0,1.0,4282.734,0.0,NaN,2.2518754
4482.1655,10.891947,298.0,1.0,4482.1655,0.0,NaN,3.3072205
