ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
3909.498,9.778043,298.0,1.0,3909.498,0.0,NaN,11.540493
3962.8074,10.690588,298.0,1.0,3962.8074,0.0,NaN,4.441577
4241.0996,10.267218,298.0,1.0,4241.0996,0.0,NaN,4.5179725
4326.6343,6.433685,298.0,1.0,4326.6343,0.0,NaN,11.565381
4323.2065,13.519918,298.0,1.0,4323.2065,0.0,NaN,2.7978272
4337.096,10.365085,298.0,1.0,4337.096,0.0,NaN,15.446314
4312.0615,13.303295,298.0,1.0,4312.0615,0.0,NaN,14.920473
4366.711,11.737753,298.0,1.0,4366.711,0.0,NaN,10.725591
4082.672,12.996004,298.0,1.0,4082.672,0.0,NaN,7.4594407
3795.2163,9.292496,298.0,1.0,3795.2163,0.0,NaN,20.24159
4112.4893,9.415266,298.0,1.0,4112.4893,0.0,NaN,16.228195
4090.05,10.552241,298.0,1.0,4090.05,0.0,NaN,14.609352
4206.982,9.4383745,298.0,1.0,4206.982,0.0,NaN,4.797679
3807.4678,11.617088,298.0,1.0,3807.4678,0.0,NaN,9.748837
4257.524,12.967335,298.0,1.0,4257.524,0.0,NaN,9.58111
4193.9785,12.930377,298.0,1.0,4193.9785,0.0,NaN,8.159497
4312.2173,11.800996,298.0,1.0,4312.2173,0.0,NaN,0.0
4500.0,17.778822,298.0,1.0,4500.0,0.0,NaN,7.155213
4157.9062,13.144,298.0,1.0,4157.9062,0.0,NaN,7.5396957
4307.5454,3.1289625,298.0,1.0,4307.5454,0.0,NaN,6.415242
3846.8208,8.993158,298.0,1.0,3846.8208,0.0,NaN,0.0
4172.67,9.254372,298.0,1.0,4172.67,0.0,NaN,11.822671
4115.84,4.2206745,298.0,1.0,4115.84,0.0,NaN,7.684022
4360.5527,10.831056,298.0,1.0,4360.5527,0.0,NaN,0.0
4128.063,9.941509,298.0,1.0,4128.063,0.0,NaN,2.0891876
4269.412,12.283012,298.0,1.0,4269.412,0.0,NaN,7.085946
4500.0,13.635669,298.0,1.0,4500.0,0.0,NaN,8.913216
4296.936,9.125727,298.0,1.0,4296.936,0.0,NaN,15.689501
4204.0156,11.957795,298.0,1.0,4204.0156,0.0,NaN,15.139094
4097.418,16.596895,298.0,1.0,4097.418,0.0,NaN,8.42624
4117.0317,16.607698,298.0,1.0,4117.0317,0.0,NaN,4.523906
