ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,50.0,298.0,1.0,2500.0,0.0,NaN,0.0
1537.377,44.25867,298.0,1.0,1537.377,0.0,NaN,11.638334
752.6716,3.0,298.0,1.0,752.6716,0.0,NaN,7.673663
486.3416,3.0,298.0,1.0,486.3416,0.0,NaN,6.993005
121.377335,3.0,298.0,1.0,121.377335,0.0,NaN,8.5807
258.90332,3.0,298.0,1.0,258.90332,0.0,NaN,18.696468
293.42804,3.0,298.0,1.0,293.42804,0.0,NaN,14.631656
259.31314,3.0,298.0,1.0,259.31314,0.0,NaN,1.6122192
629.6193,3.0,298.0,1.0,629.6193,0.0,NaN,9.808558
416.89856,3.0,298.0,1.0,416.89856,0.0,NaN,12.386733
508.69315,3.0,298.0,1.0,508.69315,0.0,NaN,16.771835
266.36105,3.0,298.0,1.0,266.36105,0.0,NaN,15.447
158.07571,3.0,298.0,1.0,158.07571,0.0,NaN,7.302904
574.68097,3.0,298.0,1.0,574.68097,0.0,NaN,11.157569
686.6855,3.0,298.0,1.0,686.6855,0.0,NaN,4.2075305
168.89964,3.0,298.0,1.0,168.89964,0.0,NaN,14.078104
6.0597806,3.0,298.0,1.0,6.0597806,0.0,NaN,13.343376
453.86395,3.0,298.0,1.0,453.86395,0.0,NaN,13.500267
134.14653,3.0,298.0,1.0,134.14653,0.0,NaN,11.559433
221.16704,3.0,298.0,1.0,221.16704,0.0,NaN,8.613792
263.14038,3.0,298.0,1.0,263.14038,0.0,NaN,11.00626
573.07355,3.0,298.0,1.0,573.07355,0.0,NaN,17.889286
560.5153,3.0,298.0,1.0,560.5153,0.0,NaN,7.5285554
0.0,3.0,298.0,1.0,0.0,0.0,NaN,0.0
0.0,3.0,298.0,1.0,0.0,0.0,NaN,7.7240915
123.12278,3.0,298.0,1.0,123.12278,0.0,NaN,17.041758
505.57602,3.0,298.0,1.0,505.57602,0.0,NaN,21.956429
414.96765,3.0,298.0,1.0,414.96765,0.0,NaN,14.444876
516.55804,3.0,298.0,1.0,516.55804,0.0,NaN,16.462416
27.028084,3.0,298.0,1.0,27.028084,0.0,NaN,17.555094
510.9765,3.0,298.0,1.0,510.9765,0.0,NaN,16.625877
410.34592,3.0,298.0,1.0,410.34592,0.0,NaN,11.395875
503.5512,3.0,298.0,1.0,503.5512,0.0,NaN,13.377768
279.49542,3.0,298.0,1.0,279.49542,0.0,NaN,9.465289
124.6165,3.0,298.0,1.0,124.6165,0.0,NaN,5.3863287
130.23386,3.0,298.0,1.0,130.23386,0.0,NaN,10.151601
0.0,3.0,298.0,1.0,0.0,0.0,NaN,9.793991
129.95088,3.0,298.0,1.0,129.95088,0.0,NaN,6.8749995
546.2414,3.0,298.0,1.0,546.2414,0.0,NaN,14.420441
715.45245,3.0,298.0,1.0,715.45245,0.0,NaN,13.345525
269.62653,3.0,298.0,1.0,269.62653,0.0,NaN,8.003074
540.9939,3.0,298.0,1.0,540.9939,0.0,NaN,8.889398
104.43087,3.0,298.0,1.0,104.43087,0.0,NaN,7.2214575
600.45593,3.0,298.0,1.0,600.45593,0.0,NaN,9.127656
0.0,3.0,298.0,1.0,0.0,0.0,NaN,4.014179
132.09276,3.0,298.0,1.0,132.09276,0.0,NaN,8.687758
159.40126,3.0,298.0,1.0,159.40126,0.0,NaN,7.52126
132.14131,3.0,298.0,1.0,132.14131,0.0,NaN,6.330976
486.62943,3.0,298.0,1.0,486.62943,0.0,NaN,0.0
472.44617,3.0,298.0,1.0,472.44617,0.0,NaN,0.88886917
576.0784,3.0,298.0,1.0,576.0784,0.0,NaN,0.83474517
473.6678,3.0,298.0,1.0,473.6678,0.0,NaN,12.011364
444.06693,3.0,298.0,1.0,444.06693,0.0,NaN,10.293645
186.02339,3.0,298.0,1.0,186.02339,0.0,NaN,16.20158
213.94547,3.0,298.0,1.0,213.94547,0.0,NaN,15.663901
48.01583,3.0,298.0,1.0,48.01583,0.0,NaN,9.821859
325.80255,3.0,298.0,1.0,325.80255,0.0,NaN,7.4792504
107.43481,3.0,298.0,1.0,107.43481,0.0,NaN,14.195082
254.06393,3.0,298.0,1.0,254.06393,0.0,NaN,3.6399035
3.6805272,3.0,298.0,1.0,3.6805272,0.0,NaN,0.3442794
106.32371,3.0,298.0,1.0,106.32371,0.0,NaN,12.8144655
197.95763,3.0,298.0,1.0,197.95763,0.0,NaN,8.402765
356.95374,3.0,298.0,1.0,356.95374,0.0,NaN,1.1825919
400.65576,3.0,298.0,1.0,400.65576,0.0,NaN,8.763805
632.1205,3.0,298.0,1.0,632.1205,0.0,NaN,7.338655
279.40048,3.0,298.0,1.0,279.40048,0.0,NaN,9.335521
218.74876,3.0,298.0,1.0,218.74876,0.0,NaN,4.4131727
287.2611,3.0,298.0,1.0,287.2611,0.0,NaN,10.691177
459.72015,3.0,298.0,1.0,459.72015,0.0,NaN,10.314626
273.4441,3.0,298.0,1.0,273.4441,0.0,NaN,8.019659
0.0,3.0,298.0,1.0,0.0,0.0,NaN,10.358781
520.38367,3.0,298.0,1.0,520.38367,0.0,NaN,13.733071
122.88272,3.0,298.0,1.0,122.88272,0.0,NaN,11.429066
313.56497,3.0,298.0,1.0,313.56497,0.0,NaN,14.45516
350.7864,3.0,298.0,1.0,350.7864,0.0,NaN,16.072508
413.6296,3.0,298.0,1.0,413.6296,0.0,NaN,24.702188
503.9384,3.0,298.0,1.0,503.9384,0.0,NaN,16.320509
500.94543,3.0,298.0,1.0,500.94543,0.0,NaN,15.19866
321.73056,3.0,298.0,1.0,321.73056,0.0,NaN,18.93541
482.15485,3.0,298.0,1.0,482.15485,0.0,NaN,19.149483
620.0243,3.0,298.0,1.0,620.0243,0.0,NaN,15.192586
13.8233,3.0,298.0,1.0,13.8233,0.0,NaN,6.94578
544.3873,3.0,298.0,1.0,544.3873,0.0,NaN,14.58421
364.94833,3.0,298.0,1.0,364.94833,0.0,NaN,5.378294
197.6776,3.0,298.0,1.0,197.6776,0.0,NaN,1.2539834
65.08018,3.0,298.0,1.0,65.08018,0.0,NaN,2.4793596
158.64917,3.0,298.0,1.0,158.64917,0.0,NaN,21.298912
414.78687,3.0,298.0,1.0,414.78687,0.0,NaN,13.890135
376.69922,3.0,298.0,1.0,376.69922,0.0,NaN,13.468215
306.25113,3.0,298.0,1.0,306.25113,0.0,NaN,12.899068
163.43665,3.0,298.0,1.0,163.43665,0.0,NaN,15.599593
6.7008286,3.0,298.0,1.0,6.7008286,0.0,NaN,13.232499
0.0,3.0,298.0,1.0,0.0,0.0,NaN,6.970292
218.23767,3.0,298.0,1.0,218.23767,0.0,NaN,5.9550047
721.70496,3.0,298.0,1.0,721.70496,0.0,NaN,13.642255
178.4247,3.0,298.0,1.0,178.4247,0.0,NaN,8.102933
